Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,John Rhys Plumlee (23968523),John Rhys Plumlee,23968523,QB/S-FLEX,8900,UL@UCF 09/09/2022 07:30PM ET,UCF,4.95
QB,Malik Cunningham (23968525),Malik Cunningham,23968525,QB/S-FLEX,8300,UL@UCF 09/09/2022 07:30PM ET,UL,32.92
WR,Ryan O'Keefe (23968674),Ryan O'Keefe,23968674,WR/FLEX/S-FLEX,8000,UL@UCF 09/09/2022 07:30PM ET,UCF,19.71
QB,Mikey Keene (23968527),Mikey Keene,23968527,QB/S-FLEX,7700,UL@UCF 09/09/2022 07:30PM ET,UCF,12.03
WR,Javon Baker (23968677),Javon Baker,23968677,WR/FLEX/S-FLEX,7300,UL@UCF 09/09/2022 07:30PM ET,UCF,7.7
QB,Brock Domann (23968529),Brock Domann,23968529,QB/S-FLEX,6500,UL@UCF 09/09/2022 07:30PM ET,UL,0.5
RB,Isaiah Bowser (23968569),Isaiah Bowser,23968569,RB/FLEX/S-FLEX,6500,UL@UCF 09/09/2022 07:30PM ET,UCF,18.72
RB,Tiyon Evans (23968572),Tiyon Evans,23968572,RB/FLEX/S-FLEX,6400,UL@UCF 09/09/2022 07:30PM ET,UL,16.41
WR,Tyler Hudson (23968680),Tyler Hudson,23968680,WR/FLEX/S-FLEX,6400,UL@UCF 09/09/2022 07:30PM ET,UL,22.61
QB,Hank Bachmeier (23968531),Hank Bachmeier,23968531,QB/S-FLEX,6000,BSU@UNM 09/09/2022 09:00PM ET,BSU,16.51
WR,Ahmari Huggins-Bruce (23968686),Ahmari Huggins-Bruce,23968686,WR/FLEX/S-FLEX,5300,UL@UCF 09/09/2022 07:30PM ET,UL,11.21
QB,Miles Kendrick (23968533),Miles Kendrick,23968533,QB/S-FLEX,5300,BSU@UNM 09/09/2022 09:00PM ET,UNM,3.71
WR,Stefan Cobbs (23968683),Stefan Cobbs,23968683,WR/FLEX/S-FLEX,5300,BSU@UNM 09/09/2022 09:00PM ET,BSU,14.32
RB,George Holani (23968575),George Holani,23968575,RB/FLEX/S-FLEX,5200,BSU@UNM 09/09/2022 09:00PM ET,BSU,11.31
WR,Geordan Porter (23968689),Geordan Porter,23968689,WR/FLEX/S-FLEX,5000,BSU@UNM 09/09/2022 09:00PM ET,UNM,1.57
WR,Kobe Hudson (23968692),Kobe Hudson,23968692,WR/FLEX/S-FLEX,4900,UL@UCF 09/09/2022 07:30PM ET,UCF,10.67
QB,Sam Vidlak (23968535),Sam Vidlak,23968535,QB/S-FLEX,4900,BSU@UNM 09/09/2022 09:00PM ET,BSU,0.32
RB,Ashton Jeanty (23968578),Ashton Jeanty,23968578,RB/FLEX/S-FLEX,4900,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
RB,Johnny Richardson (23968584),Johnny Richardson,23968584,RB/FLEX/S-FLEX,4700,UL@UCF 09/09/2022 07:30PM ET,UCF,11.84
RB,Sherod White (23968581),Sherod White,23968581,RB/FLEX/S-FLEX,4700,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Billy Bowens (23968695),Billy Bowens,23968695,WR/FLEX/S-FLEX,4700,BSU@UNM 09/09/2022 09:00PM ET,BSU,4.33
QB,Evan Conley (23968539),Evan Conley,23968539,QB/S-FLEX,4500,UL@UCF 09/09/2022 07:30PM ET,UL,1.95
