Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81856-85881,RB,Mohamed,Mohamed Ibrahim,Ibrahim,27.333333333333332,3,11000,MINN@ILL,MINN,ILL,P,Ankle,,,,RB/Super FLEX
81856-109303,QB,Grayson,Grayson McCall,McCall,26.051998901367188,5,10600,ODU@CCU,CCU,ODU,,,,,,QB/Super FLEX
81856-103698,QB,Dillon,Dillon Gabriel,Gabriel,23.439999389648438,5,10400,KU@OU,OU,KU,Q,Concussion,,,,QB/Super FLEX
81856-136855,RB,Bijan,Bijan Robinson,Robinson,25.8000005086263,6,10400,ISU@TEX,TEX,ISU,,,,,,RB/Super FLEX
81856-110286,WR,Ali,Ali Jennings III,Jennings III,23.76000061035156,5,10000,ODU@CCU,ODU,CCU,,,,,,WR/Super FLEX
81856-92133,QB,Jason,Jason Bean,Bean,9.4350004196167,4,9900,KU@OU,KU,OU,,,,,,QB/Super FLEX
81856-151966,QB,Jaxson,Jaxson Dart,Dart,18.227999877929687,5,9500,AUB@MISS,MISS,AUB,,,,,,QB/Super FLEX
81856-160938,QB,Quinn,Quinn Ewers,Ewers,16.240000406901043,3,9400,ISU@TEX,TEX,ISU,,,,,,QB/Super FLEX
81856-169410,RB,Quinshon,Quinshon Judkins,Judkins,20.160000610351563,5,9300,AUB@MISS,MISS,AUB,,,,,,RB/Super FLEX
81856-129565,QB,Tyler,Tyler Van Dyke,Van Dyke,14.8149995803833,4,9100,MIA@VT,MIA,VT,,,,,,QB/Super FLEX
81856-128562,RB,CJ,CJ Beasley,Beasley,19.5,5,9000,ODU@CCU,CCU,ODU,,,,,,RB/Super FLEX
81856-137967,RB,Blake,Blake Corum,Corum,23.916666666666668,6,9000,PSU@MICH,MICH,PSU,,,,,,RB/Super FLEX
81856-109318,RB,Reese,Reese White,White,19.799999237060547,2,9000,ODU@CCU,CCU,ODU,D,Undisclosed,,,,RB/Super FLEX
81856-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,16.81999969482422,5,9000,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-89493,RB,Chase,Chase Brown,Brown,21.780000305175783,5,8800,MINN@ILL,ILL,MINN,,,,,,RB/Super FLEX
81856-86200,QB,Sean,Sean Clifford,Clifford,21.780000305175783,5,8600,PSU@MICH,PSU,MICH,,,,,,QB/Super FLEX
81856-131328,RB,Zach,Zach Evans,Evans,15.219999694824219,5,8400,AUB@MISS,MISS,AUB,,,,,,RB/Super FLEX
