2022,2021
Air Force,Air Force
Akron,Oregon
Alabama,Alabama
Appalachian State,Central Michigan
Arizona,Arizona
Arizona State,Arizona St
Arkansas,Arkansas
Arkansas State,Arkansas State
Army,Army
Auburn,Auburn
Ball State,Ball State
Baylor,Baylor
Boise State,Boise State
Boston College,Notre Dame
Bowling Green,Bowling Green
Buffalo,Buffalo
BYU,BYU
California,California
Central Michigan,Clemson
Charlotte,Charlotte
Cincinnati,Cincinnati
Clemson,Clemson
Coastal Carolina,Coastal Carolina
Colorado,Minnesota
Colorado State,Nevada
Connecticut,Connecticut
Duke,Memphis
East Carolina,East Carolina
Eastern Michigan,Eastern Michigan
Florida,Florida
Florida Atlantic,Florida Atlantic
Florida International,Texas Tech
Florida State,Florida State
Fresno State,Fresno State
Georgia,Georgia
Georgia Southern,Western Kentucky
Georgia State,Georgia State
Georgia Tech,Tulane
Hawai'i,Virginia
Houston,Houston
Illinois,UTSA
Indiana,Umass
Iowa,Iowa
Iowa State,Iowa State
Kansas,Kansas
Kansas State,Kansas State
Kent State,Kent State
Kentucky,Kentucky
Liberty,Liberty
Louisiana,Louisiana
Louisiana Monroe,Louisiana Monroe
Louisiana Tech,Texas Tech
Louisville,Notre Dame
LSU,Cincinnati
Marshall,Marshall
Maryland,Maryland
Memphis,Marshall
Miami,Michigan
Miami (OH),Miami (OH)
Michigan,Michigan
Michigan State,Michigan State
Middle Tennessee,Virginia
Minnesota,West Virginia
Mississippi State,Mississippi State
Missouri,Missouri
Navy,Navy
NC State,NC State
Nebraska,Pittsburgh
Nevada,UCLA
New Mexico,New Mexico
New Mexico State,TCU
North Carolina,North Carolina
North Texas,North Texas
Northern Illinois,Northern Illinois
Northwestern,Northwestern
Notre Dame,Notre Dame
Ohio,Ohio
Ohio State,Ohio State
Oklahoma,Ole Miss
Oklahoma State,Oklahoma State
Old Dominion,Old Dominion
Ole Miss,South Florida
Oregon,Florida State
Oregon State,Oregon State
Penn State,Penn State
Pittsburgh,Boston College
Purdue,Purdue
Rice,Rice
Rutgers,Rutgers
San Diego State,San Diego State
San José State,San José State
SMU,Missouri
South Alabama,South Alabama
South Carolina,South Carolina
South Florida,South Florida
Southern Mississippi,Liberty
Stanford,Stanford
Syracuse,Virginia
TCU,Southern Methodist
Temple,Colorado
Tennessee,Tennessee
Texas,Texas
Texas A&M,Texas A&M
Texas State,Texas State
Texas Tech,Western Kentucky
Toledo,Toledo
Troy,UAB
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UCF,Troy
UCLA,UCLA
UMass,Michigan
UNLV,UNLV
USC,Texas A&M
UT San Antonio,UT San Antonio
Utah,Utah
Utah State,Utah State
UTEP,UTEP
Vanderbilt,Vanderbilt
Virginia,NC State
Virginia Tech,Virginia Tech
Wake Forest,Wake Forest
Washington,Fresno State
Washington State,Western Kentucky
West Virginia,USC
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
Wisconsin,Wisconsin
Wyoming,Wyoming
