"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Bryce Young",9500,"BAMA","TENN",36.25,28.75,32.8303375244141,3.86701897011636,21.9686527252197,2.31248976054944
"2","Jaren Hall",8100,"BYU","ARK",32.5,34,33.6556053161621,4.32067339678315,22.5929203033447,2.78924942016602
"3","Max Duggan",8000,"TCU","OKST",36,32.5,32.0863342285156,6.64659377318418,27.5889739990234,3.44862174987793
"4","Spencer Sanders",7900,"OKST","TCU",32.5,36,37.6944999694824,8.37810743165733,29.7940673828125,3.77140093453323
"5","Hendon Hooker",7700,"TENN","BAMA",28.75,36.25,38.840145111084,6.17386723363643,25.5737495422363,3.32126617431641
"6","Taulia Tagovailoa",6900,"UMD","IU",36.5,25,32.622386932373,7.35965757981273,19.7366409301758,2.86038274350374
"7","KJ Jefferson",6400,"ARK","BYU",34,32.5,27.5115966796875,13.1602838965846,28.2678508758545,4.41685169935226
"8","Jack Salopek",6300,"WMU","OHIO",29,30.5,27.7138977050781,2.54257027696849,15.54039478302,2.4667293306381
"9","Kurtis Rourke",6200,"OHIO","WMU",30.5,29,29.3542060852051,7.66833396124554,26.264181137085,4.23615824791693
"10","Connor Bazelak",6100,"IU","UMD",25,36.5,54.5613670349121,4.46250688150928,18.9990844726562,3.11460401191086
"11","Garrett Shrader",6000,"SYR","NCST",23.25,19.75,27.663501739502,9.46462494776512,22.6565380096436,3.77608966827393
"12","Payton Thorne",5800,"MSU","WISC",21,28.5,34.9509887695312,5.15931006887439,18.7388935089111,3.23084370843295
"13","Graham Mertz",5300,"WISC","MSU",28.5,21,27.9346313476562,4.22752444674245,16.5192737579346,3.11684410527067
"14","Jack Chambers",5100,"NCST","SYR",19.75,23.25,30.3375110626221,6.4306165088251,13.1480779647827,2.57805450289857
