"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Traeshon Holden",7200,"BAMA","TENN",1,36.25,28.75,0.22783216517215,7.47980688151975,15.7347869873047,2.1853870815701
"2","Jalin Hyatt",6900,"TENN","BAMA",1,28.75,36.25,0.302263429967384,11.7399554817072,17.6468257904053,2.55751098411671
"3","Quentin Johnston",6700,"TCU","OKST",1,36,32.5,0.29011149913813,9.30861452488177,21.8331890106201,3.25868492695823
"4","Corey Crooms",6600,"WMU","OHIO",1,29,30.5,0.35305173654997,9.78443971134606,17.0459136962891,2.58271419640743
"5","Jadon Haselwood",6400,"ARK","BYU",1,34,32.5,0.270577772912335,7.44402655885223,14.7292966842651,2.30145260691643
"6","Rakim Jarrett",6200,"UMD","IU",1,36.5,25,0.202335782156334,6.60067617576827,16.341947555542,2.63579799282935
"7","Brennan Presley",6000,"OKST","TCU",1,32.5,36,0.268705653775825,10.1287252580526,18.0269966125488,3.0044994354248
"8","Oronde Gadsden II",5900,"SYR","NCST",1,23.25,19.75,0.233253529061625,6.45260940694123,12.555290222168,2.12801529189288
"9","Cam Camper",5800,"IU","UMD",1,25,36.5,0.265464473705733,14.4841045845883,18.8775310516357,3.25474673304065
"10","Chimere Dike",5600,"WISC","MSU",1,28.5,21,0.323776585546382,9.04457955624105,16.6162128448486,2.96718086515154
"11","Gunner Romney",5500,"BYU","ARK",1,32.5,34,0.228421278462297,7.68765639374024,16.5118923187256,3.00216223976829
"12","Thayer Thomas",5200,"NCST","SYR",1,19.75,23.25,0.225762816752468,6.8490819507567,12.8315582275391,2.46760735144982
"13","Jayden Reed",5100,"MSU","WISC",1,21,28.5,0.269841536711176,9.43122851914538,12.170672416687,2.38640635621314
"14","Sam Wiglusz",5000,"OHIO","WMU",1,30.5,29,0.218975562677207,6.42785379445048,15.6463108062744,3.12926216125488
"15","Derius Davis",6400,"TCU","OKST",2,36,32.5,0.138951657236978,4.45844931571183,11.2334089279175,1.75522014498711
"16","D.J. Matthews Jr.",6300,"IU","UMD",2,25,36.5,0.178000364349782,9.71194321163654,12.4882526397705,1.9822623237731
