"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Bijan Robinson",9100,"UT","KU",1,36,27.5,24.8186134068976,3.57245604650759,24.8155136108398,2.72697951767471
"2","Roman Hemby",6700,"UMD","OSU",1,18,45,18.293983920668,2.23660147408162,18.2860927581787,2.72926757584757
"3","Chris Rodriguez Jr.",6600,"UK","UGA",1,12.75,35.25,23.7209086890094,1.89265785097558,26.1487350463867,3.96192955248284
"4","Kenny McIntosh",6500,"UGA","UK",1,35.25,12.75,12.5270205647286,2.60139566319663,14.4950714111328,2.23001098632812
"5","Will Shipley",6500,"CLEM","MIA",1,33.5,14.5,19.3082739477789,3.19327657991247,19.3954372406006,2.98391342163086
"6","Devin Neal",6400,"KU","UT",1,27.5,36,22.8593117491732,3.83208051524236,23.6222324371338,3.69097381830215
"7","TreVeyon Henderson",6300,"OSU","UMD",1,45,18,22.1041292330711,2.19591626123258,21.9821529388428,3.48923062521314
"8","Nicholas Singleton",5800,"PSU","RU",1,32,13,15.1074723552513,2.35897272021934,19.1843433380127,3.30764540310564
"9","Jordan Houston",5500,"NCST","UL",1,20,24,12.0773176595038,3.40818279289744,9.71746063232422,1.76681102405895
"10","Henry Parrish Jr.",5400,"MIA","CLEM",1,14.5,33.5,16.3193063982747,2.53822531833843,12.025411605835,2.22692807515462
"11","Tiyon Evans",5200,"UL","NCST",1,24,20,14.349408274291,1.99600239781374,18.0736980438232,3.4757111622737
"12","Kyle Monangai",4900,"RU","PSU",1,13,32,15.5854394026587,2.01566857672763,12.9734363555908,2.64764007256955
"13","Kaytron Allen",5600,"PSU","RU",2,32,13,12.9364070425379,2.65756109012085,15.5041027069092,2.76858976909093
"14","Roschon Johnson",5100,"UT","KU",2,36,27.5,8.03921444380422,2.34163849550862,11.9804086685181,2.34909973892511
"15","Jaylan Knighton",5000,"MIA","CLEM",2,14.5,33.5,6.40772419732848,1.8538938498581,5.60503387451172,1.12100677490234
"16","Daijun Edwards",4800,"UGA","UK",2,35.25,12.75,8.43057709766526,2.02251441296723,12.2190618515015,2.54563788572947
"17","Aaron Young",4700,"RU","PSU",2,13,32,6.24205172513486,1.90980142356274,5.04157257080078,1.072675015064
"18","Phil Mafah",4300,"CLEM","MIA",2,33.5,14.5,8.2581292154961,2.21399432170853,12.8733005523682,2.99379082613213
"19","Demie Sumo-Karngbaye",4100,"NCST","UL",2,20,24,6.29522922866005,3.01464105844537,4.75413179397583,1.1595443399941
"20","Ky Thomas",3900,"KU","UT",2,27.5,36,6.52905555591823,2.16625242435559,7.99099111557007,2.0489720809154
"21","Dallan Hayden",3700,"OSU","UMD",2,45,18,8.38002321285592,2.0106100761937,10.5480012893677,2.85081115928856
"22","Jawhar Jordan",3500,"UL","NCST",2,24,20,8.98402305899459,2.22364049525303,10.0961236953735,2.88460677010672
"23","JuTahn McClain",3200,"UK","UGA",2,12.75,35.25,6.89385997611595,2.41240179540618,5.82882118225098,1.82150661945343
"24","Kendall Milton",5200,"UGA","UK",3,35.25,12.75,6.34242148127859,2.03118813509066,7.10341739654541,1.36604180702796
"25","Colby McDonald",4700,"UMD","OSU",3,18,45,3.3421718294872,1.69253337911715,4.34805345535278,0.925117756458039
"26","Kavosiey Smoke",3900,"UK","UGA",3,12.75,35.25,2.8258632548488,1.52101311262247,3.94401168823242,1.01128504826472
"27","Al-Shadee Salaam",3500,"RU","PSU",3,13,32,5.24530814172554,2.35070246600835,5.04157257080078,1.44044930594308
"28","Keilan Robinson",3100,"UT","KU",3,36,27.5,2.52383847403357,2.67477489147893,7.6774206161499,2.47658729553223
"29","Sevion Morrison",3000,"KU","UT",3,27.5,36,2.5471846819647,1.83516740456215,6.10618114471436,2.03539371490479
"30","Keith Adams Jr.",3000,"CLEM","MIA",3,33.5,14.5,2.60292255606478,1.5684347529255,7.38432788848877,2.46144262949626
"31","Trevion Cooley",3000,"UL","NCST",3,24,20,2.75293008961249,2.4533952752316,6.34612321853638,2.11537440617879
"32","Keyvone Lee",3000,"PSU","RU",3,32,13,4.47664305522769,1.89672896285139,7.10341739654541,2.36780579884847
"33","Ramon Brown",3200,"UMD","OSU",4,18,45,2.95261489345002,1.92190076927223,4.34805345535278,1.35876670479774
"34","Delbert Mimms III",3100,"NCST","UL",4,20,24,2.093391127207,1.77824778088493,4.00795602798462,1.29288904128536
"35","Parker Day",3100,"RU","PSU",4,13,32,3.10447627127249,2.04270792949799,4.29539680480957,1.38561187251922
"36","Branson Robinson",3000,"UGA","UK",4,35.25,12.75,2.2968615101112,1.73439786329408,6.35723972320557,2.11907990773519
"37","Torry Locklin",3000,"KU","UT",4,27.5,36,1.83824475365232,2.01172621834067,5.73333072662354,1.91111024220784
"38","Jalen Mitchell",3000,"UL","NCST",4,24,20,2.57509351044471,2.15720780397957,6.34612321853638,2.11537440617879
"39","Devyn Ford",3000,"PSU","RU",4,32,13,2.73271920000018,1.84119593166881,6.35723972320557,2.11907990773519
"40","Tank Smith",3000,"PSU","RU",5,32,13,1.57400082947736,1.72082669113006,6.35723972320557,2.11907990773519
