"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Jalen Moreno-Cropper",8200,"FRES","BSU",1,19,26.5,0.260849668378993,8.21564809379453,14.6093330383301,1.78162598028416
"2","Tre'Shaun Harrison",6900,"ORST","STAN",1,30.75,25.75,0.317571673856801,8.24562983904943,19.7811603546143,2.86683483400207
"3","Michael Wilson",6000,"STAN","ORST",1,25.75,30.75,0.22646959634723,7.17806609579592,14.9065999984741,2.48443333307902
"4","Jesse Matthews",5400,"SDSU","HAW",1,36,12.5,0.252403779751493,5.31061138228228,12.7750883102417,2.3657570944892
"5","Billy Bowens",4700,"BSU","FRES",1,26.5,19,0.303545800976851,8.14308125382889,12.498646736145,2.65928653960532
"6","James Phillips",4400,"HAW","SDSU",1,12.5,36,0.296063210271254,8.70565589104008,10.4730205535889,2.38023194399747
"7","Stefan Cobbs",7700,"BSU","FRES",2,26.5,19,0.221065810918507,5.93042913115527,9.41463088989258,1.22267933634969
"8","Nikko Remigio",5500,"FRES","BSU",2,19,26.5,0.20315572030674,6.39853566482794,10.6318607330322,1.93306558782404
"9","Anthony Gould",5300,"ORST","STAN",2,30.75,25.75,0.229338784940256,5.95469584988056,11.7573833465576,2.21837421633163
"10","Elijah Higgins",4700,"STAN","ORST",2,25.75,30.75,0.171955013079742,5.45019936140729,9.31892490386963,1.98274997954673
"11","Tyrell Shavers",4000,"SDSU","HAW",2,36,12.5,0.215213710598491,4.52812704410696,10.5842733383179,2.64606833457947
"12","Dior Scott",3800,"HAW","SDSU",2,12.5,36,0.19727225669415,5.80073553230314,7.78800535202026,2.04947509263691
"13","Latrell Caples",7200,"BSU","FRES",3,26.5,19,0.15641173846929,4.19598456413897,7.20450592041016,1.00062582227919
"14","Brycen Tremayne",6200,"STAN","ORST",3,25.75,30.75,0.148631286452565,4.71094228659245,8.16468620300293,1.31688487145209
"15","Tyjon Lindsey",5800,"ORST","STAN",3,30.75,25.75,0.1355383886298,3.51920361173808,7.62316179275513,1.31433824013019
"16","Jalen Walthall",4200,"HAW","SDSU",3,12.5,36,0.137311968485932,4.03762002804956,5.95443296432495,1.41772213436308
"17","Raymond Pauwels Jr.",3700,"FRES","BSU",3,19,26.5,0.143689985905904,4.52561954991649,6.70934200286865,1.81333567645099
"18","Mark Redman",3500,"SDSU","HAW",3,36,12.5,0.147449113439896,3.10235029329712,7.71993494033813,2.20569569723947
"19","Josh Kelly",4500,"FRES","BSU",4,19,26.5,0.116614798198361,3.67286702137804,5.9584002494812,1.32408894432916
"20","Luke Musgrave",4100,"ORST","STAN",4,30.75,25.75,0.0985023611833495,2.55757699900053,7.46182870864868,1.81995822162163
"21","Caleb Phillips",3800,"HAW","SDSU",4,12.5,36,0.0921025490523421,2.70824969439028,5.2072925567627,1.3703401465165
"22","Mekhi Shaw",3500,"SDSU","HAW",4,36,12.5,0.127781288407059,2.68853646060825,6.18241691589355,1.76640483311244
"23","Benjamin Yurosek",3400,"STAN","ORST",4,25.75,30.75,0.114941459102199,3.64312651185991,7.52508163452148,2.21325930427102
"24","Tyneil Hopper",3100,"BSU","FRES",4,26.5,19,0.122102310356452,3.27558158048329,5.52368640899658,1.78183432548277
"25","Erik Brooks",4800,"FRES","BSU",5,19,26.5,0.0752681332702854,2.37062404360447,7.05684041976929,1.47017508745193
"26","Jordan Murray",4300,"HAW","SDSU",5,12.5,36,0.0921025490523421,2.70824969439028,3.8355393409729,0.891985893249512
"27","Darius De Los Reyes",3700,"SDSU","HAW",5,36,12.5,0.10525268882399,2.21453152498281,4.81910562515259,1.30246097977097
"28","Silas Bolden",3500,"ORST","STAN",5,30.75,25.75,0.070543791444362,1.83164318350257,4.03304815292358,1.15229947226388
"29","Riley Smith",3200,"BSU","FRES",5,26.5,19,0.0745873425787078,2.00091975962437,4.89647817611694,1.53014943003654
"30","John Humphreys",3000,"STAN","ORST",5,25.75,30.75,0.100132743783357,3.17375694054891,5.08808183670044,1.69602727890015
"31","Zion Bowens",5900,"HAW","SDSU",6,12.5,36,0.0788267671551768,2.31787904085541,3.23659634590149,0.54857565184771
"32","Zane Pope",3900,"FRES","BSU",6,19,26.5,0.0696487546894747,2.19363766975687,3.35884380340576,0.861242000873272
"33","Brionne Penny",3900,"SDSU","HAW",6,36,12.5,0.0796845162813017,1.67657354248728,3.67764639854431,0.942986256037003
"34","Mudia Reuben",3600,"STAN","ORST",6,25.75,30.75,0.0862495731719419,2.73372296744484,4.56538343429565,1.26816206508213
"35","Cole Wright",3600,"BSU","FRES",6,26.5,19,0.0467401998338013,1.25387748353623,3.23311448097229,0.898087355825636
"36","Jake Overman",3000,"ORST","STAN",6,30.75,25.75,0.0523888760294351,1.36025758902338,3.08381485939026,1.02793828646342
"37","Ty Jones",3500,"FRES","BSU",7,19,26.5,0.0696487546894747,2.19363766975687,3.08409333229065,0.881169523511614
"38","John Dunmore",3300,"ORST","STAN",7,30.75,25.75,0.0445217460163001,1.1559904980824,2.80906438827515,0.851231632810651
"39","Silas Starr",3200,"STAN","ORST",7,25.75,30.75,0.0620003018373376,1.96513029442307,3.88465976715088,1.21395617723465
"40","Davis Koetter",3200,"BSU","FRES",7,26.5,19,0.0467401998338013,1.25387748353623,2.95836400985718,0.924488753080368
"41","Grey Ihu",3000,"HAW","SDSU",7,12.5,36,0.0583043526354654,1.71442318189137,3.05120944976807,1.01706981658936
"42","Aaron Greene",3000,"SDSU","HAW",7,36,12.5,0.0571559166982333,1.20256860686184,3.26539397239685,1.08846465746562
"43","Jonah Panoke",4900,"HAW","SDSU",8,12.5,36,0.0537656237817337,1.58096312940082,2.40281510353088,0.490370429292017
"44","Jesiah Irish",3200,"ORST","STAN",8,30.75,25.75,0.0529267994491366,1.37422456960054,2.65600728988647,0.830002278089523
"45","Bradley Archer",3000,"STAN","ORST",8,25.75,30.75,0.0471915865184952,1.49576072311206,3.51881551742554,1.17293850580851
"46","Tre Watson",3000,"FRES","BSU",8,19,26.5,0.0526535609328764,1.65836180738851,2.31227540969849,0.770758469899495
"47","Josh Nicholson",3000,"SDSU","HAW",8,36,12.5,0.0542635894875219,1.14171363146642,3.11233687400818,1.03744562466939
"48","Jimmy Valsin III",3000,"ORST","STAN",9,30.75,25.75,0.0500421851109871,1.29932663625551,2.39133048057556,0.797110160191854
"49","Sam Roush",3000,"STAN","ORST",9,25.75,30.75,0.0402500012127879,1.27574373656003,3.3042631149292,1.10142103830973
"50","Kurt Rafdal",3000,"BSU","FRES",8,26.5,19,0.041880196736884,1.12350045316816,2.80530691146851,0.935102303822835
"51","Tamatoa Mokiao-Atimalala",3000,"HAW","SDSU",9,12.5,36,0.0463901893944196,1.36409054410367,1.78184139728546,0.593947132428487
"52","Cameron Harpole",3000,"SDSU","HAW",9,36,12.5,0.0422441293551547,0.888822482805006,3.03528642654419,1.0117621421814
"53","Makiya Tongue",3100,"ORST","STAN",10,30.75,25.75,0.0384343639490066,0.997933897485194,2.57895684242249,0.831921562071769
"54","Gabe Milbourn",3000,"ORST","STAN",11,30.75,25.75,0.0399545823090326,1.0374057991163,2.57895684242249,0.859652280807495
"55","J.T. Byrne",3000,"ORST","STAN",12,30.75,25.75,0.0420038766640941,1.09061496124929,2.57895684242249,0.859652280807495
