"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Dorian Thompson-Robinson",9300,"UCLA","ARIZ",48.5,28.5,29.5413627624512,6.93935200019041,29.1943302154541,3.13917529198431
"2","Cameron Rising",9100,"UTAH","STAN",38.75,15.25,24.8635368347168,8.69239649335657,32.6933326721191,3.59267392001309
"3","Jayden de Laura",7800,"ARIZ","UCLA",28.5,48.5,39.8009605407715,6.44050464263,26.1866436004639,3.35726200005947
"4","Chevan Cordeiro",7200,"SJSU","SDSU",21.75,19.25,38.2064361572266,5.80544292463927,20.7657337188721,2.88412968317668
"5","Nate Cox",6700,"NEV","BSU",13,34,34.0385131835938,4.8931912021522,13.9798402786255,2.08654332516798
"6","Jalen Mayden",6300,"SDSU","SJSU",19.25,21.75,28.3210372924805,5.16881807876371,15.2937841415405,2.42758478437151
"7","Taylen Green",6200,"BSU","NEV",34,13,26.0150165557861,6.16435942892224,20.8265571594238,3.35912212248771
"8","Tanner McKee",5800,"STAN","UTAH",15.25,38.75,36.1784553527832,3.12522375734966,15.9305877685547,2.74665306354391
"9","Brayden Schager",5400,"HAW","UTST",22.25,32.75,33.0977554321289,4.53756080073663,17.4230365753174,3.2264882546884
"10","Cooper Legas",4900,"UTST","HAW",32.75,22.25,28.4413318634033,10.9910139813621,21.274284362793,4.34169068628428
