"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Toa Taua",7400,"NEV","FRES",1,16,38,23.1366235640801,3.78064013023081,20.7710285186768,2.80689574576713
"2","Jordan Mims",6700,"FRES","NEV",1,38,16,24.111049919209,1.95668090490249,25.2152519226074,3.76347043621006
"3","Aidan Robbins",6400,"UNLV","HAW",1,33.25,22.25,22.57608871357,2.23148613856093,24.9341831207275,3.89596611261368
"4","Tavion Thomas",6300,"UTAH","ORE",1,31.25,29.25,15.9814583425035,1.66481311020346,19.6163806915283,3.11371122087751
"5","Bucky Irving",5900,"ORE","UTAH",1,29.25,31.25,14.0459642479372,3.47764957830559,19.7058506011963,3.33997467816886
"6","Calvin Tyler Jr.",5800,"UTST","SJSU",1,26,24.5,22.2006036785127,2.87364014106977,22.0655918121338,3.80441238140238
"7","Dedrick Parson",5500,"HAW","UNLV",1,22.25,33.25,18.6529006075074,3.61124797921259,14.2074766159058,2.58317756652832
"8","Kairee Robinson",5400,"SJSU","UTST",1,24.5,26,23.971102684169,3.61410846249566,20.6838188171387,3.83033681798864
"9","Micah Bernard",6100,"UTAH","ORE",2,31.25,29.25,8.29699796121816,2.83598624162459,9.97441387176514,1.63514981504347
"10","Devonte Lee",5300,"NEV","FRES",2,16,38,6.23056166220652,2.72387392655471,4.65812683105469,0.878891854915979
"11","Courtney Reese",5200,"UNLV","HAW",2,33.25,22.25,7.2843515101179,2.35726547019711,9.91362285614014,1.9064659338731
"12","Noah Whittington",4900,"ORE","UTAH",2,29.25,31.25,11.0554202087918,3.22166322713937,12.4358654022217,2.53793171473912
"13","Malik Sherrod",4400,"FRES","NEV",2,38,16,6.83171275044169,2.21949993376863,9.71361351013184,2.20763943412087
"14","Nasjzae Bryant-Lelei",3900,"HAW","UNLV",2,22.25,33.25,9.7624823329119,2.21291021713819,9.03799057006836,2.31743347950471
"15","Robert Briggs",3500,"UTST","SJSU",2,26,24.5,6.95149388647652,1.91692003393853,9.08276081085205,2.5950745173863
"16","Shamar Garrett",3000,"SJSU","UTST",2,24.5,26,3.92740085538676,2.18238406938165,5.32172679901123,1.77390893300374
"17","Tylan Hines",5000,"HAW","UNLV",3,22.25,33.25,4.63415803094482,2.80833378277897,8.21421241760254,1.64284248352051
"18","Pailate Makakona",4300,"UTST","SJSU",3,26,24.5,2.29088590805487,2.2460262506244,7.44630289077759,1.73169834669246
"19","Sean Dollars",3400,"ORE","UTAH",3,29.25,31.25,5.44453029754286,2.78610268760253,7.25207281112671,2.13296259150786
"20","Jordan Younge-Humphrey",3300,"UNLV","HAW",3,33.25,22.25,4.79515971592614,2.82524947473823,8.77498817443848,2.65908732558742
"21","Elijah Gilliam",3000,"FRES","NEV",3,38,16,3.21025946140972,1.76800954591905,8.0771598815918,2.69238662719727
"22","Cross Patton",3000,"NEV","FRES",3,16,38,3.11725958171648,2.29996852070409,3.91195154190063,1.30398384730021
"23","Kenyon Sims",3000,"SJSU","UTST",3,24.5,26,3.1839650676995,2.03947092496039,4.5755500793457,1.5251833597819
"24","Wesley Kommer",3200,"NEV","FRES",4,16,38,2.48120942340329,2.15438924439873,3.91195154190063,1.22248485684395
"25","Jordan James",3100,"ORE","UTAH",4,29.25,31.25,2.32130688329814,2.00487719776079,6.50589609146118,2.09867615853587
"26","Jordan Johnson",3000,"HAW","UNLV",4,22.25,33.25,4.02173778471568,2.13670690440325,5.16467523574829,1.7215584119161
"27","Kilohana Haasenritter",3000,"ORE","UTAH",5,29.25,31.25,1.58602096337481,1.68618339185074,6.50589609146118,2.16863203048706
