"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Jalen Moreno-Cropper",7200,"FRES","NEV",1,38,16,0.269899201825577,8.74623259533437,19.1218795776367,2.6558166080051
"2","Troy Franklin",6900,"ORE","UTAH",1,29.25,31.25,0.237389155559287,7.55089476932849,16.5923004150391,2.40468121957088
"3","Devaughn Vele",6800,"UTAH","ORE",1,31.25,29.25,0.359921223264338,9.98204052050669,19.7422065734863,2.90326567257152
"4","Elijah Cooks",6500,"SJSU","UTST",1,24.5,26,0.283770819625731,11.3048200498188,17.9059944152832,2.75476837158203
"5","Brian Cobbs",5800,"UTST","SJSU",1,26,24.5,0.338066430854708,9.96117773194129,14.5964155197144,2.51662336546799
"6","Ricky White",5500,"UNLV","HAW",1,33.25,22.25,0.33097265365277,9.92657052835761,16.5004978179932,3.00009051236239
"7","Zion Bowens",5400,"HAW","UNLV",1,22.25,33.25,0.231202963453739,8.00449770907111,15.1819982528687,2.81148115793864
"8","B.J. Casteel",5200,"NEV","FRES",1,16,38,0.339478605124146,11.0094233586036,9.31524181365967,1.79139265647301
"9","Nikko Remigio",6700,"FRES","NEV",2,38,16,0.257258570091999,8.33660594751164,17.8259429931641,2.6605885064424
"10","Dalton Kincaid",6200,"UTAH","ORE",2,31.25,29.25,0.195820043126717,5.4308650862266,13.3295068740845,2.14992046356201
"11","Kyle Williams",5300,"UNLV","HAW",2,33.25,22.25,0.23654959153739,7.09462300868383,12.2452917098999,2.31043239809432
"12","Jamaal Bell",4300,"NEV","FRES",2,16,38,0.214353775391428,6.95157640622519,8.95486640930176,2.08252707193064
"13","Jonah Panoke",4200,"HAW","UNLV",2,22.25,33.25,0.163533777891356,5.66171700800459,7.97520780563354,1.89885900134132
"14","Dont'e Thornton",4000,"ORE","UTAH",2,29.25,31.25,0.199861479471786,6.35721120612379,11.5256042480469,2.88140106201172
"15","Jermaine Braddock",3700,"SJSU","UTST",2,24.5,26,0.172058459377278,6.85443952226867,13.9367551803589,3.76669058928619
"16","Jaylen Dixon",5600,"UTAH","ORE",3,31.25,29.25,0.14164412508172,3.92835238565254,7.91839122772217,1.41399843352182
"17","Kris Hutson",5100,"ORE","UTAH",3,29.25,31.25,0.180980367440262,5.75663916338642,10.1918840408325,1.99840863545736
"18","Zane Pope",5000,"FRES","NEV",3,38,16,0.157843821478533,5.11501615065856,11.180025100708,2.2360050201416
"19","Dalevon Campbell",4500,"NEV","FRES",3,16,38,0.151885016834748,4.92569024062908,7.54556226730347,1.67679161495633
"20","Justin Lockhart",4400,"SJSU","UTST",3,24.5,26,0.131424910047049,5.23568617839235,9.8029260635376,2.22793774171309
"21","Justin McGriff",3900,"UTST","SJSU",2,26,24.5,0.242231593971099,7.1373899908878,10.5814914703369,2.71320294111203
"22","Koali Nishigaya",3000,"HAW","UNLV",3,22.25,33.25,0.133955808462127,4.63769558112264,6.24657392501831,2.08219130833944
"23","Dominick Mazotti",5100,"SJSU","UTST",4,24.5,26,0.131424910047049,5.23568617839235,8.61939907073975,1.69007824916466
