"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Zach Charbonnet",7800,"UCLA","ASU",1,39,28,23.5647361350552,3.63733670434308,29.4580574035645,3.77667402609801
"2","Travis Dye",7600,"USC","CAL",1,41,19.5,22.1275781358004,2.79129874654644,21.3486862182617,2.80903766029759
"3","Xazavian Valladay",7100,"ASU","UCLA",1,28,39,24.322618470732,2.62825046623714,22.1365909576416,3.11782971234389
"4","Jordan Mims",6700,"FRES","HAW",1,44.75,17.25,23.2847185307082,2.58384814462989,23.5436058044434,3.51397101558856
"5","Jaydn Ott",5900,"CAL","USC",1,19.5,41,19.5569018521029,4.30435384052576,17.7461624145508,3.00782413805945
"6","Dedrick Parson",5700,"HAW","FRES",1,17.25,44.75,17.6918358702923,3.43156085626082,16.1477737426758,2.83294276187294
"7","Kairee Robinson",5600,"SJSU","CSU",1,34.25,10.25,19.3599613267452,2.42915029323505,19.9430770874023,3.56126376560756
"8","Avery Morrow",5000,"CSU","SJSU",1,10.25,34.25,24.3432239302403,2.33754777546752,21.4334888458252,4.28669776916504
"9","Austin Jones",5200,"USC","CAL",2,41,19.5,5.91690636743767,2.61019594723794,7.47557497024536,1.43761057120103
"10","Keegan Jones",4800,"UCLA","ASU",2,39,28,4.00119641005964,2.71993719813077,8.01702308654785,1.6702131430308
"11","Malik Sherrod",4600,"FRES","HAW",2,44.75,17.25,6.77800654897101,2.05575090168898,8.71724033355713,1.89505224642546
"12","Daniyel Ngata",4100,"ASU","UCLA",2,28,39,7.36943248916846,2.00535424591683,6.63495111465454,1.61828075967184
"13","Nasjzae Bryant-Lelei",3800,"HAW","FRES",2,17.25,44.75,8.6912701775787,2.00658737368779,7.488450050354,1.97064475009316
"14","DeCarlos Brooks",3500,"CAL","USC",2,19.5,41,5.34435322075953,2.40618310141392,4.74284362792969,1.35509817940848
"15","Shamar Garrett",3300,"SJSU","CSU",2,34.25,10.25,4.11914265968121,1.88163161834697,8.47195148468018,2.56725802566066
"16","Tylan Hines",3900,"HAW","FRES",3,17.25,44.75,2.5193424855379,1.99591251454958,4.30331802368164,1.10341487786709
"17","TJ Harden",3400,"UCLA","ASU",3,39,28,5.28710492714333,1.71101594993213,8.01702308654785,2.35794796663172
"18","Raleek Brown",3300,"USC","CAL",3,41,19.5,2.61821972668857,1.8397466813488,6.72939729690552,2.03921130209258
"19","Damien Moore",3200,"CAL","USC",3,19.5,41,3.17973929424012,2.1415858395928,3.9966676235199,1.24895863234997
"20","Jaylen Thomas",3100,"CSU","SJSU",3,10.25,34.25,4.65350736072841,2.39473719498474,5.04157257080078,1.62631373251638
"21","Elijah Gilliam",3100,"FRES","HAW",3,44.75,17.25,2.77083775258932,1.65324509551322,7.08078289031982,2.28412351300639
"22","George Hart III",3000,"ASU","UCLA",3,28,39,1.94185109095882,2.22055764985863,4.99849939346313,1.66616646448771
"23","Kenyon Sims",3000,"SJSU","CSU",3,34.25,10.25,3.33941118317657,1.53819188569396,7.72577142715454,2.57525714238485
"24","Jordan Johnson",3400,"HAW","FRES",4,17.25,44.75,3.39574432376344,1.9865002731589,3.68211054801941,1.08297369059394
