"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Michael Penix Jr.",8500,"UW","UCLA",33.75,30.75,37.7353134155273,5.26215961752177,24.1292266845703,2.83873255112592
"2","Dorian Thompson-Robinson",8100,"UCLA","UW",30.75,33.75,35.7591743469238,6.43196986847664,24.6176643371582,3.03921781940225
"3","Doug Brumfield",7000,"UNLV","UNM",29,15,28.6500644683838,3.71422355028341,19.7584266662598,2.82263238089425
"4","Frank Harris",6800,"UTSA","MTSU",35,30.5,39.1698799133301,4.74690526850412,28.8577327728271,4.24378423129811
"5","Chase Cunningham",6600,"MTSU","UTSA",30.5,35,33.9078979492188,5.44903526011433,18.8005466461182,2.84856767365427
"6","Michael Pratt",6500,"TUL","UH",26.25,28.75,30.0460548400879,6.01112769760846,17.4257640838623,2.68088678213266
"7","Clayton Tune",6200,"UH","TUL",28.75,26.25,30.1170120239258,5.54492642154253,18.5319995880127,2.98903219161495
"8","Taylen Green",5300,"BSU","SDSU",22.25,15.75,28.6869373321533,4.94537070286543,14.5479364395142,2.74489366783286
"9","Miles Kendrick",5000,"UNM","UNLV",15,29,21.3797245025635,5.44100802099365,13.2296590805054,2.64593181610107
"10","Braxton Burmeister",4800,"SDSU","BSU",15.75,22.25,22.9942188262939,6.0102994996314,9.42455863952637,1.96344971656799
