"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Bryce Young",9900,"BAMA","ARK",38.75,21.75,37.3260612487793,5.34300235061636,27.9016056060791,2.81834400061405
"2","Dillon Gabriel",9300,"OU","TCU",37.5,31.5,32.2710800170898,4.36812933912762,29.7922916412354,3.20347221948767
"3","Jordan Travis",8800,"FSU","WAKE",35.25,28.75,27.5930767059326,4.32005039996034,21.6795616149902,2.46358654715798
"4","Sam Hartman",8400,"WAKE","FSU",28.75,35.25,35.3959922790527,5.9478323652761,24.8455410003662,2.9578025000436
"5","Adrian Martinez",7800,"KSU","TTU",32.25,24.75,26.9873905181885,11.6085475054429,24.9839267730713,3.20306753500914
"6","Jaxson Dart",7700,"MISS","UK",30.75,23.75,29.2269668579102,6.71904560845286,24.3486557006836,3.16216307801086
"7","Donovan Smith",7200,"TTU","KSU",24.75,32.25,38.3650321960449,7.32360700860625,20.9370155334473,2.9079188240899
"8","Jalon Daniels",7000,"KU","ISU",28,31,27.8065948486328,8.87329231338924,26.349588394165,3.76422691345215
"9","Will Levis",6900,"UK","MISS",23.75,30.75,32.9046363830566,5.31266740189614,19.0240707397461,2.75711170141248
"10","Taulia Tagovailoa",6800,"UMD","MSU",33,25.5,33.3701438903809,4.11720564398871,20.4370174407959,3.00544374129351
"11","KJ Jefferson",6700,"ARK","BAMA",21.75,38.75,27.7121448516846,11.1293925483806,26.2486133575439,3.91770348620059
"12","Max Duggan",6700,"TCU","OU",31.5,37.5,30.8845043182373,6.24432048208837,22.6672801971436,3.3831761488274
"13","Will Rogers",6600,"MSST","TA&M",24.5,20.5,43.2220573425293,2.40866930367224,23.3661003112793,3.54031822898171
"14","Spencer Sanders",6500,"OKST","BAY",26.75,29.25,41.5660057067871,8.1779699524302,30.0250015258789,4.61923100398137
"15","J.J. McCarthy",6500,"MICH","IOWA",26.25,15.75,26.5457496643066,4.3641167782344,17.6785049438477,2.71976999136118
"16","Blake Shapen",6400,"BAY","OKST",29.25,26.75,28.1015644073486,6.63844117880865,20.0345287322998,3.13039511442184
"17","Payton Thorne",6400,"MSU","UMD",25.5,33,34.1324348449707,5.40617016052522,19.7453937530518,3.08521777391434
"18","Tanner Morgan",6300,"MINN","PUR",32,20,27.1281547546387,7.131743451256,19.796028137207,3.14222668844556
"19","Max Johnson",6100,"TA&M","MSST",20.5,24.5,28.206090927124,4.98797661294429,14.4290714263916,2.3654215453101
"20","Hunter Dekkers",5800,"ISU","KU",31,28,31.078519821167,4.81456372169305,17.9439334869385,3.09378163567905
"21","Aidan O'Connell",5700,"PUR","MINN",20,32,37.3413467407227,3.81786856676436,21.5803356170654,3.78602379246762
"22","Haaziq Daniels",5300,"AF","NAVY",26.25,12.25,11.238899230957,13.9790958365822,15.6619319915771,2.95508150784475
"23","Tommy DeVito",5200,"IL","WISC",18.25,25.25,28.5931510925293,3.28308925701276,15.2475423812866,2.93221968870897
"24","Graham Mertz",5100,"WISC","IL",25.25,18.25,24.2484188079834,5.83705486334634,11.8538503646851,2.32428438523236
"25","Spencer Petras",4900,"IOWA","MICH",15.75,26.25,26.9925975799561,4.41441800887696,9.62654685974121,1.96460139994719
"26","Tai Lavatai",4800,"NAVY","AF",12.25,26.25,10.3883380889893,14.1069965553656,9.57063388824463,1.99388206005096
