"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Jordan Addison",7600,"USC","COL",1,50,16,0.249145388148571,8.40699837718133,20.6921501159668,2.72265133104826
"2","Nikko Remigio",6900,"FRES","UNLV",1,34.25,24.75,0.283487880939174,7.96749110854146,17.3799533843994,2.518833823826
"3","Tyler Scott",6500,"CINCY","ECU",1,29,23.5,0.321973019240882,10.2948528211973,17.2245330810547,2.64992816631611
"4","C.J. Johnson",5800,"ECU","CINCY",1,23.5,29,0.320615372933561,10.8076430576139,18.6029624938965,3.20740732653388
"5","Ricky White",5500,"UNLV","FRES",1,24.75,34.25,0.328468527388642,9.18426290487099,15.7898035049438,2.87087336453525
"6","Daniel Arias",3500,"COL","USC",1,16,50,0.277703754680097,8.88153641062016,9.98985385894775,2.85424395969936
"7","Jalen Moreno-Cropper",7000,"FRES","UNLV",2,34.25,24.75,0.254397795541768,7.14990766905653,14.4170742034912,2.05958202907017
"8","Isaiah Winstead",6700,"ECU","CINCY",2,23.5,29,0.207972375018219,7.01055340695379,13.9510354995728,2.08224410441384
"9","Mario Williams",6200,"USC","COL",2,50,16,0.199776758511489,6.74113575645678,14.7351551055908,2.37663792025658
"10","Tre Tucker",6000,"CINCY","ECU",2,29,23.5,0.189184660168246,6.04904173974656,10.8174419403076,1.80290699005127
"11","Kyle Williams",5300,"UNLV","FRES",2,24.75,34.25,0.233106417924214,6.51785619781953,10.4060764312744,1.96341064741027
"12","Montana Lemonious-Craig",3600,"COL","USC",2,16,50,0.205290398877378,6.56560857263352,8.73745918273926,2.42707199520535
"13","Ryan Jones",5600,"ECU","CINCY",3,23.5,29,0.171765697116859,5.79006030495589,8.44772434234619,1.50852220399039
"14","Tahj Washington",5100,"USC","COL",3,50,16,0.169791572400119,5.72933532598906,11.0976114273071,2.17600224064846
"15","Erik Brooks",4600,"FRES","UNLV",3,34.25,24.75,0.147115916915167,4.13472616911625,7.95063829421997,1.72839962917825
"16","Jadon Thompson",4400,"CINCY","ECU",3,29,23.5,0.151177504495317,4.83379061489251,8.68887042999268,1.97474327954379
"17","Brady Russell",3400,"COL","USC",3,16,50,0.1596010196209,5.10436838914195,6.11369752883911,1.7981463320115
"18","Jaylen Johnson",5200,"ECU","CINCY",4,23.5,29,0.114460806907546,3.85836628426291,5.83464288711548,1.12204670906067
"19","Josh Whyle",4300,"CINCY","ECU",4,29,23.5,0.113949121397446,3.64344017600372,6.53940439224243,1.52079171912615
"20","Raymond Pauwels Jr.",3700,"FRES","UNLV",4,34.25,24.75,0.105924565085596,2.97703389541611,5.821852684021,1.57347369838405
"21","Maurice Bell",3300,"COL","USC",4,16,50,0.113688142352685,3.6359802802245,4.72290420532227,1.4311830925219
"22","Shelton Zeon III",3300,"UNLV","FRES",3,24.75,34.25,0.152461285889927,4.26294885406487,6.14679431915283,1.86266494519783
"23","Lake McRee",3100,"USC","COL",4,50,16,0.10781915436721,3.63817874587215,6.31174755096436,2.03604759708528
"24","Josh Kelly",4500,"FRES","UNLV",5,34.25,24.75,0.0858697166621302,2.41338783771605,5.60061883926392,1.24458196428087
"25","Shane Calhoun",4200,"ECU","CINCY",5,23.5,29,0.0834392828784798,2.81265984872397,5.6134090423584,1.33652596246629
"26","Senika McKie",4000,"UNLV","FRES",4,24.75,34.25,0.10808260376455,3.02208268264959,6.58139753341675,1.64534938335419
"27","Leonard Taylor",3600,"CINCY","ECU",5,29,23.5,0.0730559261816547,2.33591003845484,4.54632806777954,1.26286890771654
"28","Brenden Rice",3500,"USC","COL",5,50,16,0.0808597874916608,2.72847957280368,6.07395124435425,1.73541464124407
"29","R.J. Sneed II",3000,"COL","USC",5,16,50,0.0909552017303141,2.90893415119166,4.15368795394897,1.38456265131632
"30","Zane Pope",4900,"FRES","UNLV",6,34.25,24.75,0.0538392587515091,1.51316456270366,6.98062181472778,1.42461669688322
"31","Kaleo Ballungay",3200,"UNLV","FRES",5,24.75,34.25,0.0836070881681301,2.33772618811146,4.58832120895386,1.43385037779808
"32","Tyler Savage",3100,"ECU","CINCY",6,23.5,29,0.0642184538691159,2.16474375753989,4.30033445358276,1.38720466244605
"33","Chase Penry",3000,"COL","USC",6,16,50,0.0608468267206295,1.94600648310462,2.78262186050415,0.92754062016805
"34","Kyron Hudson",3000,"USC","COL",6,50,16,0.0657306913125551,2.21797328580744,4.77743768692017,1.59247922897339
"35","Chris Scott",3000,"CINCY","ECU",6,29,23.5,0.0600611132135299,1.92041035695593,3.54141044616699,1.18047014872233
"36","Ty Jones",3200,"FRES","UNLV",7,34.25,24.75,0.0483505633935079,1.35890353638575,3.25653004646301,1.01766563951969
"37","Will Pauling",3100,"CINCY","ECU",7,29,23.5,0.0470663002454051,1.50491067545701,3.76800465583801,1.21548537285097
"38","Chase Sowell",3000,"COL","USC",7,16,50,0.0465429539694749,1.48853925584801,2.29508447647095,0.765028158823649
"39","Terrell Bynum",3000,"USC","COL",7,50,16,0.0539004206161115,1.8187803997352,4.94849348068237,1.64949782689412
"40","Kerry King",3000,"ECU","CINCY",7,23.5,29,0.0400806686015426,1.35108168954129,3.26932096481323,1.08977365493774
"41","Nick Mardner",4100,"CINCY","ECU",8,29,23.5,0.0396908658580911,1.26908653190357,4.03381204605103,0.983856596597811
"42","Jarett Garner",3300,"ECU","CINCY",8,23.5,29,0.0418934858078521,1.41219005473049,3.25376605987549,0.985989715113784
