"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Bijan Robinson",9100,"UT","KU",1,36,27.5,24.8186134068976,3.57245604650759,24.8155136108398,2.72697951767471
"2","Blake Corum",8500,"MICH","IL",1,29.25,12.25,24.5753870193848,2.25673419388741,24.2175216674805,2.84912019617417
"3","Chase Brown",8300,"IL","MICH",1,12.25,29.25,25.8777974341894,2.97344786365857,18.1794452667236,2.19029461044863
"4","Deuce Vaughn",7400,"KSU","WVU",1,31.25,23.25,19.5841759038624,5.31388905655731,22.0023517608643,2.97329077849517
"5","Keaton Mitchell",7100,"ECU","UH",1,36.75,30.75,19.5060953444436,2.78813251821354,27.5600891113281,3.88170269173636
"6","Braelon Allen",7000,"WISC","NEB",1,26,15,26.2238388176863,2.35603550006894,23.9184532165527,3.41692188807896
"7","Kendre Miller",6800,"TCU","BAY",1,29.75,27.25,20.8355591281998,1.611102212012,27.2936363220215,4.0137700473561
"8","Roman Hemby",6700,"UMD","OSU",1,18,45,18.293983920668,2.23660147408162,18.2860927581787,2.72926757584757
"9","Chris Rodriguez Jr.",6600,"UK","UGA",1,12.75,35.25,23.7209086890094,1.89265785097558,26.1487350463867,3.96192955248284
"10","Kenny McIntosh",6500,"UGA","UK",1,35.25,12.75,12.5270205647286,2.60139566319663,14.4950714111328,2.23001098632812
"11","Will Shipley",6500,"CLEM","MIA",1,33.5,14.5,19.3082739477789,3.19327657991247,19.3954372406006,2.98391342163086
"12","Devin Neal",6400,"KU","UT",1,27.5,36,22.8593117491732,3.83208051524236,23.6222324371338,3.69097381830215
"13","TreVeyon Henderson",6300,"OSU","UMD",1,45,18,22.1041292330711,2.19591626123258,21.9821529388428,3.48923062521314
"14","Michael Wiley",6200,"ARIZ","WSU",1,29.5,33.5,18.3348933384699,3.47815469906875,15.9340887069702,2.57001430757584
"15","Richard Reese",6100,"BAY","TCU",1,27.25,29.75,21.7926935683251,2.47558813011218,19.5586795806885,3.20634091486696
"16","Anthony Grant",6000,"NEB","WISC",1,15,26,18.8354030403512,2.34748633223366,14.3327331542969,2.38878885904948
"17","Nicholas Singleton",5800,"PSU","RU",1,32,13,15.1074723552513,2.35897272021934,19.1843433380127,3.30764540310564
"18","Audric Estime",5700,"ND","BC",1,31.5,11,20.2288439251578,1.96981306332637,19.8763084411621,3.48707165634423
"19","Jalen Berger",5700,"MSU","IU",1,28.75,18.25,18.4803785767848,2.29155548727399,17.6484813690186,3.0962248015822
"20","Jordan Houston",5500,"NCST","UL",1,20,24,12.0773176595038,3.40818279289744,9.71746063232422,1.76681102405895
"21","Shaun Shivers",5500,"IU","MSU",1,18.25,28.75,13.57198397678,2.33439860039145,13.409538269043,2.43809786709872
"22","Henry Parrish Jr.",5400,"MIA","CLEM",1,14.5,33.5,16.3193063982747,2.53822531833843,12.025411605835,2.22692807515462
"23","Jaylen Jenkins",5300,"WSU","ARIZ",1,33.5,29.5,17.5931342952613,3.09598238633505,17.1181182861328,3.22983363889298
"24","Tiyon Evans",5200,"UL","NCST",1,24,20,14.349408274291,1.99600239781374,18.0736980438232,3.4757111622737
"25","Tony Mathis Jr.",4900,"WVU","KSU",1,23.25,31.25,17.6637312803601,1.77803065246899,16.5327777862549,3.37403628290916
"26","Kyle Monangai",4900,"RU","PSU",1,13,32,15.5854394026587,2.01566857672763,12.9734363555908,2.64764007256955
"27","Alex Broome",4500,"BC","ND",1,11,31.5,10.7691800922388,4.12984360148614,11.4309816360474,2.54021814134386
"28","Stacy Sneed",3800,"UH","ECU",1,30.75,36.75,15.0322382491072,3.62040537303193,21.0536117553711,5.54042414615029
"29","Pat Garwo III",6600,"BC","ND",2,11,31.5,7.13304765410226,4.46071804190166,7.35793113708496,1.11483805107348
"30","Ta'Zhawn Henry",5900,"UH","ECU",2,30.75,36.75,5.44729877515296,3.96599914689627,10.5225553512573,1.78348395784022
"31","Donovan Edwards",5800,"MICH","IL",2,29.25,12.25,11.4578101897882,2.41754597149329,15.5764799118042,2.68559998479383
"32","Kaytron Allen",5600,"PSU","RU",2,32,13,12.9364070425379,2.65756109012085,15.5041027069092,2.76858976909093
"33","Josh Henderson",5300,"IU","MSU",2,18.25,28.75,9.67955149171518,2.68197670651805,8.23313999176025,1.55342263995477
"34","Roschon Johnson",5100,"UT","KU",2,36,27.5,8.03921444380422,2.34163849550862,11.9804086685181,2.34909973892511
"35","Jaylan Knighton",5000,"MIA","CLEM",2,14.5,33.5,6.40772419732848,1.8538938498581,5.60503387451172,1.12100677490234
"36","Jarek Broussard",5000,"MSU","IU",2,28.75,18.25,12.0639200310435,1.9676115037615,10.8645076751709,2.17290153503418
"37","Daijun Edwards",4800,"UGA","UK",2,35.25,12.75,8.43057709766526,2.02251441296723,12.2190618515015,2.54563788572947
"38","Emari Demercado",4700,"TCU","BAY",2,29.75,27.25,9.06871624447028,1.73823465223635,11.17906665802,2.37852482085532
"39","Aaron Young",4700,"RU","PSU",2,13,32,6.24205172513486,1.90980142356274,5.04157257080078,1.072675015064
"40","Logan Diggs",4600,"ND","BC",2,31.5,11,13.8995958445069,2.01112636722679,16.6577243804932,3.62124443054199
"41","DJ Williams",4500,"ARIZ","WSU",2,29.5,33.5,7.25774316246136,2.20284466284279,7.40941762924194,1.64653725094265
"42","Justin Johnson Jr.",4500,"WVU","KSU",2,23.25,31.25,8.48073970109695,1.7969315054463,7.25224590301514,1.61161020067003
"43","Phil Mafah",4300,"CLEM","MIA",2,33.5,14.5,8.2581292154961,2.21399432170853,12.8733005523682,2.99379082613213
"44","Demie Sumo-Karngbaye",4100,"NCST","UL",2,20,24,6.29522922866005,3.01464105844537,4.75413179397583,1.1595443399941
"45","Ky Thomas",3900,"KU","UT",2,27.5,36,6.52905555591823,2.16625242435559,7.99099111557007,2.0489720809154
"46","DJ Giddens",3900,"KSU","WVU",2,31.25,23.25,6.53666401292115,2.43699044061854,8.71724033355713,2.23518982911721
"47","Nakia Watson",3800,"WSU","ARIZ",2,33.5,29.5,7.40041942089533,3.0621685512682,13.2391519546509,3.48398735648707
"48","Dallan Hayden",3700,"OSU","UMD",2,45,18,8.38002321285592,2.0106100761937,10.5480012893677,2.85081115928856
"49","Gabe Ervin Jr.",3700,"NEB","WISC",2,15,26,5.01153218814535,2.30733041159186,5.04157257080078,1.36258718129751
"50","Qualan Jones",3500,"BAY","TCU",2,27.25,29.75,7.69972468592906,2.71639264773293,8.56708145141602,2.44773755754743
"51","Jawhar Jordan",3500,"UL","NCST",2,24,20,8.98402305899459,2.22364049525303,10.0961236953735,2.88460677010672
"52","Reggie Love III",3300,"IL","MICH",2,12.25,29.25,4.73744932531908,2.01233182553835,5.04157257080078,1.52774926387902
"53","JuTahn McClain",3200,"UK","UGA",2,12.75,35.25,6.89385997611595,2.41240179540618,5.82882118225098,1.82150661945343
"54","Brandon Campbell",6900,"UH","ECU",3,30.75,36.75,2.90227230882337,3.04002643389224,8.10201358795166,1.17420486781908
"55","Kendall Milton",5200,"UGA","UK",3,35.25,12.75,6.34242148127859,2.03118813509066,7.10341739654541,1.36604180702796
"56","Isaac Guerendo",5200,"WISC","NEB",3,26,15,2.44145540794588,2.46226608714243,7.52535724639893,1.44718408584595
"57","Chris Tyree",5000,"ND","BC",3,31.5,11,4.91255393784717,2.28932584454871,7.47557497024536,1.49511499404907
"58","Jonah Coleman",4900,"ARIZ","WSU",3,29.5,33.5,4.98632617419908,2.63531305762063,6.14628934860229,1.25434476502088
"59","Colby McDonald",4700,"UMD","OSU",3,18,45,3.3421718294872,1.69253337911715,4.34805345535278,0.925117756458039
