"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Caleb Williams",10200,"USC","WSU",38.75,26.25,30.995677947998,6.4417438946258,30.2854099273682,2.96915783601649
"2","Bryce Young",9700,"BAMA","TA&M",36.25,12.25,29.9299640655518,3.85738471771094,19.8754329681396,2.04901370805563
"3","Sam Hartman",9300,"WAKE","ARMY",41,24.5,32.2766494750977,3.81949068807444,27.1610565185547,2.92054371167255
"4","Bo Nix",8900,"ORE","ARIZ",42,28.5,32.0152816772461,4.86413083376138,28.9508514404297,3.25290465622805
"5","Adrian Martinez",8400,"KSU","ISU",23.25,21.75,25.7332248687744,9.47678257872087,28.230375289917,3.36075896308536
"6","Jordan Travis",8100,"FSU","NCST",23.5,27,30.0824069976807,4.13086712596714,17.2140636444092,2.12519304251965
"7","Jaren Hall",7800,"BYU","ND",23.75,27.75,34.7728080749512,4.87026516225092,21.823371887207,2.79786819066757
"8","DJ Uiagalelei",7600,"CLEM","BC",34.5,14,28.8602981567383,8.11214459614484,23.721321105957,3.12122646131014
"9","Will Levis",7500,"UK","SCAR",26,20,29.087553024292,6.1974071423499,15.4394407272339,2.05859209696452
"10","Devin Leary",6800,"NCST","FSU",27,23.5,32.2735443115234,0.660040211879185,16.8766651153564,2.48186251696418
"11","Jayden de Laura",6700,"ARIZ","ORE",28.5,42,39.8729248046875,4.22051398082527,26.4798793792725,3.95222080287649
"12","Hunter Dekkers",6000,"ISU","KSU",21.75,23.25,36.4044036865234,5.10134463941267,16.2433700561523,2.70722834269206
"13","Cameron Ward",5600,"WSU","USC",26.25,38.75,37.3650817871094,6.33330848287028,18.6877861022949,3.33710466112409
"14","Phil Jurkovec",5500,"BC","CLEM",14,34.5,29.8515548706055,5.08293432981333,14.0042142868042,2.54622077941895
"15","Drew Pyne",5300,"ND","BYU",27.75,23.75,26.4787197113037,3.98681841465077,17.6016674041748,3.32106932154242
"16","Tyhier Tyler",5200,"ARMY","WAKE",24.5,41,14.6947774887085,11.8509396696686,23.305606842041,4.48184746962327
"17","Spencer Rattler",4600,"SCAR","UK",20,26,29.5836486816406,3.65808032876878,16.2802124023438,3.53917660920516
"18","Haynes King",5700,"TA&M","BAMA",12.25,36.25,28.7079486846924,4.6129032197108,14.0184688568115,2.459380501195
