"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Jahmyr Gibbs",7600,"BAMA","TA&M",1,36.25,12.25,12.8627884745082,4.29461747913117,19.8830528259277,2.61619116130628
"2","Deuce Vaughn",7300,"KSU","ISU",1,23.25,21.75,22.1445688726883,3.18082312397892,19.0087947845459,2.60394449103368
"3","Travis Dye",7100,"USC","WSU",1,38.75,26.25,17.1705194217191,2.36662669084733,22.0366611480713,3.10375509127765
"4","Chris Rodriguez Jr.",7000,"UK","SCAR",1,26,20,18.917930390366,2.52703471652625,20.7184009552002,2.9597715650286
"5","Will Shipley",6900,"CLEM","BC",1,34.5,14,14.0112630593706,2.38064090141651,17.5250568389893,2.53986330999844
"6","Jirehl Brock",6200,"ISU","KSU",1,21.75,23.25,17.7569258769833,3.43881003522926,15.6383256912231,2.52231059535857
"7","Christopher Brooks",6100,"BYU","ND",1,23.75,27.75,13.4966044442727,3.2915294256844,14.7558517456055,2.41899208944352
"8","Devon Achane",6000,"TA&M","BAMA",1,12.25,36.25,20.908666948724,3.94099612081714,22.3337574005127,3.72229290008545
"9","Justice Ellison",5900,"WAKE","ARMY",1,41,24.5,15.383608985809,1.80360094791174,15.9040803909302,2.69560684592037
"10","Treshaun Ward",5700,"FSU","NCST",1,23.5,27,13.2540773163605,2.27276134470603,16.6538219451904,2.92172314827902
"11","Jakobi Buchanan",5600,"ARMY","WAKE",1,24.5,41,14.9146086890738,2.5886794274333,14.7115325927734,2.62705939156669
"12","MarShawn Lloyd",5400,"SCAR","UK",1,20,26,11.1839857434948,3.6431264081387,12.1696634292603,2.25364137578894
"13","Bucky Irving",5400,"ORE","ARIZ",1,42,28.5,12.3023547602747,3.08074990185752,16.5669479370117,3.06795332166884
"14","Michael Wiley",5300,"ARIZ","ORE",1,28.5,42,13.7279898046952,3.702415314233,18.1488609313965,3.42431338328236
"15","Chris Tyree",5200,"ND","BYU",1,27.75,23.75,14.3378368486259,2.63488418699255,15.1070137023926,2.9051949427678
"16","Pat Garwo III",4900,"BC","CLEM",1,14,34.5,15.2935666756671,2.18689974200122,13.052490234375,2.66377351721939
"17","Jordan Houston",4800,"NCST","FSU",1,27,23.5,11.6697065657088,2.90328888401775,12.1384792327881,2.52884984016418
"18","Nakia Watson",4700,"WSU","USC",1,26.25,38.75,14.5257247607769,3.16401181837662,13.9248943328857,2.96274347508207
"19","Lopini Katoa",5800,"BYU","ND",2,23.75,27.75,7.71358767791776,2.84260225373953,8.76630973815918,1.51143271347572
"20","Christian Turner",5500,"WAKE","ARMY",2,41,24.5,12.0271530818028,2.10013922508729,10.2310419082642,1.86018943786621
"21","Austin Jones",5400,"USC","WSU",2,38.75,26.25,8.9413909127239,2.45042763739948,11.2274150848389,2.07915094163683
"22","Kobe Pace",5100,"CLEM","BC",2,34.5,14,6.80990015789819,2.52668131385742,5.9615592956543,1.16893319522633
"23","Kavosiey Smoke",5000,"UK","SCAR",2,26,20,9.59472219179901,1.8849718540949,10.28200340271,2.05640068054199
"24","Demie Sumo-Karngbaye",5000,"NCST","FSU",2,27,23.5,9.54302653425801,2.96867733352045,10.3034687042236,2.06069374084473
"25","Jase McClellan",4800,"BAMA","TA&M",2,36.25,12.25,7.91923025904715,1.93737023727212,12.9640703201294,2.70084798336029
"26","Amari Daniels",4400,"TA&M","BAMA",2,12.25,36.25,6.27864734174602,1.81740468862372,4.37562942504883,0.994461232965643
"27","Jonah Coleman",4400,"ARIZ","ORE",2,28.5,42,7.91704407193507,2.93078596833088,8.55318737030029,1.94390622052279
"28","Deon Silas",4300,"ISU","KSU",2,21.75,23.25,6.34488250763171,2.53471640039473,5.47767496109009,1.27387789792793
"29","Christian Beal-Smith",4200,"SCAR","UK",2,20,26,8.12126777788921,1.82346657259298,6.96860790252686,1.65919235774449
"30","DJ Giddens",4100,"KSU","ISU",2,23.25,21.75,5.15663213578746,2.43947991571727,6.19944620132446,1.51206004910353
"31","Logan Diggs",4100,"ND","BYU",2,27.75,23.75,11.7602635119936,2.17707722979282,9.93061828613281,2.422102021008
"32","Jaylen Jenkins",3900,"WSU","USC",2,26.25,38.75,7.93935207187883,2.39482464063677,8.18363475799561,2.09836788666554
"33","Lawrance Toafili",3600,"FSU","NCST",2,23.5,27,7.67836554554891,2.18641685347635,8.48422908782959,2.35673030217489
"34","Noah Whittington",3500,"ORE","ARIZ",2,42,28.5,11.6067880117454,2.04336367493847,11.7688617706299,3.36253193446568
"35","Tyson Riley",3300,"ARMY","WAKE",2,24.5,41,8.76745110130126,1.72769475894485,8.34914016723633,2.5300424749201
"36","Alex Broome",3000,"BC","CLEM",2,14,34.5,7.54291242987225,2.03857016406738,7.06294298171997,2.35431432723999
"37","Audric Estime",5500,"ND","BYU",3,27.75,23.75,5.348358922155,2.95916014759864,9.60348033905029,1.74608733437278
"38","Tyrell Robinson",5100,"ARMY","WAKE",3,24.5,41,7.00902503248324,2.06071713071868,7.66994857788086,1.50391148585899
