"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Josh Downs",7800,"UNC","WAKE",1,37.5,41.5,0.348896381260481,13.0693812883066,23.4153804779053,3.0019718561417
"2","Rome Odunze",7700,"UW","ORE",1,30.25,42.75,0.249774768422489,10.7669033482615,23.7243900299072,3.08108961427367
"3","Tre'Shaun Harrison",7500,"ORST","CAL",1,30,17.5,0.292141864627156,7.25611635689543,15.4504623413086,2.06006164550781
"4","A.T. Perry",7300,"WAKE","UNC",1,41.5,37.5,0.295275892628087,10.9564945842218,20.1845512390137,2.76500701904297
"5","Quentin Johnston",6900,"TCU","UT",1,29,36,0.282152601742335,8.01556412766999,17.9470043182373,2.60101511858512
"6","Troy Franklin",6800,"ORE","UW",1,42.75,30.25,0.203516790224956,6.34795780279388,16.5120487213135,2.42824245901669
"7","Xavier Worthy",6600,"UT","TCU",1,36,29,0.304976734628976,9.76829158867022,20.5887355804443,3.11950539097641
"8","Ladd McConkey",6300,"UGA","MSST",1,34.25,17.75,0.187988214338,5.51084376763555,15.9110403060913,2.52556195334783
"9","Evan Stewart",6000,"TA&M","AUB",1,23.25,24.75,0.319200305926075,13.1250535307745,22.6998596191406,3.78330993652344
"10","Luke Grimm",5900,"KU","TTU",1,30.5,34,0.269362808882081,7.27616102535957,14.9242887496948,2.52954046604997
"11","Oronde Gadsden II",5900,"SYR","FSU",1,21.75,29.25,0.317665199178636,9.10486198105186,14.4152278900146,2.44325896440926
"12","Johnny Wilson",5800,"FSU","SYR",1,29.25,21.75,0.23772747063746,6.12234297747187,15.6043186187744,2.69039976185766
"13","Caleb Ducking",5600,"MSST","UGA",1,17.75,34.25,0.228403118076083,12.4432693323403,12.7774105072021,2.28168044771467
"14","Myles Price",5500,"TTU","KU",1,34,30.5,0.214114510190343,8.1548564010532,15.2179746627808,2.76690448414196
