"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Caleb Williams",9000,"USC","UCLA",39.5,37.5,34.3258018493652,7.57195998809141,28.8429679870605,3.20477422078451
"2","Dorian Thompson-Robinson",8800,"UCLA","USC",37.5,39.5,33.1881484985352,5.79330812288589,24.368724822998,2.76917327534069
"3","Jayden Daniels",8300,"LSU","UAB",33,17.5,25.9978942871094,10.8262932387634,33.4781112670898,4.03350738157709
"4","Hendon Hooker",8200,"TENN","SCAR",44.5,22,30.7700881958008,6.17445614414419,24.4598808288574,2.98291229620212
"5","Sam Hartman",8000,"WAKE","SYR",34.25,24.25,33.6757774353027,5.22631869540783,25.3129463195801,3.16411828994751
"6","Michael Penix Jr.",7900,"UW","COL",46.5,16,39.2313270568848,3.74820683638973,24.3675308227539,3.08449757250049
"7","Dillon Gabriel",7600,"OU","OKST",37,30,33.2822265625,7.11871015536008,25.5742893218994,3.36503806867098
"8","KJ Jefferson",7200,"ARK","MISS",32,33.5,34.3169021606445,8.12542176727726,26.2189388275146,3.64151928159926
"9","Gunnar Gundy",7000,"OKST","OU",30,37,39.0007820129395,5.65339627461196,24.6638488769531,3.52340698242188
"10","Jaxson Dart",6300,"MISS","ARK",33.5,32,32.1458511352539,9.89646468931073,27.6797962188721,4.39361844744001
"11","Tyler Shough",5900,"TTU","ISU",22,25.5,33.3632011413574,5.67071051492201,19.990478515625,3.38821669756356
"12","Hunter Dekkers",5400,"ISU","TTU",25.5,22,35.9268608093262,6.40201093070027,19.2507057189941,3.56494550351743
"13","Carlos Del Rio-Wilson",5300,"SYR","WAKE",24.25,34.25,29.2232646942139,3.06144201130388,13.972354888916,2.63629337526717
"14","Dylan Hopkins",5200,"UAB","LSU",17.5,33,26.6014881134033,6.1614573544955,16.6904792785645,3.20970755357009
"15","J.T. Shrout",5000,"COL","UW",16,46.5,32.4226684570312,8.94018898026957,15.8426313400269,3.16852626800537
"16","Spencer Rattler",4700,"SCAR","TENN",22,44.5,30.4479522705078,4.14062552720156,12.383864402771,2.63486476654702
