"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Zach Charbonnet",8000,"UCLA","USC",1,37.5,39.5,20.6489433781728,4.59247028303692,28.5190238952637,3.56487798690796
"2","DeWayne McBride",7700,"UAB","LSU",1,17.5,33,22.55635402003,1.87942380376535,23.3996906280518,3.03892086078594
"3","Eric Gray",7400,"OU","OKST",1,37,30,23.4710932716802,4.07639190079856,31.690450668335,4.28249333355878
"4","Quinshon Judkins",7000,"MISS","ARK",1,33.5,32,27.1677238091127,2.75738987579762,23.7453804016113,3.39219720023019
"5","Raheim Sanders",6800,"ARK","MISS",1,32,33.5,17.8143969581944,2.59390057235975,20.6267261505127,3.03334208095775
"6","Sean Tucker",6200,"SYR","WAKE",1,24.25,34.25,19.39890389468,4.75782095993249,17.7105293273926,2.85653698828913
"7","Wayne Taulapapa",6000,"UW","COL",1,46.5,16,14.7641921303368,3.34242698324448,16.2554626464844,2.70924377441406
"8","Jabari Small",5800,"TENN","SCAR",1,44.5,22,19.6615700505182,2.30468291775736,16.8004531860352,2.89662985966123
"9","Dominic Richardson",5500,"OKST","OU",1,30,37,16.6584974511985,3.0562009597632,18.4638347625732,3.35706086592241
"10","Justice Ellison",5400,"WAKE","SYR",1,34.25,24.25,14.8203251752133,1.90022808482721,15.4074373245239,2.8532291341711
"11","Tahj Brooks",5300,"TTU","ISU",1,22,25.5,16.6272244069462,2.2518193539784,18.0744609832764,3.41027565722196
"12","Josh Williams",5100,"LSU","UAB",1,33,17.5,14.0764206961345,2.2633865901555,20.2114295959473,3.96302541097005
"13","Cartevious Norton",4600,"ISU","TTU",1,25.5,22,18.2316506448284,3.76511036758956,17.9954166412354,3.91204709592073
"14","Juju McDowell",4000,"SCAR","TENN",1,22,44.5,17.663809484948,2.5580809903817,14.4899740219116,3.62249350547791
"15","Anthony Hankerson",3300,"COL","UW",1,16,46.5,17.4169205248046,2.20822475644756,13.034984588623,3.94999532988577
"16","Jermaine Brown Jr.",6500,"UAB","LSU",2,17.5,33,10.4346237352911,2.6259989547307,8.03011512756348,1.23540232731746
"17","Zach Evans",5700,"MISS","ARK",2,33.5,32,7.91992416898448,2.79555169468838,12.6942472457886,2.22706092031378
"18","Keegan Jones",5500,"UCLA","USC",2,37.5,39.5,4.80991978412709,2.24697448003196,6.32717943191528,1.15039626034823
"19","Austin Jones",5400,"USC","UCLA",2,39.5,37.5,6.41011858480482,2.90688212108397,8.97878170013428,1.66273735187672
"20","Jaden Nixon",5300,"OKST","OU",2,30,37,8.34368742367707,3.24621262723682,9.43166637420654,1.77955969324652
"21","Marcus Major",5200,"OU","OKST",2,37,30,10.6507028421704,2.23737442038105,11.578800201416,2.22669234642616
"22","Cameron Davis",5100,"UW","COL",2,46.5,16,10.9975634132672,3.49551367795676,13.0107536315918,2.55112816305722
"23","Christian Turner",5000,"WAKE","SYR",2,34.25,24.25,11.9433655644692,2.01468877322464,10.2310419082642,2.04620838165283
"24","SaRodorick Thompson",4900,"TTU","ISU",2,22,25.5,12.0703802348384,2.359673882703,8.38305950164795,1.71082846972407
"25","Jaylen Wright",4700,"TENN","SCAR",2,44.5,22,8.74419321429097,2.435820549618,12.8733005523682,2.73900011752514
"26","Alex Fontenot",4400,"COL","UW",2,16,46.5,8.56560143684495,2.41683060917981,6.67949724197388,1.51806755499406
"27","Armoni Goodwin",3900,"LSU","UAB",2,33,17.5,7.39557377721409,1.54772305076304,8.64793586730957,2.2174194531563
"28","LeQuint Allen",3800,"SYR","WAKE",2,24.25,34.25,4.28704778693267,2.01504538508359,7.61450099945068,2.00381605248702
"29","Deon Silas",3500,"ISU","TTU",2,25.5,22,9.71905560560872,2.60340605711057,10.5303611755371,3.00867462158203
"30","AJ Green",3400,"ARK","MISS",2,32,33.5,10.1351023883019,2.85071115650857,9.81747722625732,2.88749330184039
"31","Dante Miller",3000,"SCAR","TENN",2,22,44.5,7.28052211653161,1.84245153465294,6.33744955062866,2.11248318354289
"32","Raleek Brown",5000,"USC","UCLA",3,39.5,37.5,3.82403181020783,2.17422910520263,8.08850479125977,1.61770095825195
"33","Jovantae Barnes",4900,"OU","OKST",3,37,30,2.99775906026059,2.70992656415841,10.505485534668,2.14397663972816
"34","Ulysses Bentley IV",4800,"MISS","ARK",3,33.5,32,2.47534216226652,2.19212450741285,7.08078289031982,1.47516310214996
"35","John Emery Jr.",4500,"LSU","UAB",3,33,17.5,3.16874271653816,2.23783082541091,7.01147747039795,1.55810610453288
"36","Dylan Sampson",4200,"TENN","SCAR",3,44.5,22,4.92224942641615,1.67305149414019,8.00601387023926,1.90619377862839
"37","Deion Smith",3900,"COL","UW",3,16,46.5,3.54203745463516,2.7973596117703,3.2460081577301,0.83230978403336
