"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Xavier Hutchinson",8000,"ISU","TTU",1,25.5,22,0.319162390255061,11.4665027702654,19.9980850219727,2.49976062774658
"2","Jordan Addison",7700,"USC","UCLA",1,39.5,37.5,0.237592260157254,8.15554484310074,17.5830917358398,2.28351840725193
"3","Jalin Hyatt",7400,"TENN","SCAR",1,44.5,22,0.282436876670445,8.69060760489611,17.8936996459961,2.4180675197292
"4","A.T. Perry",7300,"WAKE","SYR",1,34.25,24.25,0.289579005377196,9.75179813501877,20.5315322875977,2.81253866953393
"5","Marvin Mims",7200,"OU","OKST",1,37,30,0.281341044194041,9.36365637419641,20.3926219940186,2.83230861028035
"6","Rome Odunze",7000,"UW","COL",1,46.5,16,0.245591560353756,9.63488282664884,21.4351387023926,3.06216267177037
"7","Jake Bobo",6700,"UCLA","USC",1,37.5,39.5,0.239684097567035,7.95467142279214,17.1727504730225,2.56309708552574
"8","Jonathan Mingo",6300,"MISS","ARK",1,33.5,32,0.336809400298261,10.827024842942,21.0817050933838,3.3463023957752
"9","Oronde Gadsden II",5900,"SYR","WAKE",1,24.25,34.25,0.293080417887589,8.56476662861982,13.6678943634033,2.31659226498361
"10","Bryson Green",5800,"OKST","OU",1,30,37,0.244383805936783,9.53115954283297,19.0169773101807,3.27878919141046
"11","Kayshon Boutte",5600,"LSU","UAB",1,33,17.5,0.290527573931306,7.55310515455645,14.9242887496948,2.6650515624455
"12","Myles Price",5600,"TTU","ISU",1,22,25.5,0.207075499125959,6.90870152878636,15.4712600708008,2.762725012643
"13","Jadon Haselwood",5500,"ARK","MISS",1,32,33.5,0.288327989257684,9.8945233975313,19.051061630249,3.463829387318
"14","Trea Shropshire",5100,"UAB","LSU",1,17.5,33,0.272722501456935,7.25482438076428,10.5628471374512,2.07114649753945
"15","Antwane Wells Jr.",4800,"SCAR","TENN",1,22,44.5,0.242071240169085,7.37057356673092,11.2283267974854,2.33923474947612
"16","Daniel Arias",4500,"COL","UW",1,16,46.5,0.286047680451604,9.27442910618519,12.4653902053833,2.7700867123074
"17","Jalen McMillan",6600,"UW","COL",2,46.5,16,0.188769425849794,7.40567508385363,16.7614593505859,2.53961505311908
"18","Bru McCoy",6500,"TENN","SCAR",2,44.5,22,0.229678171280924,7.06721758696426,15.8653964996338,2.44083023071289
"19","Malik Heath",6400,"MISS","ARK",2,33.5,32,0.249568547831175,8.02259338662244,13.9849891662598,2.18515455722809
"20","Jahmal Banks",6200,"WAKE","SYR",2,34.25,24.25,0.198005239069329,6.66798036192262,13.2108945846558,2.13078944913803
"21","Kazmeir Allen",6000,"UCLA","USC",2,37.5,39.5,0.225334795092986,7.47844464143302,14.9819393157959,2.49698988596598
"22","Mario Williams",5900,"USC","UCLA",2,39.5,37.5,0.181071694144595,6.21543109373623,14.0597629547119,2.38301067029015
"23","Malik Nabers",5700,"LSU","UAB",2,33,17.5,0.249443672751601,6.48501023478443,12.6524705886841,2.21973168222528
"24","John Paul Richardson",5300,"OKST","OU",2,30,37,0.196465832220415,7.66232109541915,13.2144384384155,2.49329027139916
"25","Matt Landers",5200,"ARK","MISS",2,32,33.5,0.195898415223033,6.72262674863413,12.6524705886841,2.43316742090078
"26","Jaylin Noel",5000,"ISU","TTU",2,25.5,22,0.224238118228443,8.05617166173851,12.6585159301758,2.53170318603516
"27","Xavier White",4900,"TTU","ISU",2,22,25.5,0.16417926138083,5.47754572068813,9.94767379760742,2.0301375097158
"28","Brayden Willis",4300,"OU","OKST",2,37,30,0.186313587548322,6.20093103245543,14.0597629547119,3.26971231504928
"29","Montana Lemonious-Craig",4200,"COL","UW",2,16,46.5,0.207674377669237,6.73335749418996,7.15259552001953,1.70299893333798
"30","Damien Alford",3900,"SYR","WAKE",2,24.25,34.25,0.218700279581585,6.39113615891123,8.67262554168701,2.22375013889411
