"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_fdpts","tar_value","pts_value"
"1","WR","Jacob Cowing",9700,"ORE","ARIZONA",1,28.5,42,0.286630498396043,11.4287963092755,13.7593193054199,1.17822642363665,1.41848652633195
"2","WR","Michael Wilson",8400,"ORST","STANFORD",1,25.75,30.75,0.22646959634723,7.17806609579592,10.4258098602295,0.854531678070943,1.24116784050351
"3","WR","Troy Franklin",8000,"ARIZ","OREGON",1,42,28.5,0.239706197164043,7.67426142198834,14.7596626281738,0.959282677748542,1.84495782852173
"4","WR","Jalen Moreno-Cropper",7200,"BOIS","FRESNO ST",1,19,26.5,0.260849668378993,8.21564809379453,10.7960815429688,1.14106223524924,1.49945576985677
"5","WR","Tre'Shaun Harrison",6800,"STAN","OREGON ST",1,30.75,25.75,0.317571673856801,8.24562983904943,13.762035369873,1.21259262338962,2.02382873086368
"6","WR","James Phillips",5500,"SDSU","HAWAII",1,12.5,36,0.296063210271254,8.70565589104008,7.73622846603394,1.58284652564365,1.40658699382435
"7","WR","Jesse Matthews",5300,"HAW","S DIEGO ST",1,36,12.5,0.252403779751493,5.31061138228228,8.27775859832764,1.00200214760043,1.56184124496748
"8","WR","Billy Bowens",5200,"FRES","BOISE ST",1,26.5,19,0.303545800976851,8.14308125382889,10.6229763031006,1.56597716419786,2.04288005828857
"9","WR","Dorian Singer",7500,"ORE","ARIZONA",2,28.5,42,0.234562455476704,9.35269114922547,12.6726694107056,1.2470254865634,1.68968925476074
"10","WR","Elijah Higgins",7000,"ORST","STANFORD",2,25.75,30.75,0.171955013079742,5.45019936140729,7.20497417449951,0.778599908772469,1.0292820249285
"11","WR","Anthony Gould",6500,"STAN","OREGON ST",2,30.75,25.75,0.229338784940256,5.95469584988056,8.7867488861084,0.916107053827779,1.35180752093975
"12","WR","Nikko Remigio",6400,"BOIS","FRESNO ST",2,19,26.5,0.20315572030674,6.39853566482794,8.17794990539551,0.999771197629366,1.27780467271805
"13","WR","Chase Cota",6000,"ARIZ","OREGON",2,42,28.5,0.137704238188072,4.40863997374173,10.527193069458,0.734773328956954,1.754532178243
"14","WR","Stefan Cobbs",5900,"FRES","BOISE ST",2,26.5,19,0.221065810918507,5.93042913115527,7.44825983047485,1.00515747985683,1.26241692041947
"15","WR","Tyrell Shavers",5800,"HAW","S DIEGO ST",2,36,12.5,0.215213710598491,4.52812704410696,7.86705684661865,0.780711559328787,1.35638911148597
"16","WR","Dior Scott",5600,"SDSU","HAWAII",2,12.5,36,0.19727225669415,5.80073553230314,6.06924247741699,1.03584563076842,1.08379329953875
"17","WR","Tetairoa McMillan",7800,"ORE","ARIZONA",3,28.5,42,0.172017879907427,6.85885599061058,10.641242980957,0.879340511616741,1.36426192063552
"18","WR","Tyjon Lindsey",6200,"STAN","OREGON ST",3,30.75,25.75,0.1355383886298,3.51920361173808,5.8903636932373,0.567613485764206,0.950058660199565
"19","WR","Latrell Caples",6100,"FRES","BOISE ST",3,26.5,19,0.15641173846929,4.19598456413897,5.54217910766602,0.687866321989995,0.908553952076396
"20","WR","Jalen Walthall",5700,"SDSU","HAWAII",3,12.5,36,0.137311968485932,4.03762002804956,4.66862010955811,0.708354390885888,0.819056159571597
"21","WR","Kris Hutson",5300,"ARIZ","OREGON",3,42,28.5,0.125282453956807,4.01095305264378,7.86742305755615,0.756783594838448,1.48441944482192
"22","TE","Mark Redman",5200,"HAW","S DIEGO ST",3,36,12.5,0.147449113439896,3.10235029329712,5.93592309951782,0.596605825634062,1.1415236729842
"23","WR","Brycen Tremayne",4800,"ORST","STANFORD",3,25.75,30.75,0.148631286452565,4.71094228659245,6.64657545089722,0.981446309706761,1.38470321893692
"24","TE","Raymond Pauwels Jr.",4800,"BOIS","FRESNO ST",3,19,26.5,0.143689985905904,4.52561954991649,5.80659008026123,0.942837406232602,1.20970626672109
"25","TE","Terrance Ferguson",6100,"ARIZ","OREGON",4,42,28.5,0.105312047000387,3.37159484872477,6.01731967926025,0.552720467004061,0.986445849059058
"26","WR","Josh Kelly",6000,"BOIS","FRESNO ST",4,19,26.5,0.116614798198361,3.67286702137804,4.62908840179443,0.612144503563007,0.771514733632406
"27","TE","Caleb Phillips",5500,"SDSU","HAWAII",4,12.5,36,0.0921025490523421,2.70824969439028,3.90950775146484,0.492409035343687,0.710819591175426
"28","TE","Luke Musgrave",5500,"STAN","OREGON ST",4,30.75,25.75,0.0985023611833495,2.55757699900053,5.7706561088562,0.465013999818277,1.04921020161022
"29","TE","Benjamin Yurosek",5400,"ORST","STANFORD",4,25.75,30.75,0.114941459102199,3.64312651185991,5.03336906433105,0.674653057751836,0.932105382283529
"30","WR","Mekhi Shaw",5000,"HAW","S DIEGO ST",4,36,12.5,0.127781288407059,2.68853646060825,4.69217538833618,0.53770729212165,0.938435077667236
"31","TE","Tyneil Hopper",4600,"FRES","BOISE ST",4,26.5,19,0.122102310356452,3.27558158048329,4.29843139648438,0.712082952278976,0.934441607931386
"32","TE","Alex Lines",4200,"ORE","ARIZONA",4,28.5,42,0.131212109586772,5.23181057901777,5.40282773971558,1.24566918548042,1.28638755707514
"33","WR","Erik Brooks",6300,"BOIS","FRESNO ST",5,19,26.5,0.0752681332702854,2.37062404360447,5.06952571868896,0.376289530730868,0.804686622014121
"34","WR","Silas Bolden",6000,"STAN","OREGON ST",5,30.75,25.75,0.070543791444362,1.83164318350257,2.96931552886963,0.305273863917095,0.494885921478271
"35","WR","John Humphreys",5400,"ORST","STANFORD",5,25.75,30.75,0.100132743783357,3.17375694054891,4.13158941268921,0.587732766768316,0.765109150498002
