"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Wayne Taulapapa",9200,"CAL","WASHINGTON",1,30.75,23.25,12.9222489006448,3.3656811920095,14.0458030700684,1.52671772500743
"2","RB","Titus Swen",8500,"UTST","WYOMING",1,24.5,20,22.4654235257511,2.88145735599378,16.4348831176758,1.93351566090303
"3","RB","Toa Taua",7600,"SDSU","NEVADA",1,14.5,21.5,14.8019400655962,3.368087666099,13.9662666320801,1.8376666621158
"4","RB","Jordan Byrd",7300,"NEV","S DIEGO ST",1,21.5,14.5,14.0418438501118,1.66618897729506,11.657112121582,1.59686467418932
"5","RB","Jaydn Ott",7000,"WASH","CAL",1,23.25,30.75,21.4381164127806,3.63036342339659,19.8270092010498,2.83242988586426
"6","RB","Cameron Davis",9000,"CAL","WASHINGTON",2,30.75,23.25,7.82901111032631,2.33349104762007,11.4165887832642,1.26850986480713
"7","RB","Devonte Lee",6200,"SDSU","NEVADA",2,14.5,21.5,8.21724415930426,2.28871452571097,6.86410188674927,1.1071132075402
"8","RB","Dawaiian McNeely",5800,"UTST","WYOMING",2,24.5,20,8.69498706276856,1.92528743106109,8.03851795196533,1.38595137102851
"9","RB","DeCarlos Brooks",5100,"WASH","CAL",2,23.25,30.75,5.58695896938777,1.95023478935754,5.08844709396362,0.997734724306593
"10","RB","Chance Bell",4700,"NEV","S DIEGO ST",2,21.5,14.5,7.41235111366407,1.44816884585748,5.75395345687866,1.22424541635716
"11","RB","Will Nixon",5600,"CAL","WASHINGTON",3,30.75,23.25,5.22106363454485,2.34991643684374,6.88806486129761,1.23001158237457
"12","RB","Damien Moore",5300,"WASH","CAL",3,23.25,30.75,4.38083427284681,2.13533534006517,5.08844709396362,0.960084357351627
"13","RB","Kenan Christon",5000,"NEV","S DIEGO ST",3,21.5,14.5,5.92214282115465,2.19748567504812,4.60084533691406,0.920169067382812
"14","RB","Cross Patton",4400,"SDSU","NEVADA",3,14.5,21.5,2.6323814455204,1.96373635101888,3.48879647254944,0.792908289215781
"15","RB","Jaylon Armstead",5200,"NEV","S DIEGO ST",4,21.5,14.5,4.80600188947836,0.863639535119555,13.7487745285034,2.64399510163527
"16","RB","Richard Newton",4500,"CAL","WASHINGTON",4,30.75,23.25,2.26514284751818,2.06171321576265,5.51163578033447,1.22480795118544
"17","RB","Wesley Kommer",4300,"SDSU","NEVADA",4,14.5,21.5,2.04416737011681,2.00380823784422,3.48879647254944,0.811348016871962
"18","RB","Cam Davis",5400,"NEV","S DIEGO ST",5,21.5,14.5,3.82546830509973,2.00471537044306,4.60084533691406,0.852008395724826
"19","RB","Aaron Dumas",4000,"CAL","WASHINGTON",5,30.75,23.25,2.06092776854887,1.48377692405732,7.74715662002563,1.93678915500641
"20","RB","Terrell Johnson",4000,"SDSU","NEVADA",5,14.5,21.5,1.62788542634041,1.08215484086137,6.29718494415283,1.57429623603821
"21","RB","Sam Adams II",4100,"CAL","WASHINGTON",6,30.75,23.25,1.38043085058714,2.16409568097534,5.51163578033447,1.34430140983768
"22","RB","Camden Sirmon",4200,"CAL","WASHINGTON",7,30.75,23.25,1.45522781165843,2.16614395250154,5.51163578033447,1.31229423341297
