"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Bryce Young",11500,"ARK","ALABAMA",38.75,21.75,37.3260612487793,5.34300235061636,24.31715965271,2.11453562197478
"2","QB","Sam Hartman",10500,"FSU","WAKE",28.75,35.25,35.3959922790527,5.9478323652761,23.2323627471924,2.21260597592308
"3","QB","Spencer Sanders",10400,"BAY","OKLA STATE",26.75,29.25,41.5660057067871,8.1779699524302,24.1130065917969,2.31855832613432
"4","QB","Jalon Daniels",10300,"ISU","KANSAS",28,31,27.8065948486328,8.87329231338924,25.2324848175049,2.44975580752475
"5","QB","Sean Clifford",10200,"NW","PENN STATE",38,13,35.5476570129395,5.60406880591472,21.6975975036621,2.1272154415355
"6","QB","Will Rogers",10000,"TXAM","MISS STATE",24.5,20.5,43.2220573425293,2.40866930367224,16.1177387237549,1.61177387237549
"7","QB","Hunter Dekkers",9800,"KU","IOWA STATE",31,28,31.078519821167,4.81456372169305,15.4258213043213,1.57406339840013
"8","QB","Taulia Tagovailoa",9700,"MSU","MARYLAND",33,25.5,33.3701438903809,4.11720564398871,18.3557643890381,1.89234684423073
"9","QB","Jordan Travis",9200,"WAKE","FLORIDA ST",35.25,28.75,27.5930767059326,4.32005039996034,21.2338523864746,2.30802743331246
"10","QB","Payton Thorne",8700,"MD","MICH STATE",25.5,33,34.1324348449707,5.40617016052522,17.4475536346436,2.0054659350165
"11","QB","KJ Jefferson",8400,"ALA","ARKANSAS",21.75,38.75,27.7121448516846,11.1293925483806,21.9278926849365,2.6104634148734
"12","QB","Blake Shapen",7500,"OKST","BAYLOR",29.25,26.75,28.1015644073486,6.63844117880865,18.7974395751953,2.50632527669271
"13","QB","Ryan Hilinski",7100,"PSU","NWESTERN",13,38,41.8173027038574,5.40549429515158,14.42112159729,2.03114388694226
"14","QB","Max Johnson",7100,"MSST","TEXAS A&M",20.5,24.5,28.206090927124,4.98797661294429,12.6544189453125,1.7823125275088
