"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Raheim Sanders",9600,"BYU","ARKANSAS",1,34,32.5,24.642677597979,3.01541774831157,19.1562747955322,1.99544529120127
"2","RB","Jahmyr Gibbs",9500,"TENN","ALABAMA",1,36.25,28.75,15.5689267780754,4.38736854200843,19.084400177002,2.0088842291581
"3","RB","Tyjae Spears",9300,"USF","TULANE",1,33.25,21.25,18.8721127576364,3.42594999374024,15.9891138076782,1.71925954921271
"4","RB","Braelon Allen",9000,"MSU","WISCONSIN",1,28.5,21,19.5682348064785,2.64733374057254,18.7887020111084,2.08763355678982
"5","RB","Kendre Miller",8800,"OKST","TCU",1,36,32.5,18.7920719110556,1.97256183919667,18.3907775878906,2.08986108953303
"6","RB","Dominic Richardson",8700,"TCU","OKLA STATE",1,32.5,36,17.433963891878,3.49421993375914,15.4358329772949,1.77423367555114
"7","RB","Sean Tucker",8600,"NCST","SYRACUSE",1,23.25,19.75,23.9065120266886,4.05993171909884,22.4586601257324,2.6114721076433
"8","RB","Roman Hemby",8400,"IND","MARYLAND",1,36.5,25,20.2185222596831,3.7226024719392,17.4756546020508,2.08043507167271
"9","RB","Brian Battie",8200,"TULN","USF",1,21.25,33.25,15.4696791474337,2.44017294007541,14.6594038009644,1.78773217084931
"10","RB","Jabari Small",7800,"ALA","TENNESSEE",1,28.75,36.25,17.4252740318233,2.61054346777402,15.4358329772949,1.97895294580704
"11","RB","Shaun Shivers",7400,"MD","INDIANA",1,25,36.5,13.5967897096279,4.54333952597464,12.0150814056396,1.62365964941076
"12","RB","Christopher Brooks",7200,"ARK","BYU",1,32.5,34,16.3571500069646,3.18577708761945,15.8337574005127,2.19913297229343
"13","RB","Kenny McIntosh",6700,"VAN","GEORGIA",1,48.5,10,10.0381144554461,3.34215741395054,13.5332460403442,2.0198874687081
"14","RB","Ray Davis",6500,"UGA","VANDERBILT",1,10,48.5,19.160738444181,3.89887878229762,17.0488185882568,2.62289516742413
"15","RB","Jordan Houston",6200,"SYR","NC STATE",1,19.75,23.25,13.8961223670524,3.01084444208569,9.4766149520874,1.52848628259474
"16","RB","Jalen Berger",5900,"WIS","MICH STATE",1,21,28.5,12.3633383899532,3.16898117971609,9.87453937530518,1.67365074157715
"17","RB","Demie Sumo-Karngbaye",6800,"SYR","NC STATE",2,19.75,23.25,9.33371828243274,3.2835994232274,6.04644966125488,0.889183773713953
"18","RB","Daijun Edwards",6500,"VAN","GEORGIA",2,48.5,10,8.55754391939664,1.97930671071065,11.8317756652832,1.82027317927434
"19","RB","Jaylen Wright",5900,"ALA","TENNESSEE",2,28.75,36.25,9.90048338008186,3.99759185360842,13.0315761566162,2.20874172146037
"20","RB","Josh Henderson",5700,"MD","INDIANA",2,25,36.5,8.65885572862706,4.16518447284822,9.44958972930908,1.65782275952791
"21","RB","Lopini Katoa",5600,"ARK","BYU",2,32.5,34,8.87372545045557,2.75127333163544,8.73159122467041,1.55921271869114
"22","RB","Emari Demercado",5600,"OKST","TCU",2,36,32.5,7.03244918640663,3.16862530020271,9.18343639373779,1.63989935602461
"23","RB","Jase McClellan",5400,"TENN","ALABAMA",2,36.25,28.75,9.22130502006508,2.12511176625849,8.88693904876709,1.64572945347539
"24","RB","Jarek Broussard",5400,"WIS","MICH STATE",2,21,28.5,6.62749795557235,2.7243744472048,6.44437408447266,1.19340260823568
"25","RB","K'Wan Powell",5200,"TULN","USF",2,21.25,33.25,7.09670728322295,1.77811478084351,4.83850002288818,0.930480773632343
"26","RB","AJ Green",5100,"BYU","ARKANSAS",2,34,32.5,7.04082490654948,2.23626305105506,7.53434705734253,1.4773229524201
"27","RB","Iverson Celestine",5000,"USF","TULANE",2,33.25,21.25,8.45272717061792,1.58730593736311,9.39376544952393,1.87875308990479
"28","RB","Jaden Nixon",4900,"TCU","OKLA STATE",2,32.5,36,3.80509776037753,2.27325795190843,6.33479261398315,1.29281481918024
"29","RB","LeQuint Allen",4600,"NCST","SYRACUSE",2,23.25,19.75,4.39875850782516,1.90749432340023,7.30464506149292,1.58796631771585
"30","RB","Patrick Smith",4100,"UGA","VANDERBILT",2,10,48.5,6.65399334824121,3.23598023285946,5.98668622970581,1.46016737309898
