"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_fdpts","tar_value","pts_value"
"1","WR","Xavier Hutchinson",9200,"WVU","IOWA STATE",1,28.75,21.25,0.363565597764315,13.2810952230909,13.596381187439,1.44359730685771,1.4778675203738
"2","WR","Jalin Hyatt",8800,"UGA","TENNESSEE",1,28.25,36.75,0.271838803523588,9.08598366417647,13.9883441925049,1.03249814365642,1.5895845673301
"3","WR","Troy Franklin",8700,"CU","OREGON",1,47,16,0.211383920238091,6.36647018938687,13.6440334320068,0.731778182688146,1.56827970482837
"4","WR","Bryce Ford-Wheaton",8500,"ISU","W VIRGINIA",1,21.25,28.75,0.250270113372663,8.91819176665906,10.4684553146362,1.04919903137165,1.2315829781925
"5","WR","Oronde Gadsden II",8400,"PITT","SYRACUSE",1,22,26,0.313712813286869,10.0394718110141,12.1864671707153,1.19517521559692,1.45076990127563
"6","WR","Monaray Baldwin",8300,"OU","BAYLOR",1,29,32.5,0.237689555025973,7.38595874443387,11.0011444091797,0.889874547522153,1.32543908544334
"7","TE","Caden Prieskorn",7400,"UCF","MEMPHIS",1,28.5,31.5,0.215279293026646,7.52035289667915,11.5940399169922,1.01626390495664,1.56676215094489
"8","WR","Parker Washington",7200,"IND","PENN STATE",1,32.25,18.75,0.303714013450121,9.86279699041335,13.2032051086426,1.36983291533519,1.83377848731147
"9","WR","Jared Wayne",7100,"SYR","PITTSBURGH",1,26,22,0.322254131047587,9.09937172805263,13.5239744186401,1.2816016518384,1.90478512938593
"10","WR","Brennan Presley",6800,"KU","OKLA STATE",1,30.75,32.25,0.243083191700741,9.43669806761665,12.8329200744629,1.38774971582598,1.88719412859748
"11","WR","Marvin Mims",6600,"BAY","OKLAHOMA",1,32.5,29,0.268200692109447,8.40943974005031,13.7554550170898,1.27415753637126,2.08415985107422
"12","WR","Luke Grimm",6600,"OKST","KANSAS",1,32.25,30.75,0.299621001240292,8.27078900754007,13.5285911560059,1.25314984962728,2.04978653878877
"13","WR","Ladd McConkey",6300,"TENN","GEORGIA",1,36.75,28.25,0.190472571184253,6.31628768336978,12.7933101654053,1.00258534656663,2.03068415323893
"14","WR","D.J. Matthews Jr.",6200,"PSU","INDIANA",1,18.75,32.25,0.215775812401565,10.0913590817814,8.46421909332275,1.62763856157765,1.36519662795528
