"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_fdpts","tar_value","pts_value"
"1","WR","Charlie Jones",10000,"MINN","PURDUE",1,20,32,0.310498667014537,11.594438387522,14.0195007324219,1.1594438387522,1.40195007324219
"2","WR","Marvin Mims",9000,"TCU","OKLAHOMA",1,37.5,31.5,0.216898643392392,6.99955347651413,12.9581851959229,0.777728164057126,1.43979835510254
"3","WR","Myles Price",8600,"KSU","TEXAS TECH",1,24.75,32.25,0.225755656123755,8.66112301562712,12.4101400375366,1.0071073273985,1.44303953924844
"4","WR","Zay Flowers",8500,"LOU","BOSTON COL",1,18.25,32.75,0.335870372561731,10.7076528980072,10.3204050064087,1.25972387035378,1.21416529487161
"5","WR","Tayvion Robinson",8300,"MISS","KENTUCKY",1,23.75,30.75,0.23240812827543,7.64730495336981,10.6037349700928,0.921362042574676,1.27755843013166
"6","WR","Skyler Bell",7300,"ILL","WISCONSIN",1,25.25,18.25,0.293063688211856,7.10633104917336,8.82989692687988,0.973470006736076,1.2095749214904
"7","WR","Quentin Johnston",7000,"OU","TCU",1,31.5,37.5,0.247088264497103,7.63119857184653,12.597620010376,1.0901712245495,1.79966000148228
"8","WR","Isaiah Williams",6900,"WIS","ILLINOIS",1,18.25,25.25,0.286314655449764,8.18663820328056,11.3058567047119,1.18646930482327,1.63852995720463
"9","WR","Malik Heath",6600,"UK","OLE MISS",1,30.75,23.75,0.236044061379596,6.89885195894795,12.4797401428223,1.0452805998406,1.89086971860943
"10","WR","Tyler Hudson",6500,"BC","LOUISVILLE",1,32.75,18.25,0.295147705086833,8.25297751896918,11.6349058151245,1.26968884907218,1.78998551001916
"11","WR","Michael Brown-Stephens",6000,"PUR","MINNESOTA",1,32,20,0.238779988190079,6.47766047193127,9.22081565856934,1.07961007865521,1.53680260976156
"12","WR","Phillip Brooks",5900,"TTU","KANSAS ST",1,32.25,24.75,0.291815758962697,7.87534584648785,10.680474281311,1.33480438076065,1.81024987818831
"13","WR","Ronnie Bell",5900,"IOWA","MICHIGAN",1,26.25,15.75,0.282648218385905,7.50310884833451,11.8002967834473,1.27171336412449,2.0000503022792
"14","TE","Sam LaPorta",5400,"MICH","IOWA",1,15.75,26.25,0.35768853543427,9.6549426959411,9.53491306304932,1.7879523511002,1.76572464130543
"15","WR","Dane Kinamon",5000,"NAVY","AIR FORCE",1,26.25,12.25,0.453854572238186,5.10082580289408,5.70085668563843,1.02016516057882,1.14017133712769
"16","TE","Payne Durham",6700,"MINN","PURDUE",2,20,32,0.169371987799319,6.32457812457982,8.88605880737305,0.943966884265644,1.32627743393628
"17","WR","Dane Key",6700,"MISS","KENTUCKY",2,23.75,30.75,0.180973374810244,5.9548630931457,7.23708200454712,0.888785536290403,1.08016149321599
"18","WR","Theo Wease",6500,"TCU","OKLAHOMA",2,37.5,31.5,0.175915934087514,5.67699718521928,8.84259986877441,0.873384182341427,1.36039997981145
"19","WR","Jonathan Mingo",6300,"UK","OLE MISS",2,30.75,23.75,0.198783749994334,5.80984607297549,8.18998908996582,0.922197789361188,1.29999826824854
"20","WR","Roman Wilson",6300,"IOWA","MICHIGAN",2,26.25,15.75,0.134119004333724,3.5602895142691,7.35150909423828,0.565125319725254,1.16690620543465
"21","WR","Malik Knowles",6200,"TTU","KANSAS ST",2,32.25,24.75,0.202539935626507,5.4660243382813,8.91323661804199,0.881616828755048,1.43761880936161
"22","WR","Taye Barber",5900,"OU","TCU",2,31.5,37.5,0.156632329594959,4.83751185975107,8.85861015319824,0.819917264364588,1.5014593479997
"23","WR","Chimere Dike",5500,"ILL","WISCONSIN",2,25.25,18.25,0.180289989704855,4.37174717725035,6.71427297592163,0.794863123136427,1.22077690471302
"24","WR","Jerand Bradley",5400,"KSU","TEXAS TECH",2,24.75,32.25,0.130328400414381,5.00005327795675,9.06210231781006,0.925935792214212,1.67816709589075
"25","WR","David Cormier",5400,"NAVY","AIR FORCE",2,26.25,12.25,0.298024881593396,3.34947161254608,7.01739978790283,0.620272520841867,1.29951847924127
"26","WR","Brian Hightower",5300,"WIS","ILLINOIS",2,18.25,25.25,0.17365811217259,4.96543263979427,6.94789552688599,0.936874082980051,1.31092368431811
