"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Riley Leonard",10800,"PITT","DUKE",21.25,28.25,27.2155723571777,7.71429810909967,28.159423828125,2.60735405815972
"2","QB","Max Duggan",10500,"BAY","TCU",29.75,27.25,23.7302684783936,8.86301386832997,18.9086322784424,1.80082212175642
"3","QB","Jordan Travis",10400,"ULL","FLORIDA ST",38,14,29.0867881774902,7.53353967407634,22.7158946990967,2.18422064414391
"4","QB","Anthony Richardson",10000,"VAN","FLORIDA",35.75,21.75,24.8037853240967,6.38498421340955,23.4331569671631,2.34331569671631
"5","QB","J.J. McCarthy",8600,"ILL","MICHIGAN",29.25,12.25,25.1197071075439,12.0181419040841,15.6842288970947,1.82374754617381
"6","QB","Chandler Fields",8000,"FSU","LA LAFAYET",14,38,34.6435356140137,5.65581286780201,13.2663927078247,1.65829908847809
"7","QB","Payton Thorne",7500,"IND","MICH STATE",28.75,18.25,31.4169616699219,5.48381740676405,14.8006057739258,1.9734141031901
"8","QB","Blake Shapen",7400,"TCU","BAYLOR",27.25,29.75,28.7087574005127,6.71169527946807,19.0692119598389,2.57692053511336
"9","QB","Graham Mertz",7300,"NEB","WISCONSIN",26,15,24.7967205047607,4.83371233620559,10.3413324356079,1.41662088159012
"10","QB","Connor Bazelak",7000,"MSU","INDIANA",18.25,28.75,33.5435752868652,5.7104672375574,12.2531614303589,1.75045163290841
"11","QB","Tommy DeVito",7000,"MICH","ILLINOIS",12.25,29.25,30.418550491333,3.91634131035062,11.5597915649414,1.65139879499163
"12","QB","Mike Wright",7000,"UF","VANDERBILT",21.75,35.75,29.6349143981934,6.0152038981866,16.7726631164551,2.39609473092215
"13","QB","Casey Thompson",6900,"WIS","NEBRASKA",15,26,27.2418155670166,4.15338259374118,13.6864681243896,1.98354610498401
"14","QB","Kedon Slovis",6600,"DUKE","PITTSBURGH",28.25,21.25,27.0165843963623,4.73378279237605,13.5454902648926,2.05234700983221
