"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Travis Dye",9200,"UTAH","USC",1,30.75,34.25,19.1817107380919,2.83122079885378,19.930305480957,2.16633755227794
"2","RB","Anthony Grant",8800,"PUR","NEBRASKA",1,22.5,36,20.3063606926778,2.47852287279833,16.9154376983643,1.92220882935957
"3","RB","Will Shipley",8500,"FSU","CLEMSON",1,27.25,23.75,13.9147115668898,2.33775489317924,13.9310731887817,1.6389497869155
"4","RB","Casey Filkins",8200,"ND","STANFORD",1,18.25,35.25,21.2616089736456,3.9601666733001,18.4414806365967,2.2489610532435
"5","RB","Chris Rodriguez Jr.",8200,"MSST","KENTUCKY",1,19.75,26.25,21.422004972287,2.45236314784227,16.4384307861328,2.00468668123571
"6","RB","King Doerue",8000,"NEB","PURDUE",1,36,22.5,15.1707461396693,2.10574729402969,14.8928680419922,1.86160850524902
"7","RB","Tavion Thomas",7500,"USC","UTAH",1,34.25,30.75,13.2193989312792,1.81050051218587,13.4375047683716,1.79166730244954
"8","RB","Keaton Mitchell",7500,"MEM","E CAROLINA",1,31.25,26.75,15.2817914906752,3.83620571019534,19.9490756988525,2.65987675984701
"9","RB","Jo'quavious Marks",7400,"UK","MISS STATE",1,26.25,19.75,11.0345375498578,4.91865683927739,14.0217733383179,1.89483423490782
"10","RB","Brandon Thomas",7100,"ECU","MEMPHIS",1,26.75,31.25,12.3183926974809,1.88388552790681,13.0471382141113,1.83762510057906
"11","RB","Montrell Johnson Jr.",7000,"LSU","FLORIDA",1,27.25,24.25,10.4129846631545,1.72073189874686,14.2329015731812,2.03327165331159
"12","RB","Jaylen Coleman",7000,"UNC","DUKE",1,29.75,36.75,14.5836050397035,1.96280427234531,15.9645261764526,2.28064659663609
"13","RB","Chris Tyree",6800,"STAN","NOTRE DAME",1,35.25,18.25,15.386766684089,3.10314695229781,14.2604084014893,2.09711888257195
"14","RB","Josh Williams",5800,"UF","LSU",1,24.25,27.25,13.8873430010094,2.73483012128381,10.5174884796143,1.81336008269211
"15","RB","D.J. Jones",5100,"DUKE","N CAROLINA",1,36.75,29.75,13.8541352418003,2.69083167683317,12.3171062469482,2.41511887195064
"16","RB","Treshaun Ward",5000,"CLEM","FLORIDA ST",1,23.75,27.25,12.0134659572451,2.42460972295651,14.5170803070068,2.90341606140137
"17","RB","Devin Mockobee",7800,"NEB","PURDUE",2,36,22.5,9.29562791785663,3.10706349244139,10.1276969909668,1.29842269114959
"18","RB","Dillon Johnson",7700,"UK","MISS STATE",2,26.25,19.75,8.26571558298572,4.05213997976479,11.4562816619873,1.48782878727108
"19","RB","Jordan Waters",6900,"UNC","DUKE",2,29.75,36.75,11.0239754193978,2.64344657308445,9.74458122253418,1.41225814819336
"20","RB","Austin Jones",6000,"UTAH","USC",2,30.75,34.25,6.9106275820287,2.56487468397514,9.06997394561768,1.51166232426961
"21","RB","Asa Martin",5900,"ECU","MEMPHIS",2,26.75,31.25,8.55443097873827,2.89993298851673,7.0873236656189,1.20124129925744
"22","RB","Micah Bernard",5800,"USC","UTAH",2,34.25,30.75,9.34833778420434,3.10522293800578,8.88693904876709,1.53223087047708
"23","RB","Lawrance Toafili",5800,"CLEM","FLORIDA ST",2,23.75,27.25,7.93211110288017,2.71282868759205,7.48524808883667,1.29056001531667
"24","RB","Trevor Etienne",5800,"LSU","FLORIDA",2,27.25,24.25,8.63615861299176,1.97634386930727,8.56721115112305,1.47710537088328
"25","RB","Phil Mafah",5500,"FSU","CLEMSON",2,27.25,23.75,6.9729468086334,2.20348230610438,5.54664659500122,1.00848119909113
"26","RB","Kavosiey Smoke",5400,"MSST","KENTUCKY",2,19.75,26.25,7.38057933084439,1.94437973495098,6.16909694671631,1.14242536050302
"27","RB","Logan Diggs",5300,"STAN","NOTRE DAME",2,35.25,18.25,13.1521763556399,2.38911685750414,9.76916027069092,1.84323778692281
"28","RB","Gabe Ervin Jr.",5000,"PUR","NEBRASKA",2,22.5,36,6.83203765308703,2.61373378220541,5.73472929000854,1.14694585800171
