"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Clayton Tune",10700,"SMU","HOUSTON",31.25,34.75,37.689208984375,6.5021545161735,24.6810550689697,2.30664066065138
"2","QB","Adrian Martinez",10500,"TEX","KANSAS ST",26,28.5,28.174955368042,10.7660320960894,30.1456127166748,2.87101073492141
"3","QB","Bryce Young",10400,"LSU","ALABAMA",35,21.5,31.4933547973633,3.8493560506931,19.3928661346436,1.86469866679265
"4","QB","Will Rogers",10300,"AUB","MISS STATE",31.75,19.25,46.6404876708984,3.32117805830168,20.0557556152344,1.94716073934314
"5","QB","Sam Hartman",10300,"NCST","WAKE",28.5,25.5,33.5827560424805,4.47869343295815,18.4433631896973,1.7906177854075
"6","QB","DJ Uiagalelei",10200,"ND","CLEMSON",23.75,20.25,27.6312599182129,10.3871884667495,14.9889392852783,1.46950385149787
"7","QB","Jaren Hall",10000,"BOIS","BYU",23.25,31.25,31.1925525665283,3.45474909885563,20.0896987915039,2.00896987915039
"8","QB","Taylen Green",9900,"BYU","BOISE ST",31.25,23.25,23.1309757232666,7.26348199624465,17.7990455627441,1.79788339017618
"9","QB","Jordan Travis",9800,"MIA","FLORIDA ST",30.5,23,33.0481262207031,5.08766003031815,21.5461292266846,2.19858461496781
"10","QB","Tanner Mordecai",9700,"HOU","SMU",34.75,31.25,37.2195930480957,4.37308457848289,21.3197536468506,2.197912747098
"11","QB","Jayden Daniels",9200,"ALA","LSU",21.5,35,33.1355514526367,9.98818875116558,28.07688331604,3.05183514304783
"12","QB","Robby Ashford",9000,"MSST","AUBURN",19.25,31.75,29.904447555542,6.0694532050519,15.2948846817017,1.69943163130018
"13","QB","J.J. McCarthy",8500,"RUT","MICHIGAN",35.5,9.5,26.541202545166,7.70261256239468,17.5433101654053,2.06391884298886
"14","QB","Quinn Ewers",8200,"KSU","TEXAS",28.5,26,30.8715190887451,4.02531423914434,15.0624828338623,1.83688815047101
"15","QB","Spencer Rattler",8000,"VAN","S CAROLINA",27.5,21,28.0096416473389,2.66757920221215,15.6871490478516,1.96089363098145
"16","QB","Jack Chambers",7500,"WAKE","NC STATE",25.5,28.5,33.4628982543945,9.2023705398077,18.4975261688232,2.46633682250977
"17","QB","Tyler Van Dyke",7200,"FSU","MIAMI FL",23,30.5,38.5616111755371,7.59146488509867,15.1376276016235,2.10244827800327
"18","QB","Drew Pyne",6700,"CLEM","NOTRE DAME",20.25,23.75,26.4455432891846,6.85331336421484,13.00608253479,1.94120634847613
"19","QB","Gavin Wimsatt",6000,"MICH","RUTGERS",9.5,35.5,22.1838245391846,3.83102693617715,11.1532773971558,1.85887956619263
"20","QB","AJ Swann",6000,"SCAR","VANDERBILT",21,27.5,27.8332805633545,4.89222258655815,17.4245567321777,2.90409278869629
