"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Casey Filkins",9600,"ORST","STANFORD",1,25.75,30.75,19.2947510456597,3.2609358255934,14.1025838851929,1.46901915470759
"2","RB","Jahmyr Gibbs",8600,"TXAM","ALABAMA",1,36.25,12.25,12.8627884745082,4.29461747913117,16.1327934265137,1.87590621238531
"3","RB","George Holani",8500,"FRES","BOISE ST",1,26.5,19,20.7109921929132,2.88318632231821,18.3078536987305,2.15386514102711
"4","RB","Devon Achane",8300,"ALA","TEXAS A&M",1,12.25,36.25,20.908666948724,3.94099612081714,20.9957714080811,2.52961101302181
"5","RB","Jordan Mims",8300,"BOIS","FRESNO ST",1,19,26.5,17.2649922246216,2.93421617534967,16.4717445373535,1.98454753462091
"6","RB","Michael Wiley",7800,"ORE","ARIZONA",1,28.5,42,13.7279898046952,3.702415314233,15.143895149231,1.94152501913217
"7","RB","Bucky Irving",7500,"ARIZ","OREGON",1,42,28.5,12.3023547602747,3.08074990185752,17.1837844848633,2.29117126464844
"8","RB","Treshaun Ward",7100,"NCST","FLORIDA ST",1,23.5,27,13.2540773163605,2.27276134470603,12.0358114242554,1.6951847076416
"9","RB","Deshaun Fenwick",6800,"STAN","OREGON ST",1,30.75,25.75,12.7341840299729,1.81019479970484,14.5744962692261,2.14330827488619
"10","RB","Dedrick Parson",6400,"SDSU","HAWAII",1,12.5,36,14.9449390370656,2.517492537925,13.061710357666,2.04089224338531
"11","RB","Jordan Houston",5500,"FSU","NC STATE",1,27,23.5,11.6697065657088,2.90328888401775,11.0707607269287,2.01286558671431
"12","RB","Chance Bell",4500,"HAW","S DIEGO ST",1,36,12.5,14.3610750753253,1.37883185628468,12.8239326477051,2.84976281060113
"13","RB","Demie Sumo-Karngbaye",8000,"FSU","NC STATE",2,27,23.5,9.54302653425801,2.96867733352045,7.64059448242188,0.955074310302734
"14","RB","Ashton Jeanty",6500,"FRES","BOISE ST",2,26.5,19,7.99212438695451,2.48512910947356,8.03851795196533,1.23669506953313
"15","RB","Trey Lowe",6000,"STAN","OREGON ST",2,30.75,25.75,8.99338291995732,2.34933118217081,9.4156322479248,1.5692720413208
"16","RB","Jase McClellan",5900,"TXAM","ALABAMA",2,36.25,12.25,7.91923025904715,1.93737023727212,10.6156358718872,1.79926031726902
"17","RB","Cam Davis",5500,"HAW","S DIEGO ST",2,36,12.5,7.30523270737865,1.90873144623805,7.53434705734253,1.36988128315319
"18","RB","Malik Sherrod",5400,"BOIS","FRESNO ST",2,19,26.5,5.31465195031681,2.15656993887,6.0515079498291,1.12064962033872
"19","RB","Lawrance Toafili",5400,"NCST","FLORIDA ST",2,23.5,27,7.67836554554891,2.18641685347635,7.48524808883667,1.38615705348827
"20","RB","Jonah Coleman",5400,"ORE","ARIZONA",2,28.5,42,7.91704407193507,2.93078596833088,7.89804315567017,1.46260058438336
"21","RB","Noah Whittington",5400,"ARIZ","OREGON",2,42,28.5,11.6067880117454,2.04336367493847,11.0341606140137,2.0433630766692
"22","RB","Nasjzae Bryant-Lelei",5100,"SDSU","HAWAII",2,12.5,36,10.6370514418799,1.79944134906058,9.07728862762451,1.77986051522049
"23","RB","Caleb Robinson",4500,"ORST","STANFORD",2,25.75,30.75,7.78129203592249,1.75812549774256,7.50724744796753,1.66827721065945
"24","RB","Amari Daniels",4300,"ALA","TEXAS A&M",2,12.25,36.25,6.27864734174602,1.81740468862372,5.52281475067139,1.28437552341195
"25","RB","Jordan Byrd",8200,"HAW","S DIEGO ST",3,36,12.5,5.53013611077487,1.58887618273942,9.12358570098877,1.11263240255961
"26","RB","Trey Benson",5800,"NCST","FLORIDA ST",3,23.5,27,4.89373759053919,1.96293699382305,5.4863715171814,0.945926123651965
"27","RB","DJ Williams",5500,"ORE","ARIZONA",3,28.5,42,4.84514422659211,2.39749648064922,5.89916610717773,1.0725756558505
"28","RB","Sean Dollars",5300,"ARIZ","OREGON",3,42,28.5,5.56537346071915,2.5976393616636,8.15306663513184,1.53831445945884
"29","RB","Damien Martinez",5200,"STAN","OREGON ST",3,30.75,25.75,6.61674188941831,1.53406464152906,8.56986713409424,1.6480513719412
"30","RB","Tylan Hines",5000,"SDSU","HAWAII",3,12.5,36,4.2615078615542,1.73206417702513,4.46749496459961,0.893498992919922
"31","RB","Roydell Williams",4600,"TXAM","ALABAMA",3,36.25,12.25,4.52202533100747,1.65463732061878,7.39489078521729,1.60758495330811
"32","RB","Tyler Crowe",4100,"FRES","BOISE ST",3,26.5,19,2.10971252105178,1.60507633476835,5.17004060745239,1.26098551401278
"33","RB","Brendon Barrow",4100,"ORST","STANFORD",3,25.75,30.75,2.83439301163828,1.84353868073869,3.62511420249939,0.884174195731559
"34","RB","Elijah Gilliam",4000,"BOIS","FRESNO ST",3,19,26.5,2.24377127040354,1.7183701610715,3.82930970191956,0.957327425479889
"35","RB","Byron Cardwell",7000,"ARIZ","OREGON",4,42,28.5,4.51995589952801,2.09155026175943,8.15306663513184,1.16472380501883
"36","RB","Jam Griffin",5800,"STAN","OREGON ST",4,30.75,25.75,3.37720124667886,1.01474759822527,15.8368616104126,2.73049338110562
"37","RB","Kenan Christon",5100,"HAW","S DIEGO ST",4,36,12.5,4.41708856915247,2.09227208633363,6.88806486129761,1.35060095319561
"38","RB","Delbert Mimms III",4900,"FSU","NC STATE",3,27,23.5,3.51051418626102,2.16040344383437,5.64171934127808,1.15137129413838
"39","RB","Jordan Johnson",4800,"SDSU","HAWAII",4,12.5,36,4.00540514339953,1.81476885739092,3.96066927909851,0.825139433145523
"40","RB","Trey Sanders",4500,"TXAM","ALABAMA",4,36.25,12.25,3.99542947346753,1.67344497794484,7.39489078521729,1.64330906338162
"41","RB","Rodney Hill",4200,"NCST","FLORIDA ST",4,23.5,27,3.19812112458074,1.17567839731714,7.56693553924561,1.801651318868
"42","RB","Earnest Crownover",4100,"ALA","TEXAS A&M",3,12.25,36.25,2.65493206210001,1.12196191955265,5.60218000411987,1.36638536685851
