"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Bo Nix",12000,"UTAH","OREGON",29.25,31.25,31.8080863952637,8.88395466920542,32.6266975402832,2.71889146169027
"2","QB","Michael Penix Jr.",11200,"CU","WASHINGTON",46.5,16,39.2313270568848,3.74820683638973,23.4058017730713,2.08980372973851
"3","QB","Cameron Rising",11000,"ORE","UTAH",31.25,29.25,27.733959197998,6.74531533271636,26.4647274017334,2.40588430924849
"4","QB","Jake Haener",10700,"NEV","FRESNO ST",38,16,32.4055519104004,5.95849983250082,17.1655902862549,1.60426077441634
"5","QB","Jayden Daniels",10500,"UAB","LSU",33,17.5,25.9978942871094,10.8262932387634,31.1653137207031,2.96812511625744
"6","QB","Chevan Cordeiro",10000,"UTST","S JOSE ST",24.5,26,39.8378524780273,5.10028210274066,16.9899673461914,1.69899673461914
"7","QB","Haaziq Daniels",9600,"CSU","AIR FORCE",32,10.5,11.4096384048462,11.0314051926586,16.4905338287354,1.71776394049327
"8","QB","Clay Millen",6500,"AF","COLO STATE",10.5,32,24.4197902679443,3.98201794995907,10.1345043182373,1.55915451049805
"9","QB","Dylan Hopkins",6500,"LSU","UAB",17.5,33,26.6014881134033,6.1614573544955,16.1677627563477,2.48734811636118
"10","QB","Nate Cox",6200,"FRES","NEVADA",16,38,32.4303894042969,3.72718246601707,12.211220741272,1.96955173246322
"11","QB","J.T. Shrout",6000,"WASH","COLORADO",16,46.5,32.4226684570312,8.94018898026957,16.541955947876,2.75699265797933
