"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_fdpts","tar_value","pts_value"
"1","WR","Jordan Addison",9000,"CAL","USC",1,41,19.5,0.260148367187921,8.58921498657853,16.3756446838379,0.954357220730948,1.81951607598199
"2","WR","Elijhah Badger",8800,"UCLA","ARIZONA ST",1,28,39,0.291048911487624,9.33660424521888,14.8012189865112,1.06097775513851,1.68195670301264
"3","WR","Elijah Cooks",8700,"CSU","S JOSE ST",1,34.25,10.25,0.308350489735636,9.26474689555478,17.4777812957764,1.06491343627066,2.00894037882487
"4","WR","Jake Bobo",8300,"ASU","UCLA",1,39,28,0.272634090154516,8.73462552908614,15.0478076934814,1.05236452157664,1.8129888787327
"5","WR","Tory Horton",8200,"SJST","COLO STATE",1,10.25,34.25,0.372688466207262,10.3127419869768,10.0108404159546,1.25765146182644,1.22083419706763
"6","WR","A.T. Perry",8100,"NCST","WAKE",1,28.5,25.5,0.273515745783245,9.18541256441582,14.5995073318481,1.13400155116245,1.80240831257385
"7","WR","Thayer Thomas",7800,"WAKE","NC STATE",1,25.5,28.5,0.265098466818143,8.87096302253149,10.1086492538452,1.1373029516066,1.2959806735699
"8","WR","Johnny Wilson",7600,"MIA","FLORIDA ST",1,30.5,23,0.257842291693771,8.52120460093111,14.1480312347412,1.12121113170146,1.86158305720279
"9","WR","Antwane Wells Jr.",7500,"VAN","S CAROLINA",1,27.5,21,0.242151172074689,6.78256755429513,9.61633110046387,0.904342340572684,1.28217748006185
"10","WR","Colbie Young",7500,"FSU","MIAMI FL",1,23,30.5,0.241216187878236,9.30168484620585,14.1796989440918,1.24022464616078,1.89062652587891
"11","WR","Caleb Ducking",7400,"AUB","MISS STATE",1,31.75,19.25,0.232234512562999,10.8315309199517,13.4519090652466,1.46372039458806,1.81782554935765
"12","WR","Will Sheppard",7300,"SCAR","VANDERBILT",1,21,27.5,0.317958088001635,8.84981667073728,11.9442892074585,1.21230365352565,1.63620400102171
"13","WR","J.Michael Sturdivant",7200,"USC","CAL",1,19.5,41,0.264971665905361,10.3544058538103,10.287410736084,1.43811192414032,1.42880704667833
"14","TE","Michael Mayer",7200,"CLEM","NOTRE DAME",1,20.25,23.75,0.39913767439042,10.5554126464363,13.6000595092773,1.46602953422726,1.8888971540663
"15","WR","Jalen Moreno-Cropper",7000,"HAW","FRESNO ST",1,44.75,17.25,0.29191694881039,8.84568298626234,15.2548351287842,1.26366899803748,2.17926216125488
"16","WR","Jalen Moreno-Cropper",7000,"HAW","FRESNO ST",2,44.75,17.25,0.252992950896565,7.66620592093006,12.0570983886719,1.09517227441858,1.72244262695312
"17","WR","Ronnie Bell",6700,"RUT","MICHIGAN",1,35.5,9.5,0.314804424628405,8.35528799617694,14.4454526901245,1.24705790987715,2.15603771494396
"18","WR","Beaux Collins",6600,"ND","CLEMSON",1,23.75,20.25,0.241846452980993,6.68252220261566,7.29053401947021,1.01250336403268,1.1046263665864
"19","WR","Ja'Varrius Johnson",5600,"MSST","AUBURN",1,19.25,31.75,0.238252281999473,7.12480287204145,6.84484004974365,1.27228622715026,1.22229286602565
"20","TE","Johnny Langan",5000,"MICH","RUTGERS",1,9.5,35.5,0.344354177095783,7.63909264402815,6.34703397750854,1.52781852880563,1.26940679550171
"21","WR","Zion Bowens",4500,"FRES","HAWAII",1,17.25,44.75,0.278245505620989,8.95596777252291,8.84388828277588,1.99021506056065,1.96530850728353
"22","WR","Jahmal Banks",7500,"NCST","WAKE",2,28.5,25.5,0.184199063431324,6.18591221046755,8.38391876220703,0.824788294729006,1.11785583496094
"23","WR","Mario Williams",7500,"CAL","USC",2,41,19.5,0.187123332616237,6.17817651603746,12.7952709197998,0.823756868804995,1.70603612263997
"24","WR","Nikko Remigio",7100,"HAW","FRESNO ST",3,44.75,17.25,0.144306227624761,4.37277502287534,9.42436981201172,0.61588380603878,1.32737602986081
"25","WR","Jeremiah Hunter",6700,"USC","CAL",2,19.5,41,0.185618012660627,7.2534707826168,7.48878765106201,1.08260757949505,1.11772950015851
"26","WR","Justus Ross-Simmons",6700,"SJST","COLO STATE",2,10.25,34.25,0.169254745541521,4.68348414053256,5.10399055480957,0.699027483661576,0.761789635046204
"27","WR","Rara Thomas",6500,"AUB","MISS STATE",2,31.75,19.25,0.153348116600805,7.15223094167534,10.2697725296021,1.10034322179621,1.57996500455416
"28","WR","Kazmeir Allen",6500,"ASU","UCLA",2,39,28,0.209323599184504,6.70628992963036,11.007963180542,1.03173691225083,1.69353279700646
"29","WR","Roman Wilson",6400,"RUT","MICHIGAN",2,35.5,9.5,0.240901082080773,6.39380441285545,9.69657325744629,0.999031939508665,1.51508957147598
"30","WR","Jalen Brooks",6300,"VAN","S CAROLINA",2,27.5,21,0.180026953154528,5.0424904447206,6.93694353103638,0.80039530868581,1.10110214778355
"31","WR","Mycah Pittman",6200,"MIA","FLORIDA ST",2,30.5,23,0.190043672165779,6.28058726518058,10.5676593780518,1.01299794599687,1.70446119000835
"32","WR","Frank Ladson Jr.",5900,"FSU","MIAMI FL",2,23,30.5,0.203253579567203,7.83778550530659,8.33423233032227,1.3284382212384,1.41258175090208
"33","WR","Devin Carter",5800,"WAKE","NC STATE",2,25.5,28.5,0.17226083117363,5.76434666678061,7.37260723114014,0.993852873582864,1.27113917778278
"34","WR","Aron Cruickshank",5700,"MICH","RUTGERS",2,9.5,35.5,0.195502051538361,4.33698320837761,5.22701930999756,0.760874247083792,0.917020931578519
"35","WR","Justin Lockhart",5600,"CSU","S JOSE ST",2,34.25,10.25,0.19222206898085,5.7755342577023,9.62992668151855,1.03134540316113,1.71962976455688
"36","WR","Antonio Williams",5500,"ND","CLEMSON",2,23.75,20.25,0.194571057456224,5.37624346113445,7.69398975372314,0.977498811115355,1.39890722794966
"37","WR","Andre Johnson",5500,"UCLA","ARIZONA ST",2,28,39,0.206390921951421,6.62084715664092,7.67980909347534,1.20379039211653,1.39632892608643
"38","WR","Jayden McGowan",5400,"SCAR","VANDERBILT",2,21,27.5,0.198949866712029,5.5374274582379,7.71072006225586,1.02544952930331,1.42791112263997
"39","WR","Lorenzo Styles",5300,"CLEM","NOTRE DAME",2,20.25,23.75,0.186069569868014,4.92071086474451,7.20638036727905,0.928436012215945,1.35969440892058
"40","WR","Jonah Panoke",5200,"FRES","HAWAII",2,17.25,44.75,0.170752231478384,5.49605097409855,5.2441291809082,1.05693287963434,1.00848638094389
"41","TE","John Samuel Shenker",4900,"MSST","AUBURN",2,19.25,31.75,0.191359536600984,5.72250122653694,5.82653570175171,1.1678573931708,1.18908891872484
"42","WR","Donavon Greene",6700,"NCST","WAKE",3,28.5,25.5,0.139636998321958,4.68939524915058,7.64937305450439,0.69990973867919,1.14169747082155
"43","WR","Bryan Thompson",6200,"UCLA","ARIZONA ST",3,28,39,0.148427365809289,4.76142503553253,7.93556833267212,0.767971779924601,1.27993037623744
"44","WR","Ontaria Wilson",6100,"MIA","FLORIDA ST",3,30.5,23,0.15043294762412,4.97152704083434,6.71622943878174,0.815004432923662,1.10102121947242
"45","WR","Kam Brown",6000,"ASU","UCLA",3,39,28,0.141166197798332,4.52266946673657,7.15653324127197,0.753778244456095,1.192755540212
"46","TE","Will Mallory",5700,"FSU","MIAMI FL",3,23,30.5,0.154583991337865,5.96100776793333,7.16823053359985,1.04579083647953,1.25758430414033
"47","WR","Joseph Ngata",5600,"ND","CLEMSON",3,23.75,20.25,0.156235582400926,4.31698598579337,5.64209222793579,0.770890354605958,1.00751646927425
"48","WR","Rufus Harvey",5600,"AUB","MISS STATE",3,31.75,19.25,0.131072254618979,6.11327387555334,8.55619335174561,1.09165604920595,1.52789166995457
"49","WR","Koy Moore",5500,"MSST","AUBURN",3,19.25,31.75,0.129275091866785,3.86590020496816,4.80875873565674,0.702890946357847,0.874319770119407
"50","WR","Mavin Anderson",5400,"USC","CAL",3,19.5,41,0.160782366254365,6.28295809910593,6.82193231582642,1.16351075909369,1.26332079922711
"51","WR","Keyon Lesane",5400,"WAKE","NC STATE",3,25.5,28.5,0.138371655732433,4.63031663706651,5.84895706176758,0.857466043901206,1.08314019662363
"52","WR","Brenden Rice",5300,"CAL","USC",3,41,19.5,0.149986210129289,4.95203493970815,10.0549068450928,0.934346215039273,1.89715223492316
"53","TE","Luke Schoonmaker",5300,"RUT","MICHIGAN",3,35.5,9.5,0.177725644096507,4.71705231743548,8.06728076934814,0.890009871214241,1.52212844704682
"54","WR","Shameen Jones",5100,"MICH","RUTGERS",3,9.5,35.5,0.162461908492364,3.60402647229566,4.66862010955811,0.706671857312876,0.915415707756491
"55","WR","Braden Lenzy",5100,"CLEM","NOTRE DAME",3,20.25,23.75,0.139085321178457,3.67818688211504,6.04278659820557,0.721213114140203,1.18486011729521
