"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Bo Nix",11700,"UCLA","OREGON",38.5,32.5,31.975227355957,6.67626852783849,30.8810214996338,2.63940354697725
"2","QB","John Rhys Plumlee",11500,"ECU","UCF",34.25,29.25,28.6478843688965,12.7254889998341,29.2415447235107,2.54274301943572
"3","QB","Spencer Sanders",11200,"TEX","OKLA STATE",26.25,32.25,38.9737396240234,7.59562296961394,25.3892459869385,2.26689696311951
"4","QB","Dorian Thompson-Robinson",11000,"ORE","UCLA",32.5,38.5,31.7916793823242,6.692381157623,23.5215263366699,2.1383205760609
"5","QB","Max Duggan",10800,"KSU","TCU",29,25.5,29.6479644775391,5.4441657691018,23.9489345550537,2.21749394028275
"6","QB","Bryce Young",10600,"MSST","ALABAMA",41,20,29.3045959472656,3.87180390882023,21.7725601196289,2.05401510562537
"7","QB","Adrian Martinez",10500,"TCU","KANSAS ST",25.5,29,27.3424758911133,11.6360101347207,31.712589263916,3.02024659656343
"8","QB","C.J. Stroud",10400,"IOWA","OHIO STATE",39.75,10.25,26.4774494171143,6.57929417723437,18.0134372711182,1.73206127606905
"9","QB","DJ Uiagalelei",10400,"SYR","CLEMSON",32,18,25.8054618835449,9.40709209054967,23.7626495361328,2.28487014770508
"10","QB","Jayden Daniels",10000,"MISS","LSU",33,31.5,33.3025932312012,9.9789221557271,25.7426853179932,2.57426853179932
"11","QB","Jaxson Dart",10000,"LSU","OLE MISS",31.5,33,34.3247909545898,8.29064968292204,23.4043579101562,2.34043579101562
"12","QB","Jason Bean",9900,"BAY","KANSAS",23.25,33.75,25.3875732421875,5.41819257858782,14.042160987854,1.41840009978323
"13","QB","Holton Ahlers",9800,"UCF","E CAROLINA",29.25,34.25,36.6350975036621,5.28003927430768,22.4987316131592,2.29578894011828
"14","QB","Tanner Mordecai",9500,"CIN","SMU",28.25,31.75,39.8379096984863,4.94547912479021,22.538064956665,2.37242789017527
"15","QB","Blake Shapen",9200,"KU","BAYLOR",33.75,23.25,31.4546852111816,4.03282261873517,20.2684364318848,2.20309091650921
"16","QB","Will Rogers",9000,"ALA","MISS STATE",20,41,46.031852722168,2.40316344398202,20.9339065551758,2.32598961724175
"17","QB","Quinn Ewers",8700,"OKST","TEXAS",32.25,26.25,31.6057834625244,4.35451958774138,20.0321960449219,2.30255126953125
"18","QB","Garrett Shrader",8600,"CLEM","SYRACUSE",18,32,29.9083251953125,6.60343686983197,18.7403221130371,2.17910722244618
"19","QB","Donovan Smith",8400,"WVU","TEXAS TECH",35.25,30.25,45.7974243164062,8.13560547511059,21.7531623840332,2.58966218857538
"20","QB","Aidan O'Connell",8200,"WIS","PURDUE",25,26.5,34.8167877197266,2.99218783175263,15.7579164505005,1.92169712810982
"21","QB","Ben Bryant",8100,"SMU","CINCINNATI",31.75,28.25,32.7695083618164,6.51067673282756,18.6745052337646,2.30549447330428
"22","QB","Sean Clifford",8000,"MINN","PENN STATE",24,19,30.0305976867676,7.25739363176103,13.3169631958008,1.6646203994751
"23","QB","JT Daniels",7600,"TTU","W VIRGINIA",30.25,35.25,33.852180480957,5.89224900947875,17.220609664917,2.26586969275224
"24","QB","Graham Mertz",7300,"PUR","WISCONSIN",26.5,25,27.5191287994385,3.65825674424764,16.6904392242432,2.28636153756756
"25","QB","Haynes King",7100,"SCAR","TEXAS A&M",23.75,20.75,28.3331241607666,6.36260758426079,15.0605936050415,2.12121036690725
"26","QB","Spencer Rattler",6700,"TXAM","S CAROLINA",20.75,23.75,26.390552520752,4.6180316926683,14.8911190032959,2.22255507511879
"27","QB","Tanner Morgan",6500,"PSU","MINNESOTA",19,24,24.8623104095459,4.87565324319985,11.9141912460327,1.83295249938965
"28","QB","Spencer Petras",5700,"OSU","IOWA",10.25,39.75,26.2420139312744,3.05460907815905,7.21534729003906,1.26585040176124
