"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Travis Dye",10500,"CU","USC",1,50,16,22.464413723801,2.92943219131166,21.1712284088135,2.01630746750605
"2","RB","Keaton Mitchell",9600,"CIN","E CAROLINA",1,23.5,29,21.0492548676028,3.76649935849496,24.0580158233643,2.50604331493378
"3","RB","Aidan Robbins",9200,"FRES","UNLV",1,24.75,34.25,17.0870242139405,2.46535232897771,14.2543907165527,1.54939029527747
"4","RB","Jordan Mims",9000,"UNLV","FRESNO ST",1,34.25,24.75,21.4913495136566,2.27535162700283,19.6849670410156,2.18721856011285
"5","RB","Charles McClelland",8500,"ECU","CINCINNATI",1,29,23.5,17.3408738568936,2.14791533087154,18.260009765625,2.14823644301471
"6","RB","Anthony Hankerson",6800,"USC","COLORADO",1,16,50,15.4323432433396,2.17821561976638,10.6651487350464,1.56840422574212
"7","RB","Austin Jones",6500,"CU","USC",2,50,16,4.46579633421254,2.66765002752447,8.10420417785645,1.24680064274715
"8","RB","Malik Sherrod",6200,"UNLV","FRESNO ST",2,34.25,24.75,8.9512281354742,1.90671384189624,9.4156322479248,1.51865036256852
"9","RB","Alex Fontenot",6000,"USC","COLORADO",2,16,50,9.96416700922158,2.3839865792076,6.17390298843384,1.02898383140564
"10","RB","Corey Kiner",5500,"ECU","CINCINNATI",2,29,23.5,7.21071640210701,1.85468635956415,9.28486347198486,1.68815699490634
"11","RB","Courtney Reese",5000,"FRES","UNLV",2,24.75,34.25,7.91471670545563,2.45278867608674,7.76052522659302,1.5521050453186
"12","RB","Deion Smith",5700,"USC","COLORADO",3,16,50,3.67286978683493,2.75934430255374,3.29280519485474,0.57768512190434
"13","RB","Elijah Gilliam",5400,"UNLV","FRESNO ST",3,34.25,24.75,3.11788714005486,1.53338875107499,7.19575929641724,1.33254801785504
"14","RB","Raleek Brown",5100,"CU","USC",3,50,16,2.24392226863973,1.99071658512142,6.72777509689331,1.31917158762614
"15","RB","Jordan Younge-Humphrey",4700,"FRES","UNLV",3,24.75,34.25,4.04042751014895,2.63390572346096,5.76164865493774,1.22588269253995
"16","RB","Myles Montgomery",4200,"ECU","CINCINNATI",3,29,23.5,3.49507228455785,1.75861834993529,7.79281520843506,1.85543219248454
"17","RB","Kamarro Edmonds",4000,"CIN","E CAROLINA",2,23.5,29,9.97509102394696,1.70869936227224,8.47636985778809,2.11909246444702
"18","RB","Ryan Montgomery",5300,"ECU","CINCINNATI",4,29,23.5,2.22464034779554,2.26508479366956,5.90956020355225,1.1150113591608
"19","RB","Jayle Stacks",5200,"USC","COLORADO",4,16,50,2.69467962453279,2.05989361755146,1.91637551784515,0.36853375343176
"20","RB","Darwin Barlow",4500,"CU","USC",4,50,16,3.20192463988212,2.06755923379407,7.37637948989868,1.63919544219971
"21","RB","Nemo Squire",4000,"CIN","E CAROLINA",3,23.5,29,2.62583050018293,1.70869936227224,4.21884393692017,1.05471098423004
"22","RB","Jevon Bigelow",4000,"UNLV","FRESNO ST",4,34.25,24.75,1.88287305584653,1.09840637652314,8.84871673583984,2.21217918395996
"23","RB","Chad Magyar",4000,"FRES","UNLV",4,24.75,34.25,1.67148659105586,2.23083545690233,4.38521957397461,1.09630489349365
"24","RB","Johnathan Arceneaux",4000,"UNLV","FRESNO ST",5,34.25,24.75,2.360504662384,1.09840637652314,8.84871673583984,2.21217918395996
"25","RB","Victor Venn",4000,"USC","COLORADO",5,16,50,1.3857927357132,1.24992025094611,4.72476434707642,1.1811910867691
"26","RB","Simi Bakare",4000,"UNLV","FRESNO ST",6,34.25,24.75,1.68352790628627,1.09840637652314,8.84871673583984,2.21217918395996
