"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Xazavian Valladay",6500,"ASU","USC",1,17.25,42.75,18.7381449936872,3.11550793973981,18.2860927581787,2.8132450397198
"2","Travis Dye",6300,"USC","ASU",1,42.75,17.25,13.1203607525031,2.32276819330551,21.4671726226807,3.40748771788582
"3","Casey Filkins",3500,"STAN","ORE",1,23,40,18.2722956403206,2.73192540434118,14.0385894775391,4.01102556501116
"4","Austin Jones",4500,"USC","ASU",2,42.75,17.25,7.63356691771878,2.00123147839743,14.5018901824951,3.22264226277669
"5","Daniyel Ngata",4200,"ASU","USC",2,17.25,42.75,5.903681775071,1.97626048711072,5.09422922134399,1.21291171936762
"6","Noah Whittington",3200,"ORE","STAN",2,40,23,9.56028203486268,1.80734550625761,10.2310419082642,3.19720059633255
"7","Caleb Robinson",3000,"STAN","ORE",2,23,40,8.31125920696793,1.59409451477474,6.93810558319092,2.31270186106364
"8","Sean Dollars",3400,"ORE","STAN",3,40,23,5.04985918054991,2.26842945080984,7.47557497024536,2.1986985206604
"9","Raleek Brown",3100,"USC","ASU",3,42.75,17.25,4.18017800450298,1.76570127607819,9.01339817047119,2.90754779692619
"10","Brendon Barrow",3000,"STAN","ORE",3,23,40,3.59924588501059,1.71026086923443,4.49914932250977,1.49971644083659
"11","George Hart III",3000,"ASU","USC",3,17.25,42.75,2.86750181029004,2.02633567323886,4.34805345535278,1.44935115178426
"12","Jordan James",3000,"ORE","STAN",4,40,23,4.03398582643266,1.86697794637048,7.47557497024536,2.49185832341512
"13","Arlen Harris",3000,"STAN","ORE",4,23,40,2.28279721395155,1.68213860520517,3.75297379493713,1.25099126497904
"14","Byron Cardwell",4400,"ORE","STAN",5,40,23,3.2564720903951,1.93508449021402,6.72939729690552,1.52940847656944
