"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Elijhah Badger",7400,"ASU","USC",1,17.25,42.75,0.294998655661441,8.6355965758251,10.6810617446899,1.4433867222554
"2","Mario Williams",6800,"USC","ASU",1,42.75,17.25,0.255338511066765,7.15986546304485,18.3120517730713,2.69294879015754
"3","Michael Wilson",5500,"STAN","ORE",1,23,40,0.246461362027668,7.08289145210467,13.6956605911255,2.49012010747736
"4","Chase Cota",3000,"ORE","STAN",1,40,23,0.231839067150908,6.86713482908895,18.7825736999512,6.26085789998372
"5","Jordan Addison",8600,"USC","ASU",2,42.75,17.25,0.205076291538403,5.75047865259617,13.2117519378662,1.53625022533328
"6","Troy Franklin",4700,"ORE","STAN",2,40,23,0.137704238188072,4.07883615904537,12.6232805252075,2.68580436706543
"7","Elijah Higgins",4600,"STAN","ORE",2,23,40,0.184449866630015,5.300783753475,8.89654445648193,1.93403140358303
"8","Giovanni Sanders",3000,"ASU","USC",2,17.25,42.75,0.166354161387516,4.86974228147325,7.52222442626953,2.50740814208984
"9","Andre Johnson",4900,"ASU","USC",3,17.25,42.75,0.158740809761902,4.64687403456109,6.36358261108398,1.29869032879265
"10","Benjamin Yurosek",3400,"STAN","ORE",3,23,40,0.161126140002839,4.6304984698113,8.21277713775635,2.4155226875754
"11","Lake McRee",3200,"USC","ASU",3,42.75,17.25,0.150369988295804,4.2164767131272,8.04313087463379,2.51347839832306
"12","Kris Hutson",3100,"ORE","STAN",3,40,23,0.125282453956807,3.71089960640893,8.93409442901611,2.88196594484391
"13","Brycen Tremayne",4200,"STAN","ORE",4,23,40,0.115496785926656,3.31918638708828,6.96454286575317,1.65822449184599
"14","Terrance Ferguson",3500,"ORE","STAN",4,40,23,0.105312047000387,3.1193708410165,7.3913311958313,2.11180891309466
"15","Brenden Rice",3100,"USC","ASU",4,42.75,17.25,0.114560222829854,3.21234654126936,7.55886459350586,2.43834341725995
"16","Jalin Conyers",3000,"ASU","USC",4,17.25,42.75,0.123264706006434,3.60836991179679,4.97278928756714,1.65759642918905
"17","Messiah Swinson",3300,"ASU","USC",5,17.25,42.75,0.103850659361117,3.04005588217079,3.96117806434631,1.20035698919585
"18","Seven McGee",3200,"ORE","STAN",5,40,23,0.0994116994905357,2.94460097851419,5.32200908660889,1.66312783956528
"19","John Humphreys",3000,"STAN","ORE",5,23,40,0.0981890998977586,2.82179214881403,5.24167394638062,1.74722464879354
"20","Kyron Hudson",3000,"USC","ASU",5,42.75,17.25,0.0788239132930641,2.2102761236102,5.54169034957886,1.84723011652629
"21","Dont'e Thornton",4000,"ORE","STAN",6,40,23,0.0750379292777764,2.22264342234744,4.79931020736694,1.19982755184174
"22","Bryan Thompson",3700,"ASU","USC",6,17.25,42.75,0.0645703841848241,1.89019094787374,3.03250646591187,0.819596342138342
