"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Aidan Robbins",6800,"UNLV","UNM",1,28.75,14.25,19.5667262604711,2.35124326944169,22.3061141967773,3.28031091129079
"2","George Holani",6700,"BSU","SDSU",1,22.5,16.5,22.0935711140022,2.95628068558015,18.0642414093018,2.69615543422414
"3","Zach Charbonnet",6500,"UCLA","UW",1,31.25,34.25,14.276215686893,4.01560518878333,21.586856842041,3.32105489877554
"4","Wayne Taulapapa",6400,"UW","UCLA",1,34.25,31.25,12.9334063503208,2.53358476952214,18.6255722045898,2.91024565696716
"5","Ta'Zhawn Henry",5900,"UH","TUL",1,28.5,26,17.9397864305731,2.89370063460986,17.0150146484375,2.88390078787076
"6","Nathaniel Jones",3700,"UNM","UNLV",1,14.25,28.75,14.9521485729722,2.04883261017024,11.9561071395874,3.2313803079966
"7","Cam Davis",3500,"SDSU","BSU",1,16.5,22.5,12.1195589669695,2.08600248190681,9.42367458343506,2.69247845241002
"8","Brandon Campbell",6200,"UH","TUL",2,28.5,26,5.51583522335887,2.98890258091203,7.72393226623535,1.24579552681215
"9","Keegan Jones",5500,"UCLA","UW",2,31.25,34.25,9.92296146518247,2.82645887441635,10.4624652862549,1.90226641568271
"10","Ashton Jeanty",5000,"BSU","SDSU",2,22.5,16.5,7.15465714336471,3.0450777789744,6.44774341583252,1.2895486831665
"11","Sherod White",4800,"UNM","UNLV",2,14.25,28.75,5.48882785779686,1.97162440445212,4.02424383163452,0.838384131590525
"12","Courtney Reese",4700,"UNLV","UNM",2,28.75,14.25,6.1662388092412,2.20019118979299,8.35740184783936,1.77817060592327
"13","Kenan Christon",3700,"SDSU","BSU",2,16.5,22.5,7.49779771670661,2.28658922842096,7.14765977859497,1.9317999401608
"14","Chance Bell",5300,"SDSU","BSU",3,16.5,22.5,2.25246455423873,1.50688913309982,3.71417140960693,0.700787058416403
"15","Chad Magyar",3800,"UNLV","UNM",3,28.75,14.25,1.64080112389542,2.28582300050072,7.36286306381226,1.93759554310849
"16","Christian Washington",3000,"UNM","UNLV",3,14.25,28.75,3.50247030372776,2.22530850895451,3.27806901931763,1.09268967310588
"17","Jaden Hullaby",3000,"UNM","UNLV",4,14.25,28.75,2.61213209490903,2.07640696935528,3.27806901931763,1.09268967310588
