"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Nathaniel Dell",7400,"UH","TUL",1,28.5,26,0.282426261739767,8.50583512068896,17.420295715332,2.35409401558541
"2","Stefan Cobbs",6700,"BSU","SDSU",1,22.5,16.5,0.216445432974285,6.2091565715641,11.6030960083008,1.73180537437325
"3","Kyle Williams",6200,"UNLV","UNM",1,28.75,14.25,0.220086564094134,6.30549424992202,14.3818817138672,2.31965834094632
"4","Luke Wysong",6100,"UNM","UNLV",1,14.25,28.75,0.302109737561755,6.45902295861207,8.33845806121826,1.36696033790463
"5","Kazmeir Allen",6000,"UCLA","UW",1,31.25,34.25,0.184508631373344,6.59787631779171,16.5802688598633,2.76337814331055
"6","Jesse Matthews",4500,"SDSU","BSU",1,16.5,22.5,0.22486882470552,5.17068296249027,7.22661304473877,1.60591400994195
"7","Ja'Lynn Polk",4100,"UW","UCLA",1,34.25,31.25,0.13995981894982,5.28142763365193,16.5108470916748,4.02703587601825
"8","Jalen McMillan",7100,"UW","UCLA",2,34.25,31.25,0.214383068849542,8.08981229402005,19.0210342407227,2.67901890714404
"9","Latrell Caples",6400,"BSU","SDSU",2,22.5,16.5,0.193281105713387,5.54464296708925,9.41463088989258,1.47103607654572
"10","Ricky White",6300,"UNLV","UNM",2,28.75,14.25,0.222419218186019,6.37232494003698,11.9562101364136,1.89781113276406
"11","Geordan Porter",5600,"UNM","UNLV",2,14.25,28.75,0.197214670719955,4.21639532785641,6.10759735107422,1.0906423841204
"12","Matthew Golden",5100,"UH","TUL",2,28.5,26,0.156299871837842,4.70728511947835,9.76232528686523,1.9141814287971
"13","Tyrell Shavers",3900,"SDSU","BSU",2,16.5,22.5,0.173911278029532,3.99895398337151,6.88370513916016,1.76505259978466
"14","Michael Ezeike",3700,"UCLA","UW",2,31.25,34.25,0.0886244367507733,3.16913668516883,10.1651029586792,2.74732512396735
"15","Jake Bobo",7300,"UCLA","UW",3,31.25,34.25,0.135370287561144,4.84072971429215,9.0947151184082,1.24585138608332
"16","Rome Odunze",5400,"UW","UCLA",3,34.25,31.25,0.230581081501412,8.70104937814705,18.5557327270508,3.4362468013057
"17","Billy Bowens",4700,"BSU","SDSU",3,22.5,16.5,0.17186502956652,4.93028133276343,8.67032051086426,1.84474904486474
"18","Jeff Weimer",4500,"UNLV","UNM",3,28.75,14.25,0.176678994870453,5.06186459324773,8.88903903961182,1.97534200880263
"19","Christian Trahan",3800,"UH","TUL",3,28.5,26,0.0730851001893815,2.20110484117342,7.23134613037109,1.90298582378187
"20","Mekhi Shaw",3500,"SDSU","BSU",3,16.5,22.5,0.101819759363713,2.34126582764982,6.24520206451416,1.78434344700405
"21","Austin Erickson",3200,"UNM","UNLV",3,14.25,28.75,0.102809110562335,2.19803046017631,6.0373101234436,1.88665941357613
"22","KeSean Carter",5200,"UH","TUL",4,28.5,26,0.1013513739284,3.05240054724303,6.35983562469482,1.22304531244131
"23","Kam Brown",4400,"UCLA","UW",4,31.25,34.25,0.102791863829317,3.6757521801178,5.78960561752319,1.315819458528
"24","Mark Redman",3500,"SDSU","BSU",4,16.5,22.5,0.154422251406084,3.55081904048048,4.9232439994812,1.40664114270891
"25","Shelton Zeon III",3400,"UNLV","UNM",4,28.75,14.25,0.111093611514506,3.18283913191619,6.35983562469482,1.87053988961612
"26","Devin Culp",3300,"UW","UCLA",4,34.25,31.25,0.101909793462683,3.845597996426,7.3997974395752,2.24236286047733
"27","Riley Smith",3300,"BSU","SDSU",4,22.5,16.5,0.11757371351215,3.37282975143159,5.97276878356934,1.80992993441495
"28","Will Dennis",3000,"UNM","UNLV",4,14.25,28.75,0.125754906433979,2.68860525440411,4.52791309356689,1.5093043645223
"29","Joseph Manjack IV",3900,"UH","TUL",5,28.5,26,0.141009525103849,4.2467855630407,5.38870048522949,1.38171807313577
"30","Darius De Los Reyes",3700,"SDSU","BSU",5,16.5,22.5,0.0567625601975766,1.30521073032376,3.04417729377747,0.822750619939856
"31","Titus Mokiao-Atimalala",3600,"UCLA","UW",5,31.25,34.25,0.104151517667751,3.72437227877782,5.49212598800659,1.52559055222405
"32","Cole Wright",3600,"BSU","SDSU",5,22.5,16.5,0.0443155420387478,1.27127717730596,3.56700921058655,0.990835891829597
"33","Giles Jackson",3500,"UW","UCLA",5,34.25,31.25,0.112763291769596,4.25515815669227,6.95535564422607,1.98724446977888
"34","Trae Hall",3000,"UNM","UNLV",5,14.25,28.75,0.149768384235976,3.20200679415925,3.7037398815155,1.23457996050517
"35","Senika McKie",3000,"UNLV","UNM",5,28.75,14.25,0.0605023063856231,1.73339497843401,4.30436515808105,1.43478838602702
"36","Taj Davis",4000,"UW","UCLA",6,34.25,31.25,0.119810492011331,4.52108646651611,7.19669389724731,1.79917347431183
"37","Logan Loya",3800,"UCLA","UW",6,31.25,34.25,0.0939242486506753,3.35865358290332,4.25529623031616,1.11981479745162
"38","Brionne Penny",3800,"SDSU","BSU",6,16.5,22.5,0.103285906320707,2.37497873161043,3.12525033950806,0.822434299870541
"39","Kaleo Ballungay",3500,"UNLV","UNM",6,28.75,14.25,0.0854826932715019,2.44908467315961,4.11139488220215,1.17468425205776
"40","Davis Koetter",3200,"BSU","SDSU",6,22.5,16.5,0.063993210827858,1.83576922870204,3.31835412979126,1.03698566555977
"41","Jah'Mar Sanders",3000,"UNM","UNLV",6,14.25,28.75,0.062490069245018,1.3360204646046,2.23734188079834,0.74578062693278
