"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"1","Louisville","Florida State",26.25,28.25,24.1550064086914,34.0203704833984
"2","Wyoming","Air Force",17.25,32.75,24.0097637176514,34.7818260192871
"3","Michigan","Connecticut",51.75,5.75,26.4992942810059,39.1009368896484
"4","Syracuse","Purdue",29.5,29.5,33.3442039489746,33.5144271850586
"5","Indiana","Western Kentucky",32.75,26.25,31.6410293579102,35.0889091491699
"6","Baylor","Texas State",42,11,32.1135559082031,38.5023231506348
"7","Nebraska","Oklahoma",25.75,38.75,33.483024597168,42.2787780761719
"8","South Carolina","Georgia",13,37.5,28.7137660980225,28.0183601379395
"9","Miami (OH)","Cincinnati",14.75,35.25,29.4785346984863,34.3811645507812
"10","Coastal Carolina","Buffalo",37.5,20,26.0719013214111,39.6675262451172
"11","UCLA","South Alabama",36.25,22.75,30.7209033966064,38.3530883789062
"12","Virginia","Old Dominion",31.5,21.5,30.5692272186279,33.607738494873
"13","Iowa State","Ohio",34.75,13.75,32.9881744384766,31.9531784057617
"14","Notre Dame","California",26.5,16,29.5419902801514,29.5524959564209
"15","Kansas State","Tulane",33,16,20.9992599487305,37.114631652832
"16","UNLV","North Texas",30.25,27.75,28.2442073822021,30.3935127258301
"17","Wisconsin","New Mexico State",42.25,4.75,28.4396476745605,31.2507076263428
"18","UAB","Georgia Southern",34.5,22,27.2362575531006,41.4824333190918
"19","Georgia Tech","Ole Miss",22.75,37.25,28.2819080352783,35.136604309082
"20","Appalachian State","Troy",33.25,34.5,25.3958969116211,39.5731887817383
"21","Northern Illinois","Vanderbilt",31,29.5,18.1263046264648,37.3757171630859
"22","Oregon","BYU",30,26.5,30.4812831878662,34.7481918334961
"23","Minnesota","Colorado",36.75,9.75,27.2474536895752,39.9646949768066
"24","Auburn","Penn State",22.75,25.75,29.8482437133789,35.4179611206055
"25","Alabama","Louisiana Monroe",54.5,5.5,40.7998962402344,29.3760299682617
"26","Houston","Kansas",35.75,26.25,26.3045520782471,34.0994415283203
"27","Washington State","Colorado State",34.75,18.25,42.4404792785645,32.2553253173828
"28","Bowling Green","Marshall",17.75,35.75,32.8087501525879,37.2528762817383
"29","Wake Forest","Liberty",39.25,23.25,36.2187347412109,41.8358459472656
"30","LSU","Mississippi State",25.5,28.5,34.0726013183594,31.0307121276855
"31","Ohio State","Toledo",45.75,15.25,34.581413269043,34.1493835449219
"32","Tennessee","Akron",56.5,9,30.7634677886963,41.3519515991211
"33","NC State","Texas Tech",32.5,23,32.7045555114746,37.3234977722168
"34","Memphis","Arkansas State",38.5,24.5,30.9344310760498,32.4821319580078
"35","Georgia State","Charlotte",40,20.5,26.7887287139893,41.7410736083984
"36","Iowa","Nevada",31,9,25.976676940918,35.2180252075195
"37","Western Michigan","Pittsburgh",21.75,32.75,29.0359439849854,31.2185802459717
"38","Florida","South Florida",41.75,17.25,28.7942371368408,34.3750038146973
"39","Rice","Louisiana",20.5,32.5,26.7656898498535,33.0639762878418
"40","Washington","Michigan State",29,26,39.0133781433105,33.9435119628906
"41","Florida Atlantic","UCF",24.75,34.25,37.681209564209,35.4980926513672
"42","Maryland","SMU",36.25,33.75,30.9089374542236,35.1375198364258
"43","New Mexico","UTEP",19,22,20.2041358947754,41.3733062744141
"44","Clemson","Louisiana Tech",43.75,10.75,29.0784587860107,39.2604713439941
"45","Texas","UT San Antonio",36.25,22.75,33.6495475769043,36.2187156677246
"46","Texas A&M","Miami",27.25,21.25,30.229944229126,30.6061744689941
"47","Utah","San Diego State",35.25,14.25,27.5252151489258,39.0311851501465
"48","USC","Fresno State",41.75,29.25,26.8194808959961,30.8194007873535
"49","Arizona State","Eastern Michigan",38.5,19,24.1932220458984,38.1523056030273
"50","Florida State","Louisville",28.25,26.25,29.299560546875,34.0465698242188
"51","Air Force","Wyoming",32.75,17.25,25.3030853271484,46.1052322387695
"52","Connecticut","Michigan",5.75,51.75,25.6746921539307,30.6441707611084
"53","Purdue","Syracuse",29.5,29.5,39.0436630249023,29.0657539367676
"54","Western Kentucky","Indiana",26.25,32.75,39.8278541564941,32.9281845092773
"55","Texas State","Baylor",11,42,30.3286170959473,30.7372665405273
"56","Oklahoma","Nebraska",38.75,25.75,33.7934379577637,37.6307945251465
"57","Georgia","South Carolina",37.5,13,33.1209983825684,30.76220703125
"58","Cincinnati","Miami (OH)",35.25,14.75,33.2601127624512,32.3066139221191
"59","Buffalo","Coastal Carolina",20,37.5,28.6012573242188,30.3012313842773
"60","South Alabama","UCLA",22.75,36.25,31.05126953125,32.9892082214355
"61","Old Dominion","Virginia",21.5,31.5,28.2694854736328,28.7955780029297
"62","Ohio","Iowa State",13.75,34.75,27.5862293243408,30.912992477417
"63","California","Notre Dame",16,26.5,30.9650287628174,30.0130672454834
"64","Tulane","Kansas State",16,33,31.5277614593506,32.86376953125
"65","North Texas","UNLV",27.75,30.25,28.8159141540527,38.3490409851074
"66","New Mexico State","Wisconsin",4.75,42.25,23.2370185852051,29.8046455383301
"67","Georgia Southern","UAB",22,34.5,45.0959053039551,28.8827571868896
"68","Ole Miss","Georgia Tech",37.25,22.75,32.0369338989258,40.8662948608398
"69","Troy","Appalachian State",34.5,33.25,26.4694156646729,30.8490581512451
"70","Vanderbilt","Northern Illinois",29.5,31,25.2554302215576,33.6701316833496
"71","BYU","Oregon",26.5,30,33.8859062194824,34.3257217407227
"72","Colorado","Minnesota",9.75,36.75,25.6216278076172,30.7733287811279
"73","Penn State","Auburn",25.75,22.75,35.5851783752441,31.8547897338867
"74","Louisiana Monroe","Alabama",5.5,54.5,27.4372596740723,33.2158699035645
"75","Kansas","Houston",26.25,35.75,27.7403545379639,31.6716365814209
"76","Colorado State","Washington State",18.25,34.75,31.3688812255859,36.6553993225098
"77","Marshall","Bowling Green",35.75,17.75,28.4535102844238,39.4033317565918
"78","Liberty","Wake Forest",23.25,39.25,32.0187606811523,31.6753730773926
"79","Mississippi State","LSU",28.5,25.5,48.9500770568848,24.5687217712402
"80","Toledo","Ohio State",15.25,45.75,30.8596019744873,35.666618347168
"81","Akron","Tennessee",9,56.5,33.0288238525391,36.3773307800293
"82","Texas Tech","NC State",23,32.5,48.2633438110352,29.6420345306396
"83","Arkansas State","Memphis",24.5,38.5,32.5266532897949,36.1292114257812
"84","Charlotte","Georgia State",20.5,40,33.0576858520508,34.8322868347168
"85","Nevada","Iowa",9,31,32.3741340637207,35.9675979614258
"86","Pittsburgh","Western Michigan",32.75,21.75,26.226583480835,34.7315979003906
"87","South Florida","Florida",17.25,41.75,29.0152187347412,33.9397506713867
"88","Louisiana","Rice",32.5,20.5,30.1044387817383,34.5826797485352
"89","Michigan State","Washington",26,29,30.7838382720947,32.936450958252
"90","UCF","Florida Atlantic",34.25,24.75,34.5935478210449,35.3326988220215
"91","SMU","Maryland",33.75,36.25,30.7089881896973,34.5089874267578
"92","UTEP","New Mexico",22,19,27.7942733764648,27.6034641265869
"93","Louisiana Tech","Clemson",10.75,43.75,32.9248428344727,27.4383869171143
"94","UT San Antonio","Texas",22.75,36.25,33.4468841552734,34.7070159912109
"95","Miami","Texas A&M",21.25,27.25,32.6299018859863,32.1277122497559
"96","San Diego State","Utah",14.25,35.25,25.4873962402344,32.0168037414551
"97","Fresno State","USC",29.25,41.75,34.7979698181152,31.9288940429688
"98","Eastern Michigan","Arizona State",19,38.5,31.5467891693115,30.8287448883057
