"","team","opp_team","imp_totals","opp_imp_totals","est_pa","est_ra"
"1","Rutgers","Nebraska",23.75,26.75,28.9283275604248,37.8371810913086
"2","Memphis","Houston",30,27.5,34.0127830505371,37.1555099487305
"3","Nevada","Colorado State",24,20.5,25.7788410186768,36.1137084960938
"4","San Jose State","UNLV",29,22.5,28.4560947418213,31.3550758361816
"5","Virginia","Louisville",23.75,26.75,35.7361907958984,35.4682159423828
"6","Indiana","Michigan",18.25,40.75,44.0842208862305,31.8663024902344
"7","Maryland","Purdue",31,28,29.9899673461914,34.3761978149414
"8","Kansas","TCU",31,37.5,25.56614112854,37.9917488098145
"9","LSU","Tennessee",31,34,34.0094528198242,40.9580001831055
"10","Oklahoma","Texas",28.5,37,34.0238609313965,38.276969909668
"11","Western Michigan","Eastern Michigan",30.25,25.25,24.424991607666,39.1763763427734
"12","Mississippi State","Arkansas",33.25,24.25,45.5986671447754,25.4211196899414
"13","Bowling Green","Buffalo",26.25,28.25,34.6518325805664,34.1443328857422
"14","Florida","Missouri",32.25,21.75,29.8660907745361,35.4646301269531
"15","Georgia State","Georgia Southern",34.5,32,30.7621231079102,46.8934783935547
"16","Ohio","Akron",35,24,32.6643295288086,35.4215049743652
"17","Cincinnati","South Florida",43.25,15.75,31.3604049682617,36.5307388305664
"18","Georgia","Auburn",39.5,10,28.6269607543945,36.3069229125977
"19","UAB","Middle Tennessee",30.5,21.5,25.1168918609619,40.3704948425293
"20","UCLA","Utah",30.5,34,35.3237495422363,34.1879043579102
"21","Northern Illinois","Toledo",27.25,32.75,28.204044342041,37.8593482971191
"22","Pittsburgh","Virginia Tech",28,13.5,26.9378242492676,38.1946182250977
"23","Northwestern","Wisconsin",17,27.5,39.0023460388184,32.1756248474121
"24","Oklahoma State","Texas Tech",39,30,40.1265678405762,38.6589546203613
"25","Tulane","East Carolina",29.5,26,29.8288841247559,37.3980407714844
"26","UMass","Liberty",11.5,35.5,18.4775791168213,40.0431594848633
"27","Navy","Tulsa",19.5,25.5,7.6087532043457,52.1377067565918
"28","Miami (OH)","Kent State",26,31,27.2416095733643,36.2708473205566
"29","Central Michigan","Ball State",35.5,28,42.6203498840332,36.6314392089844
"30","Michigan State","Ohio State",19,46,34.9893035888672,29.3188228607178
"31","Miami","North Carolina",34.75,31.25,37.648193359375,37.5642280578613
"32","Georgia Tech","Duke",25.5,29,32.0948638916016,32.0818290710449
"33","Arizona State","Washington",21.5,35.5,29.3109912872314,30.2328777313232
"34","Vanderbilt","Ole Miss",22,39,29.0339260101318,41.4900016784668
"35","UT San Antonio","Western Kentucky",40,33.5,37.7156867980957,36.2770500183105
"36","Louisiana Tech","UTEP",27.5,24.5,29.5961170196533,29.5740966796875
"37","Arkansas State","James Madison",22,33,31.982572555542,32.4249038696289
"38","Texas State","Appalachian State",18.5,37,31.5921401977539,33.3379058837891
"39","Florida International","Connecticut",21,26,33.7698287963867,36.8286972045898
"40","Troy","Southern Mississippi",25.25,18.75,32.4761390686035,32.6979446411133
"41","New Mexico","Wyoming",16.5,20,21.4849090576172,36.9679756164551
"42","Utah State","Air Force",22,32.5,32.7192916870117,34.2513122558594
"43","Wake Forest","Army",41,24.5,32.2766494750977,35.9695205688477
"44","Illinois","Iowa",20,16.5,27.3687000274658,36.6358222961426
"45","Boston College","Clemson",14,34.5,29.8515548706055,32.445240020752
"46","Iowa State","Kansas State",22,23,36.4044036865234,32.6665000915527
