"","position","player","Salary","Opponent","team_name","implied_total","opp_implied_total","est_pa","est_ra","est_fdpts","value"
"1","QB","Michael Penix Jr.",11200,"UCLA","WASHINGTON",33.75,30.75,37.7353134155273,5.26215961752177,24.2504730224609,2.16522080557687
"2","QB","Frank Harris",11000,"MTSU","UTSA",35,30.5,39.1698799133301,4.74690526850412,27.0000782012939,2.454552563754
"3","QB","Dorian Thompson-Robinson",10700,"WASH","UCLA",30.75,33.75,35.7591743469238,6.43196986847664,21.6356658935547,2.02202484986492
"4","QB","Doug Brumfield",10200,"UNM","UNLV",29,15,28.6500644683838,3.71422355028341,19.8244018554688,1.94356880935968
"5","QB","Clayton Tune",10000,"TULN","HOUSTON",28.75,26.25,30.1170120239258,5.54492642154253,17.3151073455811,1.73151073455811
"6","QB","Michael Pratt",9400,"HOU","TULANE",26.25,28.75,30.0460548400879,6.01112769760846,14.8023080825806,1.57471362580644
"7","QB","Chase Cunningham",8800,"UTSA","MIDDLE TN",30.5,35,33.9078979492188,5.44903526011433,17.7053413391113,2.0119706067172
"8","QB","Taylen Green",8500,"SDSU","BOISE ST",22.25,15.75,28.6869373321533,4.94537070286543,12.1929512023926,1.4344648473403
"9","QB","Braxton Burmeister",6700,"BOIS","S DIEGO ST",15.75,22.25,22.9942188262939,6.0102994996314,11.2464637756348,1.67857668293056
"10","QB","Miles Kendrick",5800,"UNLV","NEW MEXICO",15,29,21.3797245025635,5.44100802099365,10.307074546814,1.7770818184162
