"","position","player","Salary","Opponent","team_name","string","implied_total","opp_implied_total","est_ra","est_re","est_fdpts","value"
"1","RB","Aidan Robbins",9800,"UNM","UNLV",1,29,15,19.7745806511871,2.35124326944169,21.8421669006348,2.2287925408811
"2","RB","Tyjae Spears",9300,"HOU","TULANE",1,26.25,28.75,15.0036455213537,3.04907216071454,14.5874118804932,1.56853891188099
"3","RB","Zach Charbonnet",9000,"WASH","UCLA",1,30.75,33.75,14.1946896893717,4.01560518878333,17.9811897277832,1.99790996975369
"4","RB","Ta'Zhawn Henry",8300,"TULN","HOUSTON",1,28.75,26.25,17.9397864305731,2.89370063460986,14.2604084014893,1.71812149415533
"5","RB","Brenden Brady",8200,"MTSU","UTSA",1,35,30.5,20.4575275395536,2.53884829164002,17.7687015533447,2.16691482357863
"6","RB","Wayne Taulapapa",8000,"UCLA","WASHINGTON",1,33.75,30.75,12.9334063503208,2.53358476952214,14.7821102142334,1.84776377677917
"7","RB","George Holani",7600,"SDSU","BOISE ST",1,22.25,15.75,22.0935711140022,2.95628068558015,14.1888399124146,1.86695262005455
"8","RB","Frank Peasant",6600,"UTSA","MIDDLE TN",1,30.5,35,18.0741165309733,2.74167101686494,16.2367935180664,2.46012023001006
"9","RB","Nathaniel Jones",5800,"UNLV","NEW MEXICO",1,15,29,14.9521485729722,2.04883261017024,11.1446399688721,1.92148964980553
"10","RB","Chance Bell",4500,"BOIS","S DIEGO ST",1,15.75,22.25,10.9831568607373,1.50688913309982,9.70816421508789,2.15736982557509
"11","RB","Cameron Davis",7900,"UCLA","WASHINGTON",2,33.75,30.75,8.62651254413057,2.95594924182672,11.3519430160522,1.43695481215851
"12","RB","Brandon Campbell",7500,"TULN","HOUSTON",2,28.75,26.25,6.35359805618929,2.98890258091203,6.88806486129761,0.918408648173014
"13","RB","Ashton Jeanty",6000,"SDSU","BOISE ST",2,22.25,15.75,7.15465714336471,3.0450777789744,6.72236919403076,1.12039486567179
"14","RB","Courtney Reese",5600,"UNM","UNLV",2,29,15,6.1662388092412,2.20019118979299,7.28598928451538,1.30106951509203
"15","RB","Keegan Jones",5400,"WASH","UCLA",2,30.75,33.75,10.1403641252392,2.82645887441635,9.74458122253418,1.80455207824707
"16","RB","Sherod White",5300,"UNLV","NEW MEXICO",2,15,29,8.28631563276426,1.97162440445212,5.77117252349854,1.0889004761318
"17","RB","Cam Davis",5100,"BOIS","S DIEGO ST",2,15.75,22.25,7.49779771670661,2.08600248190681,5.77117252349854,1.13160245558795
"18","RB","Cameron Carroll",5000,"HOU","TULANE",2,26.25,28.75,7.0887551382563,2.56234364307401,6.13265371322632,1.22653074264526
"19","RB","Trelon Smith",5000,"MTSU","UTSA",2,35,30.5,6.99769897931287,2.43025188377602,9.81355667114258,1.96271133422852
"20","RB","Darius Bracy",4600,"UTSA","MIDDLE TN",2,30.5,35,8.01136491300274,2.18120453832608,8.33366680145264,1.81166669596796
"21","RB","Jordan Byrd",7000,"BOIS","S DIEGO ST",3,15.75,22.25,5.22938316065664,1.44864268712128,6.00781917572021,0.858259882245745
"22","RB","Christian Washington",4800,"UNLV","NEW MEXICO",3,15,29,5.48882785779686,2.22530850895451,3.77229714393616,0.785895238320033
"23","RB","Chad Magyar",4500,"UNM","UNLV",3,29,15,2.9829340628486,2.28582300050072,6.55816459655762,1.45736991034614
"24","RB","Kevorian Barnes",4300,"MTSU","UTSA",3,35,30.5,2.88411011217232,2.09043047094865,6.43825340270996,1.49726823318836
"25","RB","Kenan Christon",4900,"BOIS","S DIEGO ST",4,15.75,22.25,3.63735932928798,2.28658922842096,3.77229714393616,0.769856559986971
"26","RB","Tye Edwards",4400,"MTSU","UTSA",4,35,30.5,3.02418474007663,2.23484237590087,7.08685779571533,1.61064949902621
"27","RB","Jaden Hullaby",4400,"UNLV","NEW MEXICO",4,15,29,3.4411860153497,2.07640696935528,3.0444712638855,0.691925287246704
"28","RB","Jayvaun Wilson",4300,"UNM","UNLV",4,29,15,1.76713340292801,1.11969969290752,8.7179479598999,2.02742975811626
"29","RB","Jaylon Armstead",5200,"BOIS","S DIEGO ST",5,15.75,22.25,3.63735932928798,0.898658353347229,12.9202251434326,2.48465868142935
"30","RB","Chad Alexander",4100,"UNLV","NEW MEXICO",5,15,29,2.61213209490903,1.95364195505228,2.39586687088013,0.584357773385397
