"","player","Salary","TeamAbbrev","dk_opp_abbr","implied_total","opp_implied_total","est_pa","est_ra","est_dkpts","value"
"1","Jordan Travis",8000,"FSU","UL",29.75,27.25,28.0705738067627,5.85150873833868,20.5666522979736,2.5708315372467
"2","Malik Cunningham",7500,"UL","FSU",27.25,29.75,25.5909519195557,9.08585784998093,21.592399597168,2.87898661295573
"3","Haaziq Daniels",6000,"AF","WYO",31,16,15.0985689163208,12.5822196502122,20.7703227996826,3.46172046661377
"4","Andrew Peasley",5400,"WYO","AF",16,31,25.3414039611816,7.01559888778422,12.9925479888916,2.4060274053503
"5","Brock Domann",6600,"UL","FSU",27.25,29.75,0,0,11.7104444503784,1.77430976520885
"6","Tate Rodemaker",5200,"FSU","UL",29.75,27.25,0,0,11.2319364547729,2.15998777976403
"7","Zac Larrier",5000,"AF","WYO",31,16,0,0,12.3805446624756,2.47610893249512
"8","Jayden Clemons",4500,"WYO","AF",16,31,0,0,5.62455272674561,1.24990060594347
"9","AJ Duffy",4500,"FSU","UL",29.75,27.25,0,0,11.2319364547729,2.49598587883843
"10","Jensen Jones",4500,"AF","WYO",31,16,0,0,11.2485466003418,2.49967702229818
"11","Hank Gibbs",4500,"WYO","AF",16,31,0,0,5.62455272674561,1.24990060594347
"12","Evan Svoboda",4500,"WYO","AF",16,31,0,0,5.62455272674561,1.24990060594347
