"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_ra","est_re","est_dkpts","value"
"1","Brad Roberts",7600,"AF","WYO",1,31,16,15.5621687305752,1.52479859170622,22.3734874725342,2.9438799305966
"2","Titus Swen",5900,"WYO","AF",1,16,31,13.0303549928646,1.92144756962263,14.3507118225098,2.43232403771352
"3","Tiyon Evans",5600,"UL","FSU",1,27.25,29.75,17.0274153188304,2.14176379231454,15.4884090423584,2.76578732899257
"4","Treshaun Ward",5100,"FSU","UL",1,29.75,27.25,13.7807771284738,2.26232913515967,18.4692325592041,3.62141814886355
"5","John Lee Eldridge III",4900,"AF","WYO",2,31,16,8.37709784473689,1.35565924504778,11.5321168899536,2.35349324284768
"6","Lawrance Toafili",4200,"FSU","UL",2,29.75,27.25,5.75368981911696,1.93081434781746,8.10904407501221,1.93072477976481
"7","Dawaiian McNeely",4000,"WYO","AF",2,16,31,6.60058058212821,2.0475140766661,4.6324405670166,1.15811014175415
"8","Jawhar Jordan",3200,"UL","FSU",2,27.25,29.75,5.73616364274233,1.69609375219961,6.1972508430481,1.93664088845253
"9","Trey Benson",6000,"FSU","UL",3,29.75,27.25,8.07899359446737,2.08132629869826,10.5480012893677,1.75800021489461
"10","Jalen Mitchell",3000,"UL","FSU",3,27.25,29.75,2.46088790063913,1.89261948979973,5.69943237304688,1.89981079101562
