"","player","Salary","TeamAbbrev","dk_opp_abbr","string","implied_total","opp_implied_total","est_wr_share","est_tar","est_dkpts","value"
"1","Tyler Hudson",7900,"UL","FSU",1,27.25,29.75,0.313971512783423,8.03482988775073,13.5020170211792,1.70911607863028
"2","Joshua Cobbs",4800,"WYO","AF",1,16,31,0.281905517300749,7.14388159280416,10.1412477493286,2.11275994777679
"3","Ontaria Wilson",3700,"FSU","UL",1,29.75,27.25,0.189567799616937,5.32127691053284,14.4946537017822,3.91747397345466
"4","Dane Kinamon",3500,"AF","WYO",1,31,16,0.304076520065039,4.59112029403699,12.8191432952881,3.66261237008231
"5","Braden Smith",3800,"UL","FSU",2,27.25,29.75,0.154847196231915,3.96268715364894,8.03371334075928,2.11413508967349
"6","Johnny Wilson",3000,"FSU","UL",2,29.75,27.25,0.147866937091312,4.1507097712016,9.04324531555176,3.01441510518392
"7","James Bryant",3000,"AF","WYO",2,31,16,0.166401744835176,2.51242821218994,9.09448719024658,3.03149573008219
"8","Parker Christensen",3000,"WYO","AF",2,16,31,0.179051512104393,4.53741669809783,7.62565851211548,2.54188617070516
"9","Mycah Pittman",6700,"FSU","UL",3,29.75,27.25,0.139831775322232,3.92515816971337,6.82422018051147,1.01854032544947
"10","DeAndre Hughes",4200,"AF","WYO",3,31,16,0.152165985763789,2.29748862277446,6.36517238616943,1.51551723480225
"11","Marshon Ford",3900,"UL","FSU",3,27.25,29.75,0.166113989217028,4.25101511121856,7.10197114944458,1.82101824344733
"12","Ahmari Huggins-Bruce",5600,"UL","FSU",4,27.25,29.75,0.167528335226981,4.28720957195688,5.95216941833496,1.06288739613124
"13","Wyatt Wieland",4100,"WYO","AF",3,16,31,0.139783975718485,3.54232219598214,6.51704359054565,1.58952282696235
"14","Caleb Rillos",4000,"AF","WYO",4,31,16,0.140177978124726,2.11648686326669,4.80939674377441,1.2023491859436
"15","Camren McDonald",3300,"FSU","UL",4,29.75,27.25,0.108828657011779,3.05488284894001,6.00083351135254,1.81843439737956
"16","Dee Wiggins",4300,"UL","FSU",5,27.25,29.75,0.10435835506962,2.67062964699056,5.18421363830566,1.20563107867574
"17","Will Pelissier",3500,"WYO","AF",4,16,31,0.0896875386233499,2.27280814653839,5.03607606887817,1.43887887682234
"18","Deuce Spann",3000,"FSU","UL",5,29.75,27.25,0.0925154307074862,2.59696122593893,4.35133695602417,1.45044565200806
"19","Malik McClain",5900,"FSU","UL",6,29.75,27.25,0.0770025401404603,2.161505486321,3.75239324569702,0.635998855202885
"20","Treyton Welch",3400,"WYO","AF",5,16,31,0.0922711609593548,2.33828076383822,4.02446603775024,1.18366648169125
"21","Dez Melton",3000,"UL","FSU",6,27.25,29.75,0.0602296945709542,1.54133521789481,3.32862329483032,1.10954109827677
"22","Kyle Patterson",3000,"AF","WYO",5,31,16,0.420692815966813,6.35185947447598,3.72301054000854,1.24100351333618
"23","Caleb Rillos",4000,"AF","WYO",6,31,16,0.140177978124726,2.11648686326669,3.19884181022644,0.79971045255661
"24","Jaelin Carter",3400,"UL","FSU",7,27.25,29.75,0.0483947946381511,1.2384688627417,2.91637086868286,0.8577561378479
"25","Ja'Khi Douglas",3200,"FSU","UL",7,29.75,27.25,0.127186034075179,3.57018495669673,4.19177436828613,1.30992949008942
"26","Ryan Marquez",3000,"WYO","AF",6,16,31,0.0427754160573404,1.08398909791668,2.6692590713501,0.889753023783366
"27","Wyatt Rector",3000,"FSU","UL",8,29.75,27.25,0.0680626196709887,1.91055678895611,2.91861176490784,0.972870588302612
"28","Duane Martin",3000,"UL","FSU",8,27.25,29.75,0.0404248263241909,1.03450978681876,2.76331377029419,0.921104590098063
"29","Ben Jefferson",3000,"AF","WYO",7,31,16,0.245073044966526,3.70025225895968,3.01294732093811,1.00431577364604
"30","Caleb Cooley",3000,"WYO","AF",7,16,31,0.0631731144000993,1.60089541149886,2.53201055526733,0.844003518422445
"31","David Cormier",5500,"AF","WYO",8,31,16,0.208376799991838,3.14619147523916,2.85989022254944,0.519980040463534
"32","Elijah Downing",3000,"UL","FSU",9,27.25,29.75,0.0562619246512862,1.43979620865273,2.63613891601562,0.878712972005208
"33","Colin O'Brien",3000,"WYO","AF",8,16,31,0.0727318124190441,1.84312623933988,2.59174036979675,0.863913456598918
"34","Winston Wright Jr.",3000,"FSU","UL",9,29.75,27.25,0.194983541276497,5.47329988650586,6.33812236785889,2.11270745595296
"35","Isaac Martin",3000,"UL","FSU",10,27.25,29.75,0.0490338612218512,1.25482318495856,2.49863696098328,0.832878986994425
"36","Alex Brown",3600,"WYO","AF",9,16,31,0.0632549291074062,1.60296871104669,2.11427664756775,0.587299068768819
"37","Keyshawn Helton",3000,"FSU","UL",10,29.75,27.25,0.155780974541404,4.3728613435539,3.24734663963318,1.08244887987773
"38","Francis Sherman",3000,"UL","FSU",11,27.25,29.75,0.0404248263241909,1.03450978681876,2.6862633228302,0.895421107610067
"39","Preston Daniel",3000,"FSU","UL",11,29.75,27.25,0.0405276646250162,1.13763480107224,2.49127221107483,0.830424070358276
"40","Jackson Marcotte",3000,"WYO","AF",10,16,31,0.0410702253155772,1.04077717049879,2.16440105438232,0.721467018127441
