coach teams,pace teams,PFF,DK,Injuries,depth_chart,imp_totals,2021,FD
Air Force,Air Force,AIR FORCE,AF,Air Force Falcons,Air Force,Air Force,Air Force,AF
Akron,Akron,AKRON,,,Akron,Akron,Oregon,
Alabama,Alabama,ALABAMA,BAMA,Alabama Crimson Tide,Alabama,Alabama,Alabama,ALA
Appalachian State,App State,APP STATE,APPST,,Appalachian State,Appalachian State,Central Michigan,APST
Arizona,Arizona,ARIZONA,ARIZ,Arizona Wildcats,Arizona,Arizona,Arizona,ARIZ
Arizona State,Arizona St,ARIZONA ST,ASU,Arizona State Sun Devils,Arizona State,Arizona State,Arizona State,ASU
Arkansas,Arkansas,ARKANSAS,ARK,Arkansas Razorbacks,Arkansas,Arkansas,Arkansas,ARK
Arkansas State,Arkansas St,ARK STATE,ARST,,Arkansas State,Arkansas State,Arkansas State,
Army,Army,ARMY,ARMY,,Army,Army West Point,Army,
Auburn,Auburn,AUBURN,AUB,Auburn Tigers,Auburn,Auburn,Auburn,
Ball State,Ball State,BALL ST,BALL,Ball State Cardinals,Ball State,Ball State,Ball State,
Baylor,Baylor,BAYLOR,BAY,,Baylor,Baylor,Baylor,BAY
Boise State,Boise State,BOISE ST,BSU,Boise State Broncos,Boise State,Boise State,Boise State,BOIS
Boston College,Boston Col,BOSTON COL,BC,Boston College Eagles,Boston College,Boston College,Notre Dame,BC
Bowling Green,Bowling Grn,BOWL GREEN,,Bowling Green Falcons,Bowling Green,Bowling Green,Bowling Green,
Buffalo,Buffalo,BUFFALO,BUFF,,Buffalo,Buffalo,Buffalo,
BYU,BYU,BYU,BYU,Brigham Young Cougars,BYU,BYU,BYU,BYU
California,California,CAL,CAL,,California,California,California,
Central Michigan,Central Mich,C MICHIGAN,CMU,Central Michigan Chippewas,Central Michigan,Central Michigan,Clemson,
Charlotte,Charlotte,CHARLOTTE,CHAR,Charlotte 49ers,Charlotte,Charlotte,Charlotte,
Cincinnati,Cincinnati,CINCINNATI,CINCY,Cincinnati Bearcats,Cincinnati,Cincinnati,Cincinnati,
Clemson,Clemson,CLEMSON,CLEM,Clemson Tigers,Clemson,Clemson,Clemson,
Coastal Carolina,Coastal Car,COAST CAR,C-C,Coastal Carolina Chanticleers,Coastal Carolina,Coastal Carolina,Coastal Carolina,
Colorado,Colorado,COLORADO,COL,Colorado Buffaloes,Colorado,Colorado,Minnesota,
Colorado State,Colorado St,COLO STATE,,,Colorado State,Colorado State,Nevada,
Connecticut,Connecticut,UCONN,UCONN,Connecticut Huskies,Uconn,UConn,Connecticut,CONN
Duke,Duke,DUKE,DUKE,,Duke,Duke,Memphis,
East Carolina,E Carolina,E CAROLINA,ECU,East Carolina Pirates,East Carolina,East Carolina,East Carolina,
Eastern Michigan,E Michigan,E MICHIGAN,EMU,,Eastern Michigan,Eastern Michigan,Eastern Michigan,
Florida,Florida,FLORIDA,UF,Florida Gators,Florida,Florida,Florida,UF
Florida Atlantic,Fla Atlantic,FAU,FAU,,FAU,Florida Atlantic,Florida Atlantic,
Florida International,Florida Intl,FIU,,Florida International Panthers,Florida Intl,FIU,Texas Tech,
Florida State,Florida St,FLORIDA ST,FSU,Florida State Seminoles,Florida State,Florida State,Florida State,FSU
Fresno State,Fresno St,FRESNO ST,FRES,,Fresno State,Fresno State,Fresno State,FRES
Georgia,Georgia,GEORGIA,UGA,Georgia Bulldogs,Georgia,Georgia,Georgia,
Georgia Southern,GA Southern,GA SOUTHRN,,,Georgia Southern,Georgia Southern,Western Kentucky,GSOU
Georgia State,Georgia State,GA STATE,,,Georgia State,Georgia State,Georgia State,
Georgia Tech,GA Tech,GA TECH,GT,,Georgia Tech,Georgia Tech,Tulane,
Hawai'i,Hawaii,HAWAII,HAW,Hawaii Rainbow Warriors,Hawaii,Hawaii,Virginia,HAW
Houston,Houston,HOUSTON,UH,Houston Cougars,Houston,Houston,Houston,HOU
Illinois,Illinois,ILLINOIS,IL,Illinois Fighting Illini,Illinois,Illinois,UT San Antonio,ILL
Indiana,Indiana,INDIANA,IU,Indiana Hoosiers,Indiana,Indiana,UMass,
Iowa,Iowa,IOWA,IOWA,Iowa Hawkeyes,Iowa,Iowa,Iowa,IOWA
Iowa State,Iowa State,IOWA STATE,ISU,Iowa State Cyclones,Iowa State,Iowa State,Iowa State,ISU
Kansas,Kansas,KANSAS,KU,Kansas Jayhawks,Kansas,Kansas,Kansas,
Kansas State,Kansas St,KANSAS ST,KSU,Kansas State Wildcats,Kansas State,Kansas State,Kansas State,KSU
Kent State,Kent State,KENT STATE,KENT,,Kent State,Kent State,Kent State,KENT
Kentucky,Kentucky,KENTUCKY,UK,Kentucky Wildcats,Kentucky,Kentucky,Kentucky,UK
Liberty,Liberty,LIBERTY,LIB,Liberty Flames,Liberty,Liberty,Liberty,
Louisiana,LA Lafayette,LA LAFAYET,ULL,UL Lafayette Ragin’ Cajuns,Louisiana Lafayette,Louisiana-Lafayette,Louisiana,
Louisiana Monroe,LA Monroe,LA MONROE,,,Louisiana Monroe,ULM,Louisiana Monroe,
Louisiana Tech,LA Tech,LA TECH,LT,,Louisiana Tech,Louisiana Tech,Texas Tech,
Louisville,Louisville,LOUISVILLE,UL,Louisville Cardinals,Louisville,Louisville,Notre Dame,LOU
LSU,LSU,LSU,LSU,Louisiana State Tigers,LSU,LSU,Cincinnati,
Marshall,Marshall,MARSHALL,MRSHL,Marshall Thundering Herd,Marshall,Marshall,Marshall,
Maryland,Maryland,MARYLAND,UMD,Maryland Terrapins,Maryland,Maryland,Maryland,
Memphis,Memphis,MEMPHIS,MEM,Memphis Tigers,Memphis,Memphis,Marshall,
Miami,Miami (FL),MIAMI FL,MIA,Miami Hurricanes,Miami FL,Miami FL,Michigan,
Miami (OH),Miami (OH),MIAMI OH,MIAOH,Miami (Ohio) RedHawks,Miami OH,Miami OH,Miami (OH),
Michigan,Michigan,MICHIGAN,MICH,Michigan Wolverines,Michigan,Michigan,Michigan,MICH
Michigan State,Michigan St,MICH STATE,MSU,Michigan State Spartans,Michigan State,Michigan State,Michigan State,
Middle Tennessee,Middle Tenn,MIDDLE TN,,,MTSU,Middle Tennessee,Virginia,
Minnesota,Minnesota,MINNESOTA,MINN,Minnesota Golden Gophers,Minnesota,Minnesota,West Virginia,
Mississippi State,Miss State,MISS STATE,MSST,,Mississippi State,Mississippi State,Mississippi State,MSST
Missouri,Missouri,MISSOURI,MIZZ,Missouri Tigers,Missouri,Missouri,Missouri,MIZZ
Navy,Navy,NAVY,NAVY,,Navy,Navy,Navy,
NC State,NC State,NC STATE,NCST,NC State Wolfpack,NC State,North Carolina State,NC State,
Nebraska,Nebraska,NEBRASKA,NEB,Nebraska Cornhuskers,Nebraska,Nebraska,Pittsburgh,NEB
Nevada,Nevada,NEVADA,NEV,Nevada Wolf Pack,Nevada,Nevada,UCLA,
New Mexico,New Mexico,NEW MEXICO,UNM,New Mexico Lobos,New Mexico,New Mexico,New Mexico,UNM
New Mexico State,N Mex State,NEW MEX ST,NMST,New Mexico State Aggies,New Mexico State,New Mexico State,TCU,NMST
North Carolina,N Carolina,N CAROLINA,UNC,North Carolina Tar Heels,North Carolina,North Carolina,North Carolina,
North Texas,North Texas,N TEXAS,NT,UNT,North Texas,North Texas,North Texas,
Northern Illinois,N Illinois,N ILLINOIS,NIU,Northern Illinois Huskies,Northern Illinois,Northern Illinois,Northern Illinois,
