"","player_name","team_name","dk_pos","salary","dk_own","slate_size","week"
"1","Devin Singletary","FAU","RB","$7,100","32%","16","Week 1, 2018"
"2","Terry McLaurin","OSU","WR","$3,000","6%","16","Week 1, 2018"
"3","Drew Lock","MIZZ","QB","$9,500","7%","16","Week 1, 2018"
"4","Zach Austin","TTU","WR","$3,000","9%","16","Week 1, 2018"
"5","Rodney Anderson","OU","RB","$9,700","11%","16","Week 1, 2018"
"6","Deebo Samuel","SCAR","WR","$8,000","9%","16","Week 1, 2018"
"7","Damarea Crockett","MIZZ","RB","$6,000","2%","16","Week 1, 2018"
"8","Marcus Simms","WVU","WR","$5,500","3%","16","Week 1, 2018"
"9","Jaelan Austin","TCU","WR","$3,900","1%","16","Week 1, 2018"
"10","Jarrison Stewart","TCU","WR","$3,000","1%","16","Week 1, 2018"
"11","Austin Mack","OSU","WR","$5,100","3%","16","Week 1, 2018"
"12","Harrison Bryant","FAU","WR","$3,300","2%","16","Week 1, 2018"
"13","Lexington Thomas","UNLV","RB","$5,200","13%","16","Week 1, 2018"
"14","Jordan Ta'amu","MISS","QB","$9,900","29%","16","Week 1, 2018"
"15","Ross Bowers","CAL","QB","$7,000","18%","16","Week 1, 2018"
"16","Kanawai Noa","CAL","WR","$5,400","15%","16","Week 1, 2018"
"17","Myles Gaskin","UW","RB","$8,500","5%","16","Week 1, 2018"
"18","JT Daniels","USC","QB","$8,700","4%","16","Week 1, 2018"
"19","Grant Calcaterra","OU","WR","$4,800","6%","16","Week 1, 2018"
"20","KJ Hamler","PSU","WR","$3,900","14%","16","Week 1, 2018"
"21","Martell Pettaway","WVU","RB","$4,100","0%","16","Week 1, 2018"
"22","Trace McSorley","PSU","QB","$9,800","13%","16","Week 1, 2018"
"23","Sam Ehlinger","UT","QB","$8,800","10%","16","Week 1, 2018"
"24","Jake Fromm","UGA","QB","$8,200","2%","16","Week 1, 2018"
"25","Willie Wright","FAU","WR","$5,400","6%","16","Week 1, 2018"
"26","Nate Brown","MIZZ","WR","$4,400","2%","16","Week 1, 2018"
"27","Riley Ridley","UGA","WR","$3,700","15%","16","Week 1, 2018"
"28","Tre Watson","UT","RB","$5,500","2%","16","Week 1, 2018"
"29","Rico Dowdle","SCAR","RB","$5,100","5%","16","Week 1, 2018"
"30","Jordon Brown","UNC","RB","$5,000","7%","16","Week 1, 2018"
"31","Tim Jordan","TENN","RB","$3,900","0%","16","Week 1, 2018"
"32","McLane Carter","TTU","QB","$8,600","2%","16","Week 1, 2018"
"33","Jarrett Guarantano","TENN","QB","$7,100","0%","16","Week 1, 2018"
"34","Antoine Wesley","TTU","WR","$5,200","1%","16","Week 1, 2018"
"35","Mecole Hardman","UGA","WR","$4,900","2%","16","Week 1, 2018"
"36","Brandon Johnson","TENN","WR","$4,100","3%","16","Week 1, 2018"
"37","Da'Leon Ward","TTU","RB","$5,400","10%","16","Week 1, 2018"
"38","Jalin Moore","APPST","RB","$5,400","5%","16","Week 1, 2018"
"39","Kyler Murray","OU","QB","$11,900","8%","16","Week 1, 2018"
"40","Will Grier","WVU","QB","$10,500","13%","16","Week 1, 2018"
"41","Albert Okwuegbunam","MIZZ","WR","$6,600","2%","16","Week 1, 2018"
"42","Davontavean Martin","WSU","WR","$6,400","1%","16","Week 1, 2018"
"43","DeAndre McNeal","FAU","WR","$3,100","1%","16","Week 1, 2018"
"44","Josh Palmer","TENN","WR","$3,000","0%","16","Week 1, 2018"
"45","Patrick Laird","CAL","RB","$8,900","20%","16","Week 1, 2018"
"46","Dwayne Haskins","OSU","QB","$11,600","2%","16","Week 1, 2018"
"47","Nathan Elliott","UNC","QB","$7,600","5%","16","Week 1, 2018"
"48","Marcus Childers","NIU","QB","$6,300","2%","16","Week 1, 2018"
"49","Tyler Vander Waal","WYO","QB","$5,100","0%","16","Week 1, 2018"
"50","Marquise Brown","OU","WR","$8,200","4%","16","Week 1, 2018"
"51","CeeDee Lamb","OU","WR","$7,200","4%","16","Week 1, 2018"
"52","Ryan Davis","AUB","WR","$6,200","3%","16","Week 1, 2018"
"53","DaMarkus Lodge","MISS","WR","$5,900","14%","16","Week 1, 2018"
"54","Vic Wharton III","CAL","WR","$5,800","26%","16","Week 1, 2018"
"55","Cole Tucker","NIU","WR","$3,000","1%","16","Week 1, 2018"
"56","Daniel Young","UT","RB","$4,000","1%","16","Week 1, 2018"
"57","Jake Bentley","SCAR","QB","$9,100","2%","16","Week 1, 2018"
"58","Armani Rogers","UNLV","QB","$6,100","19%","16","Week 1, 2018"
"59","A.J. Brown","MISS","WR","$10,800","10%","16","Week 1, 2018"
"60","Darius Slayton","AUB","WR","$5,000","2%","16","Week 1, 2018"
"61","Tyler Simmons","UGA","WR","$3,000","0%","16","Week 1, 2018"
"62","Kam Martin","AUB","RB","$5,800","2%","16","Week 1, 2018"
"63","Scottie Phillips","MISS","RB","$5,100","18%","16","Week 1, 2018"
"64","Emanuel Hall","MIZZ","WR","$8,400","2%","16","Week 1, 2018"
"65","Anthony Ratliff-Williams","UNC","WR","$6,700","7%","16","Week 1, 2018"
"66","Kyle Sweet","WSU","WR","$5,500","1%","16","Week 1, 2018"
"67","Thomas Jackson","UNC","WR","$3,000","2%","16","Week 1, 2018"
"68","J.K. Dobbins","OSU","RB","$10,300","4%","16","Week 1, 2018"
"69","Darius Anderson","TCU","RB","$7,300","3%","16","Week 1, 2018"
"70","Aca'Cedric Ware","USC","RB","$5,000","2%","16","Week 1, 2018"
"71","Kelly Bryant","CLEM","QB","$10,100","2%","16","Week 1, 2018"
"72","Shawn Robinson","TCU","QB","$9,300","2%","16","Week 1, 2018"
"73","Jarrett Stidham","AUB","QB","$7,800","2%","16","Week 1, 2018"
"74","Zac Thomas","APPST","QB","$5,500","1%","16","Week 1, 2018"
"75","Bryan Edwards","SCAR","WR","$6,900","3%","16","Week 1, 2018"
"76","Noah Fant","IOWA","WR","$5,500","3%","16","Week 1, 2018"
"77","Amari Rodgers","CLEM","WR","$4,800","1%","16","Week 1, 2018"
"78","Ja'Deion High","TTU","WR","$4,100","3%","16","Week 1, 2018"
"79","D'Andre Swift","UGA","RB","$9,300","5%","16","Week 1, 2018"
"80","David Sills V","WVU","WR","$10,000","4%","16","Week 1, 2018"
"81","D.K. Metcalf","MISS","WR","$6,200","11%","16","Week 1, 2018"
"82","Jovon Durante","FAU","WR","$3,900","6%","16","Week 1, 2018"
"83","T.J. Hockenson","IOWA","WR","$3,500","0%","16","Week 1, 2018"
"84","Easop Winston Jr.","WSU","WR","$3,000","2%","16","Week 1, 2018"
"85","Dylan Thomas","TCU","WR","$3,000","1%","16","Week 1, 2018"
"86","Jake Browning","UW","QB","$7,400","1%","16","Week 1, 2018"
"87","Jeremiah Oatsvall","APSU","QB","$4,600","0%","16","Week 1, 2018"
"88","Austin Conway","WYO","WR","$4,800","1%","16","Week 1, 2018"
"89","Kendall Catalon","SOU","WR","$3,000","2%","16","Week 1, 2018"
"90","Malik Williams","APPST","WR","$3,000","0%","16","Week 1, 2018"
"91","Travis Etienne","CLEM","RB","$8,100","3%","16","Week 1, 2018"
"92","Torrance Marable","C-C","RB","$3,900","1%","16","Week 1, 2018"
"93","De'Andre Johnson","FAU","QB","$6,600","1%","16","Week 1, 2018"
"94","Tyler Vaughns","USC","WR","$8,800","1%","16","Week 1, 2018"
"95","Gary Jennings Jr.","WVU","WR","$7,600","10%","16","Week 1, 2018"
"96","Juwan Johnson","PSU","WR","$7,500","1%","16","Week 1, 2018"
"97","Lil'Jordan Humphrey","UT","WR","$5,100","21%","16","Week 1, 2018"
"98","Marquez Callaway","TENN","WR","$4,900","4%","16","Week 1, 2018"
"99","Malcolm Williams","C-C","WR","$4,800","4%","16","Week 1, 2018"
"100","Nate Craig-Myers","AUB","WR","$4,700","1%","16","Week 1, 2018"
"101","Jahrvis Davenport","UMD","WR","$4,100","1%","16","Week 1, 2018"
"102","Dyami Brown","UNC","WR","$4,000","0%","16","Week 1, 2018"
"103","Tyler Petite","USC","WR","$3,700","1%","16","Week 1, 2018"
"104","Sal Cannella","AUB","WR","$3,100","1%","16","Week 1, 2018"
"105","Miles Sanders","PSU","RB","$8,300","4%","16","Week 1, 2018"
"106","Gardner Minshew II","WSU","QB","$8,900","1%","16","Week 1, 2018"
"107","Johnathon Johnson","MIZZ","WR","$7,000","1%","16","Week 1, 2018"
"108","Hunter Renfrow","CLEM","WR","$6,500","3%","16","Week 1, 2018"
"109","Taivon Jacobs","UMD","WR","$6,100","2%","16","Week 1, 2018"
"110","Velus Jones Jr.","USC","WR","$5,700","0%","16","Week 1, 2018"
"111","Brandon Presley","UNLV","WR","$4,600","1%","16","Week 1, 2018"
"112","Jalen Harris","AUB","WR","$3,000","0%","16","Week 1, 2018"
"113","Mekhi Stevenson","UNLV","WR","$3,000","0%","16","Week 1, 2018"
"114","Ivory Kelly-Martin","IOWA","RB","$7,000","2%","16","Week 1, 2018"
"115","Ladarius Galloway","TN-MA","RB","$3,600","10%","16","Week 1, 2018"
"116","Ahmaad Tanner","APSU","RB","$3,300","1%","16","Week 1, 2018"
"117","T.J. Vasher","TTU","WR","$9,400","2%","16","Week 1, 2018"
"118","Tee Higgins","CLEM","WR","$7,900","1%","16","Week 1, 2018"
"119","Aaron Fuller","UW","WR","$4,500","1%","16","Week 1, 2018"
"120","Collin Reed","APPST","WR","$3,000","0%","16","Week 1, 2018"
"121","James Williams","WSU","RB","$7,700","0%","16","Week 1, 2018"
"122","Jalen Reagor","TCU","WR","$7,700","1%","16","Week 1, 2018"
"123","Shi Smith","SCAR","WR","$5,300","1%","16","Week 1, 2018"
"124","Renard Bell","WSU","WR","$5,200","1%","16","Week 1, 2018"
"125","Thomas Hennigan","APPST","WR","$4,800","0%","16","Week 1, 2018"
"126","Dawson Knox","MISS","WR","$3,900","2%","16","Week 1, 2018"
"127","Ray Hudson","CAL","WR","$3,400","0%","16","Week 1, 2018"
"128","Randall Menard","SOU","WR","$3,300","0%","16","Week 1, 2018"
"129","Jaylon Moore","TN-MA","WR","$3,000","0%","16","Week 1, 2018"
"130","Jeremiah Miller","C-C","WR","$3,000","0%","16","Week 1, 2018"
"131","Ty Johnson","UMD","RB","$5,900","2%","16","Week 1, 2018"
"132","Marcus Jones","NIU","RB","$4,200","0%","16","Week 1, 2018"
"133","Kealand Dirks","FUR","RB","$3,200","0%","16","Week 1, 2018"
"134","Dresser Winn","TN-MA","QB","$4,600","1%","16","Week 1, 2018"
"135","Kilton Anderson","C-C","QB","$4,600","0%","16","Week 1, 2018"
"136","Parris Campbell","OSU","WR","$5,800","6%","16","Week 1, 2018"
"137","DeAndre Thompkins","PSU","WR","$5,700","2%","16","Week 1, 2018"
"138","Nick Easley","IOWA","WR","$5,300","1%","16","Week 1, 2018"
"139","K.C. Crosby","SCAR","WR","$3,000","0%","16","Week 1, 2018"
"140","Nate Stanley","IOWA","QB","$7,500","0%","16","Week 1, 2018"
"141","Harris Roberts","FUR","QB","$4,600","0%","16","Week 1, 2018"
"142","John Lampley","SOU","QB","$4,500","0%","16","Week 1, 2018"
"143","Collin Johnson","UT","WR","$7,400","3%","16","Week 1, 2018"
"144","Kendal Keys","UNLV","WR","$4,700","1%","16","Week 1, 2018"
"145","D.J. Brown","NIU","WR","$4,300","1%","16","Week 1, 2018"
"146","Thomas Gordon","FUR","WR","$3,100","1%","16","Week 1, 2018"
"147","Devonte Howard","TN-MA","WR","$3,000","0%","16","Week 1, 2018"
"148","Trevon Wesco","WVU","WR","$3,000","0%","16","Week 1, 2018"
"149","Avery Edwards","UMD","WR","$3,000","0%","16","Week 1, 2018"
"150","Andrew Beck","UT","WR","$3,000","0%","16","Week 1, 2018"
"151","Michael Pittman Jr.","USC","WR","$7,100","0%","16","Week 1, 2018"
"152","Andre Baccellia","UW","WR","$4,200","0%","16","Week 1, 2018"
"153","Corey Sutton","APPST","WR","$3,000","0%","16","Week 1, 2018"
"154","Kasim Hill","UMD","QB","$7,700","0%","16","Week 1, 2018"
"155","Jake Luton","ORST","QB","$4,700","1%","16","Week 1, 2018"
"156","Milan Richard","CLEM","WR","$3,600","0%","16","Week 1, 2018"
"157","Isaac Nauta","UGA","WR","$3,500","0%","16","Week 1, 2018"
"158","Leon Payne","NIU","WR","$3,000","1%","16","Week 1, 2018"
"159","James Price","WYO","WR","$4,000","0%","16","Week 1, 2018"
"160","Brandon Smith","IOWA","WR","$3,900","1%","16","Week 1, 2018"
"161","Daniel Imatorbhebhe","USC","WR","$3,400","0%","16","Week 1, 2018"
"162","Spencer Jones","OU","WR","$3,000","0%","16","Week 1, 2018"
"163","A.D. Miller","OU","WR","$3,000","0%","16","Week 1, 2018"
"164","Myles Tease","OU","WR","$3,000","0%","16","Week 1, 2018"
"165","Lee Morris","OU","WR","$3,000","0%","16","Week 1, 2018"
"166","Cam Burnette","FUR","WR","$3,000","0%","16","Week 1, 2018"
"167","Carl Tucker","UNC","WR","$3,900","0%","16","Week 1, 2018"
"168","DJ Turner","UMD","WR","$3,900","1%","16","Week 1, 2018"
"169","Timmy Hernandez","ORST","WR","$3,600","1%","16","Week 1, 2018"
"170","Ty Jones","UW","WR","$3,300","4%","16","Week 1, 2018"
"171","Brandon Arconado","WSU","WR","$3,000","0%","16","Week 1, 2018"
"172","Artavis Pierce","ORST","RB","$4,800","0%","16","Week 1, 2018"
"173","Nico Evans","WYO","RB","$4,500","37%","16","Week 1, 2018"
"174","Mykel Jones","OU","WR","$3,800","1%","16","Week 1, 2018"
"175","Nick Basquine","OU","WR","$3,600","1%","16","Week 1, 2018"
"176","Devin Duvernay","UT","WR","$3,600","3%","16","Week 1, 2018"
"177","Jacob August","SCAR","WR","$3,000","0%","16","Week 1, 2018"
"178","Cornell Powell","CLEM","WR","$3,000","0%","16","Week 1, 2018"
"179","Malik McMorris","CAL","RB","$3,000","0%","16","Week 1, 2018"
"180","Javon Leake","UMD","RB","$3,000","0%","16","Week 1, 2018"
"181","Isaiah Hodgins","ORST","WR","$4,100","0%","16","Week 1, 2018"
"182","Josh Harshman","WYO","WR","$3,000","0%","16","Week 1, 2018"
"183","T.J. Chase","CLEM","WR","$3,000","0%","16","Week 1, 2018"
"184","Marcus Outlow","C-C","RB","$3,000","0%","16","Week 1, 2018"
"185","Jamire Calvin","WSU","WR","$4,300","0%","16","Week 1, 2018"
"186","Trevion Thompson","CLEM","WR","$3,800","0%","16","Week 1, 2018"
"187","Avante' Cox","WYO","WR","$3,600","0%","16","Week 1, 2018"
"188","Drew Sample","UW","WR","$3,500","0%","16","Week 1, 2018"
"189","Luke Farrell","OSU","WR","$3,100","0%","16","Week 1, 2018"
"190","Marquis McClain","AUB","WR","$3,000","0%","16","Week 1, 2018"
"191","Jordan Duncan","CAL","WR","$3,000","7%","16","Week 1, 2018"
"192","Trevon Sidney","USC","WR","$3,000","0%","16","Week 1, 2018"
"193","TreVontae Hights","TCU","WR","$3,000","0%","16","Week 1, 2018"
"194","Avery Armstrong","FUR","WR","$3,000","0%","16","Week 1, 2018"
"195","Kyle Porter","UT","RB","$4,200","0%","16","Week 1, 2018"
"196","Chandler Cox","AUB","RB","$3,000","0%","16","Week 1, 2018"
"197","D'Anfernee McGriff","FAU","RB","$3,000","0%","16","Week 1, 2018"
"198","Binjimen Victor","OSU","WR","$4,800","3%","16","Week 1, 2018"
"199","Johnnie Dixon","OSU","WR","$4,500","5%","16","Week 1, 2018"
"200","Braylon Sanders","MISS","WR","$4,000","1%","16","Week 1, 2018"
"201","Randrecous Davis","SCAR","WR","$3,200","0%","16","Week 1, 2018"
"202","William Crest Jr.","WVU","WR","$3,000","0%","16","Week 1, 2018"
"203","Jeremiah Hawkins","CAL","WR","$3,000","0%","16","Week 1, 2018"
"204","Trevon Bradford","ORST","WR","$3,000","0%","16","Week 1, 2018"
"205","Randal Grimes","USC","WR","$3,000","0%","16","Week 1, 2018"
"206","Will Swinney","CLEM","WR","$3,000","0%","16","Week 1, 2018"
"207","Brian Herrien","UGA","RB","$4,000","0%","16","Week 1, 2018"
"208","Sean McGrew","UW","RB","$3,900","0%","16","Week 1, 2018"
"209","Malik Braxton","UW","RB","$3,000","0%","16","Week 1, 2018"
"210","Devan Barrett","AUB","RB","$3,000","0%","16","Week 1, 2018"
"211","Demario McCall","OSU","RB","$3,000","0%","16","Week 1, 2018"
