"","team","week","year","L3_avg_down","L3_avg_def_down","L3_avg_distance","L3_avg_def_distance","L3_avg_drive_efficiency","L3_avg_def_drive_efficiency"
"1","Air Force",1,2010,NA,NA,NA,NA,NA,NA
"2","Akron",1,2010,NA,NA,NA,NA,NA,NA
"3","Alabama",1,2010,NA,NA,NA,NA,NA,NA
"4","Arizona",1,2010,NA,NA,NA,NA,NA,NA
"5","Arizona State",1,2010,NA,NA,NA,NA,NA,NA
"6","Arkansas",1,2010,NA,NA,NA,NA,NA,NA
"7","Arkansas State",1,2010,NA,NA,NA,NA,NA,NA
"8","Arkansas-Pine Bluff",1,2010,NA,NA,NA,NA,NA,NA
"9","Auburn",1,2010,NA,NA,NA,NA,NA,NA
"10","Ball State",1,2010,NA,NA,NA,NA,NA,NA
"11","Baylor",1,2010,NA,NA,NA,NA,NA,NA
"12","Boise State",1,2010,NA,NA,NA,NA,NA,NA
"13","Bowling Green",1,2010,NA,NA,NA,NA,NA,NA
"14","Buffalo",1,2010,NA,NA,NA,NA,NA,NA
"15","BYU",1,2010,NA,NA,NA,NA,NA,NA
"16","California",1,2010,NA,NA,NA,NA,NA,NA
"17","Central Michigan",1,2010,NA,NA,NA,NA,NA,NA
"18","Cincinnati",1,2010,NA,NA,NA,NA,NA,NA
"19","Clemson",1,2010,NA,NA,NA,NA,NA,NA
"20","Coastal Carolina",1,2010,NA,NA,NA,NA,NA,NA
"21","Colorado",1,2010,NA,NA,NA,NA,NA,NA
"22","Colorado State",1,2010,NA,NA,NA,NA,NA,NA
"23","Connecticut",1,2010,NA,NA,NA,NA,NA,NA
"24","Duke",1,2010,NA,NA,NA,NA,NA,NA
"25","East Carolina",1,2010,NA,NA,NA,NA,NA,NA
"26","Eastern Illinois",1,2010,NA,NA,NA,NA,NA,NA
"27","Eastern Washington",1,2010,NA,NA,NA,NA,NA,NA
"28","Elon",1,2010,NA,NA,NA,NA,NA,NA
"29","Florida",1,2010,NA,NA,NA,NA,NA,NA
"30","Florida A&M",1,2010,NA,NA,NA,NA,NA,NA
"31","Florida Atlantic",1,2010,NA,NA,NA,NA,NA,NA
"32","Florida State",1,2010,NA,NA,NA,NA,NA,NA
"33","Fresno State",1,2010,NA,NA,NA,NA,NA,NA
"34","Georgia",1,2010,NA,NA,NA,NA,NA,NA
"35","Georgia Tech",1,2010,NA,NA,NA,NA,NA,NA
"36","Grambling",1,2010,NA,NA,NA,NA,NA,NA
"37","Hampton",1,2010,NA,NA,NA,NA,NA,NA
"38","Hawai'i",1,2010,NA,NA,NA,NA,NA,NA
"39","Houston",1,2010,NA,NA,NA,NA,NA,NA
"40","Idaho",1,2010,NA,NA,NA,NA,NA,NA
"41","Illinois",1,2010,NA,NA,NA,NA,NA,NA
"42","Indiana",1,2010,NA,NA,NA,NA,NA,NA
"43","Iowa",1,2010,NA,NA,NA,NA,NA,NA
"44","Iowa State",1,2010,NA,NA,NA,NA,NA,NA
"45","Jacksonville State",1,2010,NA,NA,NA,NA,NA,NA
"46","Kansas",1,2010,NA,NA,NA,NA,NA,NA
"47","Kansas State",1,2010,NA,NA,NA,NA,NA,NA
"48","Kentucky",1,2010,NA,NA,NA,NA,NA,NA
"49","Louisiana",1,2010,NA,NA,NA,NA,NA,NA
"50","Louisiana Tech",1,2010,NA,NA,NA,NA,NA,NA
"51","Louisville",1,2010,NA,NA,NA,NA,NA,NA
"52","LSU",1,2010,NA,NA,NA,NA,NA,NA
"53","Marshall",1,2010,NA,NA,NA,NA,NA,NA
"54","Maryland",1,2010,NA,NA,NA,NA,NA,NA
"55","Memphis",1,2010,NA,NA,NA,NA,NA,NA
"56","Miami",1,2010,NA,NA,NA,NA,NA,NA
"57","Miami (OH)",1,2010,NA,NA,NA,NA,NA,NA
"58","Michigan",1,2010,NA,NA,NA,NA,NA,NA
"59","Michigan State",1,2010,NA,NA,NA,NA,NA,NA
"60","Middle Tennessee",1,2010,NA,NA,NA,NA,NA,NA
"61","Minnesota",1,2010,NA,NA,NA,NA,NA,NA
"62","Mississippi State",1,2010,NA,NA,NA,NA,NA,NA
"63","Missouri",1,2010,NA,NA,NA,NA,NA,NA
"64","Navy",1,2010,NA,NA,NA,NA,NA,NA
"65","NC State",1,2010,NA,NA,NA,NA,NA,NA
"66","Nebraska",1,2010,NA,NA,NA,NA,NA,NA
"67","Nevada",1,2010,NA,NA,NA,NA,NA,NA
"68","New Mexico",1,2010,NA,NA,NA,NA,NA,NA
"69","Nicholls",1,2010,NA,NA,NA,NA,NA,NA
"70","Norfolk State",1,2010,NA,NA,NA,NA,NA,NA
"71","North Carolina",1,2010,NA,NA,NA,NA,NA,NA
"72","North Dakota",1,2010,NA,NA,NA,NA,NA,NA
"73","North Dakota State",1,2010,NA,NA,NA,NA,NA,NA
"74","North Texas",1,2010,NA,NA,NA,NA,NA,NA
"75","Northern Illinois",1,2010,NA,NA,NA,NA,NA,NA
"76","Northwestern",1,2010,NA,NA,NA,NA,NA,NA
"77","Northwestern State",1,2010,NA,NA,NA,NA,NA,NA
"78","Notre Dame",1,2010,NA,NA,NA,NA,NA,NA
"79","Ohio",1,2010,NA,NA,NA,NA,NA,NA
"80","Ohio State",1,2010,NA,NA,NA,NA,NA,NA
"81","Oklahoma",1,2010,NA,NA,NA,NA,NA,NA
"82","Oklahoma State",1,2010,NA,NA,NA,NA,NA,NA
"83","Ole Miss",1,2010,NA,NA,NA,NA,NA,NA
"84","Oregon",1,2010,NA,NA,NA,NA,NA,NA
"85","Oregon State",1,2010,NA,NA,NA,NA,NA,NA
"86","Penn State",1,2010,NA,NA,NA,NA,NA,NA
"87","Pittsburgh",1,2010,NA,NA,NA,NA,NA,NA
"88","Portland State",1,2010,NA,NA,NA,NA,NA,NA
"89","Presbyterian College",1,2010,NA,NA,NA,NA,NA,NA
"90","Purdue",1,2010,NA,NA,NA,NA,NA,NA
"91","Rhode Island",1,2010,NA,NA,NA,NA,NA,NA
"92","Rice",1,2010,NA,NA,NA,NA,NA,NA
"93","Richmond",1,2010,NA,NA,NA,NA,NA,NA
"94","Rutgers",1,2010,NA,NA,NA,NA,NA,NA
"95","Sacramento State",1,2010,NA,NA,NA,NA,NA,NA
"96","Sam Houston State",1,2010,NA,NA,NA,NA,NA,NA
"97","Samford",1,2010,NA,NA,NA,NA,NA,NA
"98","San Diego State",1,2010,NA,NA,NA,NA,NA,NA
"99","San José State",1,2010,NA,NA,NA,NA,NA,NA
"100","SMU",1,2010,NA,NA,NA,NA,NA,NA
"101","South Carolina",1,2010,NA,NA,NA,NA,NA,NA
"102","South Carolina State",1,2010,NA,NA,NA,NA,NA,NA
"103","South Dakota",1,2010,NA,NA,NA,NA,NA,NA
"104","South Florida",1,2010,NA,NA,NA,NA,NA,NA
"105","Southeast Missouri State",1,2010,NA,NA,NA,NA,NA,NA
"106","Southeastern Louisiana",1,2010,NA,NA,NA,NA,NA,NA
"107","Southern Mississippi",1,2010,NA,NA,NA,NA,NA,NA
"108","Southern Utah",1,2010,NA,NA,NA,NA,NA,NA
"109","Stanford",1,2010,NA,NA,NA,NA,NA,NA
"110","Stephen F. Austin",1,2010,NA,NA,NA,NA,NA,NA
