,imp_team,spread,ou
1,Georgia State,9.5,60
2,Appalachian State,-9.5,60
3,Virginia,3,47
4,Georgia Tech,-3,47
5,Troy,3,46.5
6,South Alabama,-3,46.5
7,Tulsa,-13,52.5
8,Temple,13,52.5
9,UAB,2,57.5
10,Western Kentucky,-2,57.5
11,Syracuse,13.5,49.5
12,Clemson,-13.5,49.5
13,Iowa,29,49
14,Ohio State,-29,49
15,Kansas,7.5,60
16,Baylor,-7.5,60
17,Cincinnati,-3,59.5
18,SMU,3,59.5
19,Akron,18.5,68
20,Kent State,-18.5,68
21,ULM,7,55.5
22,Army West Point,-7,55.5
23,Houston,-3,51.5
24,Navy,3,51.5
25,Duke,9,58
26,Miami FL,-9,58
27,Toledo,-7.5,58
28,Buffalo,7.5,58
29,Bowling Green,6.5,51
30,Central Michigan,-6.5,51
31,Eastern Michigan,2.5,59.5
32,Ball State,-2.5,59.5
33,Northern Illinois,-3,65.5
34,Ohio,3,65.5
35,UNLV,24.5,47.5
36,Notre Dame,-24.5,47.5
37,West Virginia,7,67
38,Texas Tech,-7,67
39,Rice,-3.5,56.5
40,Louisiana Tech,3.5,56.5
41,UCLA,6,69.5
42,Oregon,-6,69.5
43,Texas,-6.5,61.5
44,Oklahoma State,6.5,61.5
45,Ole Miss,1.5,66
46,LSU,-1.5,66
47,Boston College,21,60.5
48,Wake Forest,-21,60.5
49,Northwestern,13.5,51
50,Maryland,-13.5,51
51,Purdue,2.5,52
52,Wisconsin,-2.5,52
53,Memphis,7,56.5
54,Tulane,-7,56.5
55,BYU,-6.5,58.5
56,Liberty,6.5,58.5
57,Marshall,12.5,50.5
58,James Madison,-12.5,50.5
59,North Texas,10,71.5
60,UTSA,-10,71.5
61,FIU,14.5,62
62,Charlotte,-14.5,62
63,Western Michigan,6.5,44.5
64,Miami OH,-6.5,44.5
65,Georgia Southern,2.5,65.5
66,Old Dominion,-2.5,65.5
67,Vanderbilt,14,52.5
68,Missouri,-14,52.5
69,Arizona State,3,54.5
70,Stanford,-3,54.5
71,Florida Atlantic,-4,50.5
72,UTEP,4,50.5
73,Hawaii,5,46.5
74,Colorado State,-5,46.5
75,Arkansas State,6.5,52
76,Louisiana-Lafayette,-6.5,52
77,Southern Mississippi,-2.5,43.5
78,Texas State,2.5,43.5
79,San Jose State,-22,43
80,New Mexico State,22,43
81,Fresno State,-11,41
82,New Mexico,11,41
83,Mississippi State,21,61
84,Alabama,-21,61
85,Boise State,3.5,47.5
86,Air Force,-3.5,47.5
87,Minnesota,5,44.5
88,Penn State,-5,44.5
89,Texas A&M,-3,44.5
90,South Carolina,3,44.5
91,UCF,-5,65.5
92,East Carolina,5,65.5
93,Kansas State,3.5,55
94,TCU,-3.5,55
95,Pittsburgh,2.5,55
96,Louisville,-2.5,55
97,Colorado,23.5,50
98,Oregon State,-23.5,50
99,Utah State,4.5,42
100,Wyoming,-4.5,42
101,San Diego State,-7,36.5
102,Nevada,7,36.5
103,Rutgers,-3,47.5
104,Indiana,3.5,47.5
