"","year","week","team","opp_team","implied_total","opp_implied_total"
"1",2013,1,"South Carolina","North Carolina",33.5,22.5
"2",2013,1,"Hawai'i","USC",14.25,37.75
"3",2013,1,"Bowling Green","Tulsa",26.75,23.75
"4",2013,1,"Minnesota","UNLV",32.75,19.25
"5",2013,1,"UCF","Akron",39.75,15.75
"6",2013,1,"Utah","Utah State",27,25
"7",2013,1,"Vanderbilt","Ole Miss",24.5,27.5
"8",2013,1,"Fresno State","Rutgers",32.25,22.25
"9",2013,1,"Michigan State","Western Michigan",35.75,8.25
"10",2013,1,"Miami","Florida Atlantic",42.75,11.75
"11",2013,1,"SMU","Texas Tech",27.75,31.75
"12",2013,1,"Ohio State","Buffalo",44.75,10.75
"13",2013,1,"Texas A&M","Rice",48.5,20.5
"14",2013,1,"Florida","Toledo",39.5,16
"15",2013,1,"Oklahoma State","Mississippi State",37.5,25.5
"16",2013,1,"Michigan","Central Michigan",42.5,11
"17",2013,1,"Wisconsin","UMass",49.5,5
"18",2013,1,"Cincinnati","Purdue",29.75,19.75
"19",2013,1,"Maryland","Florida International",35.25,14.25
"20",2013,1,"NC State","Louisiana Tech",38,24
"21",2013,1,"Troy","UAB",33.5,29
"22",2013,1,"North Texas","Idaho",35.75,19.25
"23",2013,1,"Marshall","Miami (OH)",44,23.5
"24",2013,1,"Western Kentucky","Kentucky",25.25,30.75
"25",2013,1,"Nebraska","Wyoming",48.25,17.25
"26",2013,1,"Texas","New Mexico State",49.25,4.75
"27",2013,1,"Clemson","Georgia",34.5,36
"28",2013,1,"New Mexico","UT San Antonio",28.75,25.25
"29",2013,1,"TCU","LSU",21.75,25.75
"30",2013,1,"Washington","Boise State",29,25
"31",2013,1,"UCLA","Nevada",44.25,23.75
"32",2013,1,"California","Northwestern",28.25,33.75
"33",2013,1,"Louisville","Ohio",39.25,18.75
"34",2013,1,"Colorado State","Colorado",26.5,23.5
"35",2013,1,"Pittsburgh","Florida State",17.75,29.25
"36",2013,1,"Notre Dame","Temple",40.25,12.75
"37",2013,1,"Penn State","Syracuse",21.25,29.25
"38",2013,1,"Iowa","Northern Illinois",28,25
"39",2013,1,"Virginia","BYU",23.25,25.75
"40",2013,1,"Arkansas","Louisiana",32.75,22.25
"41",2013,1,"Virginia Tech","Alabama",11.75,33.25
"42",2013,1,"Southern Mississippi","Texas State",32,24.5
"43",2013,1,"Auburn","Washington State",37.25,23.25
"44",2013,1,"Oklahoma","Louisiana Monroe",41.25,19.75
"45",2013,2,"East Carolina","Florida Atlantic",37.75,18.75
