team,conference,athlete_id,player,category,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,week,team_rushes,runshare,season_team_rushes,season_rushes,total_runshare,avg_runshare,year,position
Air Force,Mountain West,4239964,Isaiah Sanders,rushing,4,27,1,6.8,16,1,56,0.0714285714285714,690,120,0.173913043478261,0.268696887073255,2018,QB
Air Force,Mountain West,4038186,Arion Worthman,rushing,11,66,1,6,13,1,56,0.196428571428571,690,29,0.0420289855072464,0.161843419538358,2018,QB
Air Force,Mountain West,4382332,Donald Hammond III,rushing,3,8,1,2.7,5,1,56,0.0535714285714286,690,84,0.121739130434783,0.189171252740227,2018,QB
Alabama,SEC,4241479,Tua Tagovailoa,rushing,5,26,1,5.2,9,1,42,0.119047619047619,470,44,0.0936170212765957,0.0968173716791786,2018,QB
Alabama,SEC,4040715,Jalen Hurts,rushing,3,9,0,3,3,1,42,0.0714285714285714,470,34,0.0723404255319149,0.0891370924891969,2018,QB
Alabama,SEC,4241464,Mac Jones,rushing,1,1,0,1,1,1,42,0.0238095238095238,470,2,0.00425531914893617,0.0232683982683983,2018,QB
Appalachian State,Sun Belt,4036429,Zac Thomas,rushing,15,43,1,2.9,22,1,37,0.405405405405405,504,83,0.16468253968254,0.190596709503625,2018,QB
Arizona,Pac-12,4039602,Khalil Tate,rushing,8,14,1,1.8,10,1,35,0.228571428571429,444,67,0.150900900900901,0.169688302128387,2018,QB
Arizona State,Pac-12,3128814,Manny Wilkins,rushing,6,28,0,4.7,13,1,36,0.166666666666667,463,101,0.218142548596112,0.232989057357748,2018,QB
Arizona State,Pac-12,4047852,Dillon Sterling-Cole,rushing,2,22,0,11,22,1,36,0.0555555555555556,463,2,0.00431965442764579,0.0555555555555556,2018,QB
Arkansas,SEC,4035584,Cole Kelley,rushing,3,4,0,1.3,2,1,37,0.0810810810810811,443,28,0.0632054176072235,0.0858671553512806,2018,QB
Arkansas,SEC,3886621,Ty Storey,rushing,3,15,1,5,10,1,37,0.0810810810810811,443,67,0.151241534988713,0.212939968265373,2018,QB
Arkansas State,Sun Belt,3116379,Justice Hansen,rushing,5,31,0,6.2,16,1,39,0.128205128205128,465,121,0.260215053763441,0.258685529315504,2018,QB
Army,FBS Independents,4036923,Kelvin Hopkins Jr.,rushing,16,37,1,2.3,9,1,47,0.340425531914894,714,179,0.250700280112045,0.280628321103916,2018,QB
Army,FBS Independents,4258442,Cam Thomas,rushing,1,4,0,4,4,1,47,0.0212765957446809,714,42,0.0588235294117647,0.124351823436453,2018,QB
Auburn,SEC,3892775,Jarrett Stidham,rushing,10,17,0,1.7,18,1,36,0.277777777777778,449,70,0.155902004454343,0.179015732261796,2018,QB
Ball State,Mid-American,3915468,Riley Neal,rushing,6,37,1,6.2,16,1,48,0.125,449,86,0.191536748329621,0.236441386921407,2018,QB
Baylor,Big 12,4241222,Charlie Brewer,rushing,1,15,0,15,15,1,36,0.0277777777777778,456,116,0.254385964912281,0.257751014234461,2018,QB
Baylor,Big 12,3116715,Jalan McClendon,rushing,2,7,0,3.5,7,1,36,0.0555555555555556,456,34,0.0745614035087719,0.1614827451521,2018,QB
Baylor,Big 12,4259183,Garret McGuire,rushing,1,2,0,2,2,1,36,0.0277777777777778,456,1,0.00219298245614035,0.0277777777777778,2018,QB
Boise State,Mountain West,3722362,Brett Rypien,rushing,5,14,0,2.8,8,1,29,0.172413793103448,519,83,0.159922928709056,0.162729922057271,2018,QB
