"","player","player_id","position","team_name","player_game_count","attempts","first_downs","franchise_id","fumbles","longest","rec_yards","receptions","targets","total_touches","touchdowns","yards","ypa","week","year","team_rushes","runshare","season_team_rushes","season_rushes","total_runshare","avg_runshare","dk_pts","fd_pts","string","team","L3_attempts","L3_first_downs","L3_fumbles","L3_longest","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"1","Arion Worthman",25439,"QB","AIR FORCE",1,31,13,101,2,14,0,0,0,31,5,157,4.9,7,2017,77,0.402597402597403,455,106,0.232967032967033,0.326488463838328,46.7,41.7,1,"Air Force",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Thomas Woodson",26372,"QB","AKRON",1,2,1,102,0,7,0,0,0,2,0,6,2,7,2017,27,0.0740740740740741,148,5,0.0337837837837838,0.0694871419509101,0.6,0.6,1,"Akron",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Jalen Hurts",40291,"QB","ALABAMA",1,6,5,103,0,18,0,0,0,6,1,56,7,7,2017,39,0.153846153846154,218,39,0.178899082568807,0.205375358579461,11.6,11.6,1,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tua Tagovailoa",60326,"QB","ALABAMA",1,1,0,103,0,-2,0,0,0,1,0,-2,-2,7,2017,39,0.0256410256410256,218,9,0.0412844036697248,0.0664738378153012,-0.2,-0.2,2,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Taylor Lamb",46422,"QB","APP STATE",1,10,2,108,0,17,0,0,0,10,0,41,4.1,7,2017,38,0.263157894736842,281,35,0.124555160142349,0.130387130194884,4.1,4.1,1,"Appalachian State",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Khalil Tate",40237,"QB","ARIZONA",1,14,8,109,0,71,0,0,0,14,2,228,14.3,7,2017,59,0.23728813559322,315,94,0.298412698412698,0.309776943641677,37.8,34.8,1,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Manny Wilkins",46604,"QB","ARIZONA ST",1,7,2,110,0,8,0,0,0,7,0,0,0,7,2017,29,0.241379310344828,274,38,0.138686131386861,0.141885183132395,0,0,1,"Arizona State",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Justice Hansen",46349,"QB","ARK STATE",1,7,4,113,0,18,0,0,0,7,0,71,8.9,7,2017,35,0.2,269,63,0.234200743494424,0.24872034283799,7.1,7.1,1,"Arkansas State",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Logan Bonner",39990,"QB","ARK STATE",1,1,0,113,0,0,0,0,0,1,0,0,0,7,2017,35,0.0285714285714286,269,3,0.0111524163568773,0.0399267399267399,0,0,2,"Arkansas State",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Cole Kelley",39945,"QB","ARKANSAS",1,4,1,111,0,13,0,0,0,4,0,26,4.3,7,2017,22,0.181818181818182,222,25,0.112612612612613,0.149205236091632,2.6,2.6,1,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Ahmad Bradshaw",46451,"QB","ARMY",1,20,8,114,0,69,0,0,0,20,1,170,8.5,7,2017,61,0.327868852459016,293,106,0.361774744027304,0.357780924566503,26,23,1,"Army",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jarrett Stidham",13725,"QB","AUBURN",1,0,1,115,0,11,0,0,0,0,0,15,5,7,2017,38,0,265,18,0.0679245283018868,0.0668634744089749,1.5,1.5,1,"Auburn",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Charlie Brewer",60344,"QB","BAYLOR",1,1,0,118,0,9,0,0,1,1,0,21,4.2,7,2017,39,0.0256410256410256,200,17,0.085,0.0901843018374459,2.1,2.1,1,"Baylor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Zach Smith",25631,"QB","BAYLOR",1,1,0,118,3,4,0,0,0,1,0,6,2,7,2017,39,0.0256410256410256,200,1,0.005,0.0128205128205128,-2.4,-5.4,2,"Baylor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Montell Cozart",46563,"QB","BOISE ST",1,2,1,120,0,4,9,1,1,3,0,1,0.5,7,2017,33,0.0606060606060606,235,37,0.157446808510638,0.153644137856561,0.1,0.1,1,"Boise State",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Brett Rypien",46487,"QB","BOISE ST",1,1,1,120,0,31,0,0,0,1,0,30,15,7,2017,33,0.0303030303030303,235,10,0.0425531914893617,0.0398192481816175,3,3,2,"Boise State",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Anthony Brown",40316,"QB","BOSTON COL",1,3,3,121,0,30,0,0,0,3,0,65,16.3,7,2017,55,0.0545454545454545,298,8,0.0268456375838926,0.0401157804459691,6.5,6.5,1,"Boston College",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Darius Wade",28055,"QB","BOSTON COL",1,0,0,121,0,3,0,0,0,0,0,3,3,7,2017,55,0,298,7,0.023489932885906,0.0289379949636875,0.3,0.3,2,"Boston College",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Grant Loy",40276,"QB","BOWL GREEN",1,3,1,122,0,9,0,0,0,3,0,13,4.3,7,2017,43,0.0697674418604651,214,15,0.0700934579439252,0.0954786943209156,1.3,1.3,1,"Bowling Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","James Morgan",25694,"QB","BOWL GREEN",1,1,0,122,1,-2,0,0,0,1,0,-2,-2,7,2017,43,0.0232558139534884,214,3,0.014018691588785,0.0366279069767442,-1.2,-2.2,2,"Bowling Green",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Drew Anderson",27308,"QB","BUFFALO",1,1,1,126,0,13,0,0,0,1,0,13,13,7,2017,21,0.0476190476190476,175,1,0.00571428571428571,0.0476190476190476,1.3,1.3,1,"Buffalo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Kyle Vantrease",55029,"QB","BUFFALO",1,0,0,126,1,9,0,0,0,0,0,9,9,7,2017,21,0,175,2,0.0114285714285714,0.0185185185185185,-0.1,-1.1,2,"Buffalo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Tanner Mangum",34607,"QB","BYU",1,1,0,128,0,-2,0,0,0,1,0,-2,-2,7,2017,16,0.0625,212,6,0.0283018867924528,0.0597808441558442,-0.2,-0.2,1,"BYU",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Shane Morris",46516,"QB","C MICHIGAN",1,3,1,134,0,7,0,0,0,3,0,25,5,7,2017,17,0.176470588235294,187,29,0.155080213903743,0.164538506388358,2.5,2.5,1,"Central Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Tony Poljan",40148,"QB","C MICHIGAN",1,1,0,134,0,5,0,0,0,1,0,5,5,7,2017,17,0.0588235294117647,187,9,0.0481283422459893,0.0544653341082418,0.5,0.5,2,"Central Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Ross Bowers",38380,"QB","CAL",1,0,1,130,0,7,0,0,0,0,1,7,7,7,2017,29,0,200,8,0.04,0.0346909873072664,6.7,6.7,1,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Brooks Barden",37238,"QB","CHARLOTTE",1,4,2,136,0,77,0,0,0,4,0,89,22.3,7,2017,32,0.125,182,5,0.0274725274725275,0.0833333333333333,8.9,8.9,1,"Charlotte",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Ross Trail",13684,"QB","CINCINNATI",1,4,3,138,0,13,0,0,0,4,0,29,7.3,7,2017,30,0.133333333333333,181,4,0.0220994475138122,0.133333333333333,2.9,2.9,1,"Cincinnati",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Hayden Moore",46410,"QB","CINCINNATI",1,4,0,138,1,0,0,0,0,4,0,-6,-1.5,7,2017,30,0.133333333333333,181,33,0.18232044198895,0.180527658427408,-1.6,-2.6,2,"Cincinnati",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Zerrick Cooper",40465,"QB","CLEMSON",1,2,1,140,0,5,0,0,0,2,0,8,4,7,2017,18,0.111111111111111,206,4,0.0194174757281553,0.0592592592592593,0.8,0.8,1,"Clemson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Kelly Bryant",34897,"QB","CLEMSON",1,0,0,140,0,4,0,0,0,0,0,4,1.3,7,2017,18,0,206,51,0.247572815533981,0.213598391833983,0.4,0.4,2,"Clemson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Kilton Anderson",27546,"QB","COAST CAR",1,4,0,141,2,2,0,0,0,4,0,-6,-1.5,7,2017,35,0.114285714285714,217,29,0.133640552995392,0.146042006944644,-2.6,-4.6,1,"Coastal Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Dalton Demos",32283,"QB","COAST CAR",1,2,1,141,0,1,0,0,0,2,1,-4,-2,7,2017,35,0.0571428571428571,217,4,0.0184331797235023,0.0563492063492063,5.6,5.6,2,"Coastal Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Tyler Keane",54513,"QB","COAST CAR",1,1,1,141,0,10,0,0,0,1,0,10,10,7,2017,35,0.0285714285714286,217,11,0.0506912442396313,0.0829474011826953,1,1,3,"Coastal Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nick Stevens",46468,"QB","COLO STATE",1,4,0,144,0,2,0,0,0,4,0,-1,-0.2,7,2017,33,0.121212121212121,228,15,0.0657894736842105,0.0711592451972815,-0.1,-0.1,1,"Colorado State",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Steven Montez",46465,"QB","COLORADO",1,6,4,143,0,11,11,1,1,7,0,49,5.4,7,2017,35,0.171428571428571,207,41,0.198067632850242,0.203083917400061,4.9,4.9,1,"Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Steven Williams",60511,"QB","DOMINION",1,3,0,263,1,2,0,0,0,3,0,-2,-0.7,7,2017,33,0.0909090909090909,251,38,0.151394422310757,0.152059895803149,-1.2,-2.2,1,"Old Dominion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Daniel Jones",39395,"QB","DUKE",1,3,0,154,0,4,0,0,0,3,0,5,1.7,7,2017,24,0.125,196,61,0.311224489795918,0.304650768242111,0.5,0.5,1,"Duke",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Quentin Harris",26084,"QB","DUKE",1,2,0,154,0,2,0,0,0,2,0,3,1.5,7,2017,24,0.0833333333333333,196,4,0.0204081632653061,0.048758865248227,0.3,0.3,2,"Duke",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Thomas Sirk",22589,"QB","E CAROLINA",1,2,0,156,0,5,0,0,0,2,0,5,2.5,7,2017,36,0.0555555555555556,189,10,0.0529100529100529,0.0820600818847663,0.5,0.5,1,"East Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Brogan Roback",25079,"QB","E MICHIGAN",1,1,0,160,0,1,0,0,0,1,0,1,1,7,2017,26,0.0384615384615385,257,10,0.0389105058365759,0.0511929511929512,0.1,0.1,1,"Eastern Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Alex McGough",46420,"QB","FIU",1,5,2,166,0,22,0,0,0,5,0,36,7.2,7,2017,45,0.111111111111111,258,28,0.108527131782946,0.0995465080290266,3.6,3.6,1,"Florida International",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Feleipe Franks",40217,"QB","FLORIDA",1,2,2,163,0,79,0,0,0,2,0,101,33.7,7,2017,34,0.0588235294117647,181,4,0.0220994475138122,0.0345567286743757,13.1,10.1,1,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","James Blackman",60382,"QB","FLORIDA ST",1,1,0,167,0,7,0,0,0,1,0,14,7,7,2017,37,0.027027027027027,251,12,0.047808764940239,0.045222489556574,1.4,1.4,1,"Florida State",NA,NA,NA,NA,NA,NA,NA,NA,NA
