"","team","conference","athlete_id","player","category","rushing_car","rushing_yds","rushing_td","rushing_ypc","rushing_long","week","team_rushes","runshare","season_team_rushes","season_rushes","total_runshare","avg_runshare","year","position","coach","L3_runshare","L3_rush_att","opp_team","opp_sacks","opp_hur","L3_sacks","L3_hurries","L3_avg_down","L3_avg_def_down","L3_avg_distance","L3_avg_def_distance","L3_avg_drive_efficiency","L3_avg_def_drive_efficiency","tpp","L3_tpp","opp_tpp","L3_opp_tpp","L3_def_ppa","L3_def_success_rate","L3_def_explosiveness","L3_def_power_success","L3_def_stuff_rate","L3_def_line_yds","L3_def_second_lvl_yds","L3_def_open_field_yds","L3_def_pts_per_opp","L3def_field_pos_avg_predicted_points","L3_def_standard_downs_rate","L3_def_standard_downs_ppa","L3_def_standard_downs_success_rate","L3_def_standard_downs_explosiveness","L3_def_passing_downs_rate","L3_def_passing_downs_ppa","L3_def_passing_downs_success_rate","L3_def_passing_downs_explosiveness","L3_def_rushing_plays_rate","L3_def_rushing_plays_ppa","L3_def_rushing_plays_success_rate","L3_def_rushing_plays_explosiveness","L3_def_passing_plays_rate","L3_def_passing_plays_ppa","L3_def_passing_plays_success_rate","L3_def_passing_plays_explosiveness"
"1","Arizona State","Pac-12",3128814,"Manny Wilkins","rushing",9,61,0,6.8,22,5,48,0.1875,463,101,0.218142548596112,0.232989057357748,2018,"QB","Herm Edwards",0.208548850574713,6.25,"Oregon State",0,0,1.25,1.25,2.00352194191171,1.93373538011696,8.21614063689069,8.69400510957528,-0.304988037103879,-1.00766892386911,24.2328767123288,24.0478698756359,23.7792207792208,24.5902843045113,0.351481540310507,0.504036565400828,1.22716398841265,0.916666666666667,0.128148739601942,3.58285575945674,1.42279949114924,1.85489671111592,4.45833333333333,-1.3695,0.749081143375276,0.334613466839856,0.552460962130485,1.10499984789056,0.250918856624724,0.444488755622847,0.392598566308244,1.91848678524036,0.542888985924748,0.345825169590269,0.500633431975797,1.12248625480624,0.447752725305199,0.34335867337135,0.483869969040248,1.44778380199567
"2","Army","FBS Independents",4036923,"Kelvin Hopkins Jr.","rushing",19,89,0,4.7,10,5,64,0.296875,714,179,0.250700280112045,0.280628321103916,2018,"QB","Jeff Monken",0.281073773197891,18.25,"Buffalo",1,0,2.75,1,1.98861622155123,1.79919873620943,7.97275425414882,8.99835220056306,-0.222674251941327,-0.390900927838323,32.6666666666667,31.0545982298808,24.4727272727273,26.1788250459515,0.112812195377759,0.361840949018398,1.29559684720088,0.767857142857143,0.18642539598422,2.72783886828004,0.8869825708061,0.987921745274686,2.5375,-1.1245,0.638306825348291,-0.0457767372464033,0.381440897065897,1.01304365775994,0.361693174651709,0.43548151792041,0.34302436693741,1.83143646058684,0.512831850328566,0.0972314721620744,0.383928045692752,1.01394649337646,0.477153516417364,0.0935820195023742,0.308725049430374,1.70542420642034
"3","Boston College","ACC",4035312,"Anthony Brown","rushing",8,8,0,1,8,5,66,0.121212121212121,560,54,0.0964285714285714,0.112443223810079,2018,"QB","Steve Addazio",0.0913961038961039,4.5,"Temple",2,1,3.75,0,1.8977515693239,2.07192343778501,7.97692735747527,8.00496290179708,-0.249865332713171,-1.56085539920901,20.37,23.0650924537731,19.2962962962963,24.2082560433479,0.00973620049909694,0.401468137154539,1.18797483132831,0.745833333333333,0.245690014592454,2.60845502397332,1.12646445695226,1.13010214717532,1.41875,-1.36475,0.640313452000179,-0.0534935499118305,0.470010560958837,0.835626038831149,0.359686547999821,0.144276331445697,0.288356496238684,2.31800445256335,0.501208642799404,0.0859801155975744,0.42510162601626,0.97904588729676,0.493559303416167,-0.0897683536344505,0.367464040025016,1.44154771246249
"4","Georgia Tech","ACC",3917810,"TaQuon Marshall","rushing",13,42,2,3.2,15,5,49,0.26530612244898,701,194,0.276747503566334,0.318799565067339,2018,"QB","Paul Johnson",0.359951217329037,19.75,"Bowling Green",0,0,1.25,3.25,1.85154349807172,1.92102103847285,8.0608768794089,7.90843823760818,-0.478212804959058,-0.616017428210899,28.5714285714286,28.9174733470266,22.9885057471264,24.8474586859769,0.361694603173257,0.470527654182578,1.4357312664317,0.790972222222222,0.11702626641651,3.72240853658537,1.48921200750469,1.98780487804878,4.98214285714286,-1.783,0.712022941993951,0.299963952954126,0.516710492220153,1.21479441222694,0.287977058006049,0.509566442562019,0.352408008658009,2.18619606911287,0.708399753588154,0.355550587172259,0.527087242026266,1.09794733410232,0.284300587417814,0.402856404046711,0.325744047619048,2.76283507397104
"5","Louisville","ACC",4035995,"Jawon Pass","rushing",11,-14,1,-1.3,16,5,38,0.289473684210526,408,76,0.186274509803922,0.202087627345064,2018,"QB","Lorenzo Ward",0.431363866396761,15,"Florida State",4,5,2.5,2.5,1.96342823452528,1.99327423138003,8.87431496753754,7.68500840963719,-1.44191253511414,-0.710621538532649,25.7831325301205,26.9842980168805,24.7586206896552,24.2710570120682,-0.0150837255768578,0.379159916302461,1.12978149011982,0.608333333333333,0.291470125786163,2.23954730083857,0.712821016771488,0.659754979035639,2.36396103896104,-1.82125,0.655351032892938,-0.136005086080678,0.437987012987013,0.748708575480092,0.344648967107062,0.220436066473745,0.289437012263099,2.48581749685493,0.407063811349822,-0.171460342180715,0.307881289308176,0.859490917254686,0.574471343570165,0.116569238557129,0.398454371299199,1.45612213271996
"6","Miami (OH)","Mid-American",3125968,"Gus Ragland","rushing",7,5,0,0.7,7,5,27,0.259259259259259,442,92,0.208144796380091,0.22151661398734,2018,"QB","Chuck Martin",0.155739845892647,5.25,"Western Michigan",1,2,2.5,1.75,2.05720897394873,1.91279345935954,8.17625911083345,8.74998843108577,-1.206426890534,-0.820251623301399,24.8983050847458,26.6793809680668,26.9746835443038,27.1938736727799,0.303050869023168,0.373739033546101,1.57116324063224,0.623484848484849,0.202191405581236,2.75677217086115,1.17119999429321,1.92593662614849,1.41666666666667,-1.43,0.655677365988996,0.158808159266705,0.395928620928621,1.32167085712422,0.344322634011004,0.564609713561216,0.314952710333145,2.32680489727144,0.621429751427045,0.297645156961339,0.399157535810078,1.4573608771273,0.368790069735399,0.303663300802082,0.305892255892256,1.78408251156379
"7","Nebraska","Big Ten",4361182,"Adrian Martinez","rushing",18,91,0,5.1,23,5,39,0.461538461538462,468,140,0.299145299145299,0.337944155710864,2018,"QB","Scott Frost",0.241995614035087,11.75,"Purdue",2,0,2.75,0,1.99347694129839,1.98117392901172,8.86553840649444,8.73690297951592,-0.500069574076497,-0.747640086051521,17.5802469135802,25.1748317077835,27.5443037974684,26.4134169310991,0.126912929409439,0.428431431551918,1.17987200493768,0.520535714285714,0.21959706959707,2.65850427350427,0.930982905982906,1.00775335775336,3.09880952380952,-1.4275,0.667301095329803,0.0508325291420524,0.486724386724387,0.922693345762541,0.332698904670197,0.270213062659283,0.306666666666667,1.93834883338369,0.470200409244102,0.0474999344330698,0.393620268620269,1.01921094950477,0.508459216016691,0.221771163647689,0.424159736659737,1.55251877254385
"8","Northern Illinois","Mid-American",4039470,"Marcus Childers","rushing",17,77,0,4.5,16,5,62,0.274193548387097,559,176,0.31484794275492,0.332184235735543,2018,"QB","Rod Carey",0.317528212835522,10.25,"Eastern Michigan",0,2,2,1.25,2.05740671382993,1.91683609990218,8.4043619520738,8.54111495781365,-1.52547687243352,-0.877958526415284,20.7422680412371,24.9152320221417,21.4594594594595,26.6947530864198,0.186598335923304,0.438291177908113,1.2242997975699,0.560416666666667,0.157481060606061,3.28366950757576,1.40378787878788,1.95123106060606,2.84642857142857,-1.225,0.683987047898338,0.116812635176939,0.47624213836478,1.09965787711965,0.316012952101662,0.356124066156866,0.358974358974359,1.56998642926116,0.536094819159335,0.138782359469368,0.425757575757576,1.07032670224222,0.441107649071359,0.303527081279715,0.438471767594108,1.49509521409603
"9","Notre Dame","FBS Independents",4046678,"Ian Book","rushing",15,47,0,3.1,10,5,53,0.283018867924528,501,78,0.155688622754491,0.218823648315257,2018,"QB","Brian Kelly",0.32647565149266,14.75,"Stanford",2,4,3.25,2.25,1.91668600688229,1.96080424375311,8.23943519101608,7.95326982784741,0.526843464534165,-2.01339322249952,23.6395348837209,22.9750977570538,30.1372549019608,30.1760334387587,0.0576351461781361,0.385955613839593,1.20774575669937,0.65,0.190577651515152,2.58921401515151,0.852982954545455,1.30620265151515,1.40922619047619,-1.0085,0.657445325994647,-0.0218345566065153,0.412386577640815,1.04173013039794,0.342554674005353,0.230502421858882,0.354386580054625,1.47129523058511,0.464021825532915,0.0551767455604841,0.373816287878788,0.972618797578767,0.516789940387259,0.0882431377251089,0.382608984582669,1.5056941300397
"10","Ohio State","Big Ten",4040616,"Dwayne Haskins","rushing",4,8,0,2,5,5,37,0.108108108108108,533,73,0.136960600375235,0.138700988792248,2018,"QB","Ryan Day",0.132554263016031,5.25,"Penn State",1,4,3.75,3,1.80165028224953,2.00379652160633,8.06453101258823,9.00777096496476,1.80983235298054,-2.04160142504474,22.3815789473684,23.401800104164,24.9868421052632,23.6346545650485,0.0700270992504864,0.364885114885115,1.26420177783586,0.916666666666667,0.236524822695035,2.7827098108747,1.25103427895981,1.24042553191489,2.82916666666667,-1.115,0.632812839334578,-0.0796397806627329,0.422275641025641,0.952437126344602,0.367187160665422,0.334502133257269,0.266666666666667,2.06098169468536,0.529430714213323,0.108060026082064,0.382299054373522,1.09567656799945,0.457247462682245,-0.0187601581940534,0.297508742687192,1.29637035251116
