"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"1","Feleipe Franks",40217,"QB","FLORIDA",1,27,66.7,18,6,163,2,60,6,1,135,5,7,2017,7.4,7.4,1,"Florida","Randy Shannon",27,66.7,18,6,2,60,6,1,135,5,7.4,7.4
"2","James Blackman",60382,"QB","FLORIDA ST",1,21,85.7,18,10,167,2,82,2,1,197,9.4,7,2017,9.88,9.88,1,"Florida State","Odell Haggins",21,85.7,18,10,2,82,2,1,197,9.4,9.88,9.88
"3","Shai Werts",40384,"QB","GA SOUTHRN",1,9,66.7,6,5,174,0,91.4,2,0,73,8.1,7,2017,2.92,2.92,1,"Georgia Southern","Tyson Summers",9,66.7,6,5,0,91.4,2,0,73,8.1,2.92,2.92
"4","Nick Fitzgerald",46497,"QB","MISS STATE",1,30,63.3,19,15,227,2,82.8,0,2,241,8,7,2017,15.64,15.64,1,"Mississippi State","Dan Mullen",30,63.3,19,15,2,82.8,0,2,241,8,15.64,15.64
"5","Keytaon Thompson",60457,"QB","MISS STATE",1,1,100,1,0,227,0,79.2,0,0,-1,-1,7,2017,-0.04,-0.04,2,"Mississippi State","Dan Mullen",1,100,1,0,0,79.2,0,0,-1,-1,-0.04,-0.04
"6","Darell Garretson",46397,"QB","OREGON ST",1,37,54.1,20,15,265,1,68.4,0,0,289,7.8,7,2017,10.56,10.56,1,"Oregon State","Cory Hall",37,54.1,20,15,1,68.4,0,0,289,7.8,10.56,10.56
"7","Jarrett Guarantano",40771,"QB","TENNESSEE",1,18,61.1,11,9,307,0,83.8,7,0,133,7.4,7,2017,5.32,5.32,1,"Tennessee","Butch Jones",18,61.1,11,9,0,83.8,7,0,133,7.4,5.32,5.32
"8","Josh Smith",47562,"WR","TENNESSEE",1,1,0,0,0,307,0,39.6,0,0,0,0,7,2017,0,0,2,"Tennessee","Butch Jones",1,0,0,0,0,39.6,0,0,0,0,0,0
"9","Kellen Mond",60556,"QB","TEXAS A&M",1,24,33.3,8,5,312,1,43.8,2,0,180,7.5,7,2017,6.2,6.2,1,"Texas A&M","Kevin Sumlin",24,33.3,8,5,1,43.8,2,0,180,7.5,6.2,6.2
"10","Josh Rosen",35460,"QB","UCLA",1,34,58.8,20,11,324,3,41.2,5,0,219,6.4,7,2017,5.76,5.76,1,"UCLA","Jim Mora",34,58.8,20,11,3,41.2,5,0,219,6.4,5.76,5.76
"11","Ryan Metz",48058,"QB","UTEP",1,17,52.9,9,2,330,1,38.1,1,0,67,3.9,7,2017,1.68,1.68,1,"UTEP","Mike Price",17,52.9,9,2,1,38.1,1,0,67,3.9,1.68,1.68
"12","Zack Greenlee",46587,"QB","UTEP",1,10,50,5,3,330,0,70,0,0,63,6.3,7,2017,2.52,2.52,2,"UTEP","Mike Price",10,50,5,3,0,70,0,0,63,6.3,2.52,2.52
"13","Mark Torrez",40106,"QB","UTEP",1,1,0,0,0,330,0,39.6,1,0,0,0,7,2017,0,0,3,"UTEP","Mike Price",1,0,0,0,0,39.6,1,0,0,0,0,0
"14","Arion Worthman",25439,"QB","AIR FORCE",1,7,57.1,4,3,101,1,34.5,2,0,41,5.9,8,2017,0.64,0.64,1,"Air Force","Troy Calhoun",8,50,4,3,0,81.3,0,0,72,9,2.88,2.88
"15","Thomas Woodson",26372,"QB","AKRON",1,33,54.5,18,12,102,1,80.4,1,2,200,6.1,8,2017,15,15,1,"Akron","Terry Bowden",24,54.2,13,9,1,65.8,2,1,127,5.3,8.08,8.08
