"","player_name","team","dk_pos","salary","dk_own","slate_size","week","year","dk_pts","fd_pts"
"1","Devin Singletary","FAU","RB",7100,0.32,16,1,2018,15.2,14.7
"3","Damarea Crockett","MIZZ","RB",6000,0.02,16,1,2018,14,13
"4","Lexington Thomas","UNLV","RB",5200,0.13,16,1,2018,23.2,18.7
"6","Martell Pettaway","WVU","RB",4100,0,16,1,2018,6.1,5.6
"7","Tre Watson","UT","RB",5500,0.02,16,1,2018,4.5,2
"8","Rico Dowdle","SCAR","RB",5100,0.05,16,1,2018,28.7,25.2
"9","Jordon Brown","UNC","RB",5000,0.07,16,1,2018,8.4,6.9
"10","Tim Jordan","TENN","RB",3900,0,16,1,2018,23.9,19.9
"11","Da'Leon Ward","TTU","RB",5400,0.1,16,1,2018,23.5,22.5
"12","Jalin Moore","APPST","RB",5400,0.05,16,1,2018,23.4,20.9
"16","Patrick Laird","CAL","RB",8900,0.2,16,1,2018,26.9,24.9
"18","Kam Martin","AUB","RB",5800,0.02,16,1,2018,16,13.5
"25","Aca'Cedric Ware","USC","RB",5000,0.02,16,1,2018,22.5,18.5
"26","D'Andre Swift","UGA","RB",9300,0.05,16,1,2018,17.6,15.6
"29","Miles Sanders","PSU","RB",8300,0.04,16,1,2018,28.1,24.1
"33","James Williams","WSU","RB",7700,0,16,1,2018,35.6,30.6
"34","Ty Johnson","UMD","RB",5900,0.02,16,1,2018,8.1,6.6
"35","Marcus Jones","NIU","RB",4200,0,16,1,2018,3.8,3.3
"37","Artavis Pierce","ORST","RB",4800,0,16,1,2018,38.9,34.4
"42","Kyle Porter","UT","RB",4200,0,16,1,2018,10.2,8.7
"64","Vavae Malepeai","USC","RB",4200,0.01,16,1,2018,19.3,18.3
"67","Tevin Bush","WVU","RB",3000,0,16,1,2018,1.3,0.8
"71","Mike Weber","OSU","RB",6600,0.07,16,1,2018,46.9,43.4
"78","Tre King","TTU","RB",5300,0.01,16,1,2018,9.4,7.4
"79","Mark Allen","PSU","RB",4900,0,16,1,2018,7.3,5.8
"90","Kennedy McKoy","WVU","RB",5700,0.08,16,1,2018,9.2,7.7
"92","Keith Harrington","WSU","RB",4800,0,16,1,2018,3,2
