"","player","player_id","position","team_name","player_game_count","caught_percent","first_downs","franchise_id","fumbles","longest","receptions","targets","touchdowns","yards","yards_per_reception","week","year","team_targets","rec_usage","season_team_targets","season_targets","season_usage","dk_pts","fd_pts","string","L3_rec_usage"
"1","Jeremy Larkin",40895,"HB","NWESTERN",1,70,2,256,0,17,7,10,0,55,7.9,2,2018,54,0.185185185185185,485,26,0.0536082474226804,12.5,9,1,0.166666666666667
"2","Patrick Laird",28219,"HB","CAL",1,70,3,130,0,25,7,10,1,53,7.6,2,2018,33,0.303030303030303,388,59,0.152061855670103,18.3,14.8,1,0.185185185185185
"3","Kenny Young",29207,"HB","MIAMI OH",1,100,2,221,0,14,9,9,0,27,3,2,2018,38,0.236842105263158,334,48,0.143712574850299,11.7,7.2,3,0.0285714285714286
"4","Rico Dowdle",40693,"HB","S CAROLINA",1,50,2,289,0,17,4,8,0,36,9,2,2018,45,0.177777777777778,415,24,0.0578313253012048,7.6,5.6,1,0.0606060606060606
"5","Eno Benjamin",57136,"HB","ARIZONA ST",1,85.7,3,110,0,25,6,7,0,54,9,2,2018,47,0.148936170212766,373,44,0.117962466487936,11.4,8.4,1,0.125
"6","James Williams",39555,"HB","WASH STATE",1,66.7,3,341,0,26,4,6,1,34,8.5,2,2018,52,0.115384615384615,633,92,0.145339652448657,13.4,11.4,2,0.0377358490566038
"7","Raheem Blackshear",57385,"HB","RUTGERS",1,50,1,278,0,4,3,6,0,12,4,2,2018,27,0.222222222222222,335,70,0.208955223880597,4.2,2.7,2,0.310344827586207
"8","Braeden West",38710,"HB","SMU",1,40,0,287,0,9,2,5,0,14,7,2,2018,37,0.135135135135135,431,50,0.116009280742459,3.4,2.4,1,0.142857142857143
"9","Jermar Jefferson",83740,"HB","OREGON ST",1,60,0,265,0,12,3,5,0,27,9,2,2018,27,0.185185185185185,389,27,0.0694087403598972,5.7,4.2,1,0.15
"10","Jason Huntley",45693,"HB","NEW MEX ST",1,80,2,242,0,19,4,5,0,23,5.8,2,2018,35,0.142857142857143,475,65,0.136842105263158,6.3,4.3,1,0.0727272727272727
"11","Trayveon Williams",45775,"HB","TEXAS A&M",1,60,2,312,0,17,3,5,0,40,13.3,2,2018,36,0.138888888888889,417,35,0.0839328537170264,7,5.5,1,0.0294117647058824
"12","Ta'Zhawn Henry",77776,"HB","TEXAS TECH",1,75,1,315,0,17,3,4,0,20,6.7,2,2018,36,0.111111111111111,506,26,0.0513833992094862,5,3.5,2,0.1
"13","Jeremy Cox",46004,"HB","DOMINION",1,100,1,263,0,23,4,4,0,24,6,2,2018,34,0.117647058823529,451,26,0.057649667405765,6.4,4.4,1,0.03125
"14","Marquis Young",45950,"HB","UMASS",1,75,0,216,0,8,3,4,0,8,2.7,2,2018,35,0.114285714285714,369,27,0.0731707317073171,3.8,2.3,1,0.0625
"15","Josh Jacobs",45953,"HB","ALABAMA",1,75,2,103,0,10,3,4,0,23,7.7,2,2018,26,0.153846153846154,356,17,0.047752808988764,5.3,3.8,3,0.0869565217391304
"16","LeVante Bellamy",45854,"HB","W MICHIGAN",1,75,1,347,0,9,3,4,0,3,1,2,2018,34,0.117647058823529,384,37,0.0963541666666667,3.3,1.8,1,0.0857142857142857
"17","L.J. Scott",45940,"HB","MICH STATE",1,66.7,1,223,0,13,2,3,0,16,8,2,2018,37,0.0810810810810811,471,11,0.0233545647558386,3.6,2.6,1,0.0909090909090909
"18","Jalen Rhodes",45941,"HB","UTSA",1,33.3,0,331,0,1,1,3,0,1,1,2,2018,30,0.1,368,14,0.0380434782608696,1.1,0.6,2,0.0263157894736842
"19","Justin Rankin",40220,"HB","KENT STATE",1,66.7,2,201,0,15,2,3,0,22,11,2,2018,29,0.103448275862069,398,19,0.0477386934673367,4.2,3.2,1,0.0540540540540541
"20","Benny Snell Jr.",45954,"HB","KENTUCKY",1,66.7,0,202,0,4,2,3,0,8,4,2,2018,15,0.2,279,21,0.0752688172043011,2.8,1.8,1,0.0384615384615385
"21","Keion Davis",35011,"HB","MARSHALL",1,100,1,214,0,20,3,3,0,14,4.7,2,2018,36,0.0833333333333333,401,25,0.0623441396508728,4.4,2.9,1,0.0571428571428571
"22","Squally Canada",46028,"HB","BYU",1,33.3,0,128,0,7,1,3,0,7,7,2,2018,37,0.0810810810810811,353,9,0.0254957507082153,1.7,1.2,1,0.0714285714285714
"23","Chaton Mobley",57982,"HB","MIDDLE TN",1,100,0,224,0,7,3,3,0,15,5,2,2018,33,0.0909090909090909,463,22,0.0475161987041037,4.5,3,1,0.114285714285714
"24","Darwin Thompson",83791,"HB","UTAH ST",1,66.7,2,329,0,19,2,3,0,26,13,2,2018,30,0.1,453,31,0.0684326710816777,4.6,3.6,3,0.0476190476190476
"25","Tra Minter",57401,"HB","S ALABAMA",1,66.7,1,288,0,11,2,3,0,16,8,2,2018,34,0.0882352941176471,307,30,0.0977198697068404,3.6,2.6,1,0.181818181818182
"26","Benny LeMay",57184,"HB","CHARLOTTE",1,100,0,136,0,13,3,3,0,26,8.7,2,2018,20,0.15,277,25,0.0902527075812274,5.6,4.1,1,0.15
"27","Andrew Clair",57167,"HB","BOWL GREEN",1,100,0,122,0,7,3,3,0,4,1.3,2,2018,25,0.12,384,23,0.0598958333333333,3.4,1.9,1,0.0833333333333333
"28","Travon McMillian",45711,"HB","COLORADO",1,66.7,0,143,0,9,2,3,0,5,2.5,2,2018,47,0.0638297872340425,395,17,0.0430379746835443,2.5,1.5,2,0.04
"29","Malike Roberson",45891,"HB","S JOSE ST",1,66.7,0,285,0,0,2,3,0,-3,-1.5,2,2018,28,0.107142857142857,421,27,0.0641330166270784,1.7,0.7,1,0.0638297872340425
"30","Jafar Armstrong",61555,"HB","NOTRE DAME",1,100,2,258,0,27,3,3,0,61,20.3,2,2018,29,0.103448275862069,367,14,0.0381471389645777,9.1,7.6,1,0.136363636363636
"31","JaMycal Hasty",25582,"HB","BAYLOR",1,50,1,118,0,3,1,2,1,3,3,2,2018,39,0.0512820512820513,459,33,0.0718954248366013,7.3,6.8,1,0.0357142857142857
"32","Jaqwis Dancy",34243,"HB","LA TECH",1,100,0,208,0,9,2,2,0,9,4.5,2,2018,42,0.0476190476190476,443,19,0.0428893905191874,2.9,1.9,3,0.0344827586206897
"33","Marcus Jones",34772,"HB","N ILLINOIS",1,100,1,254,0,4,2,2,0,-3,-1.5,2,2018,25,0.08,367,14,0.0381471389645777,1.7,0.7,3,0.0454545454545455
"34","Alex Barnes",35859,"HB","KANSAS ST",1,100,1,199,0,15,2,2,0,19,9.5,2,2018,14,0.142857142857143,270,27,0.1,3.9,2.9,1,0.142857142857143
"35","Ty'Son Williams",38287,"HB","S CAROLINA",1,100,1,289,0,6,2,2,0,11,5.5,2,2018,45,0.0444444444444444,415,11,0.0265060240963855,3.1,2.1,2,0.0303030303030303
"36","Jordon Brown",39916,"HB","N CAROLINA",1,100,1,245,0,28,2,2,0,26,13,2,2018,42,0.0476190476190476,385,18,0.0467532467532468,4.6,3.6,1,0.0967741935483871
"37","Zack Moss",40341,"HB","UTAH",1,50,0,328,0,6,1,2,0,6,6,2,2018,31,0.0645161290322581,384,10,0.0260416666666667,1.6,1.1,1,0.075
"38","Jaxson Kincaide",40415,"HB","NEVADA",1,100,0,239,0,9,2,2,0,11,5.5,2,2018,36,0.0555555555555556,474,16,0.0337552742616034,3.1,2.1,4,0.037037037037037
