"","player","team_name","attempts","fumbles","longest","rec_yards","receptions","targets","total_touches","touchdowns","yards","ypa","team_rushes","runshare","dk_pts","fd_pts"
"1","Roman Hemby","MARYLAND",24,0,75,14,2,2,26,3,179,7.5,40,0.6,42.3,38.3
"2","Damien Martinez","OREGON ST",22,0,40,10,1,2,23,3,178,8.1,42,0.524,40.8,37.3
"3","Titus Swen","WYOMING",28,0,30,5,1,2,29,3,160,5.7,47,0.596,38.5,35
"4","Richard Reese","BAYLOR",31,0,37,26,2,2,33,2,186,6,52,0.596,38.2,34.2
"5","Luke McCaffrey","RICE",3,0,17,171,10,11,13,1,31,10.3,43,0.07,36.2,31.2
"6","Deneric Prince","TULSA",20,1,84,29,2,2,22,1,233,11.7,38,0.526,36.2,31.2
"7","Dae Hunter","LIBERTY",22,0,80,21,3,3,25,1,211,9.6,39,0.564,35.2,30.7
"8","Will Shipley","CLEMSON",26,1,50,17,3,3,29,2,155,6,56,0.464,34.2,28.7
"9","Avery Morrow","COLO STATE",26,0,67,11,3,3,29,2,147,5.7,31,0.839,33.8,29.3
"10","Kendre Miller","TCU",29,0,48,18,1,1,30,2,153,5.3,48,0.604,33.1,29.6
"11","Camerun Peoples","APP STATE",23,0,41,0,0,0,23,2,168,7.3,61,0.377,31.8,28.8
"12","Khalan Laborn","MARSHALL",30,0,61,-2,1,3,31,2,151,5,37,0.811,30.9,27.4
"13","Zach Charbonnet","UCLA",19,0,33,28,4,4,23,1,139,7.3,26,0.731,29.7,24.7
"14","Quinshon Judkins","OLE MISS",25,0,18,13,2,4,27,2,111,4.4,32,0.781,29.4,25.4
"15","Keaton Mitchell","E CAROLINA",16,0,37,9,3,4,19,2,105,6.6,32,0.5,29.4,24.9
"16","Devon Achane","TEXAS A&M",20,0,30,57,7,7,27,1,99,5,27,0.741,28.6,25.1
"17","Bijan Robinson","TEXAS",24,0,42,41,1,4,25,1,140,5.8,32,0.75,28.1,24.6
"18","Tahj Brooks","TEXAS TECH",17,0,20,6,1,1,18,2,103,6.1,46,0.37,26.9,23.4
"19","MarShawn Lloyd","S CAROLINA",18,0,24,24,2,3,20,2,92,5.1,32,0.562,25.6,24.6
"20","Nicholas Singleton","PENN STATE",13,0,30,28,2,2,15,2,79,6.1,34,0.382,24.7,23.7
