"","season","week","team","opp_team","L4_sos","L4_opp_sos"
"1",2004,1,"Indiana State","Miami (OH)",0,0
"2",2004,1,"USC","Virginia Tech",0,0
"3",2004,1,"Miami (OH)","Indiana State",0,0
"4",2004,1,"Virginia Tech","USC",0,0
"5",2004,2,"Buffalo","Eastern Michigan",0,0
"6",2004,2,"Texas A&M","Utah",0,0
"7",2004,2,"Boston College","Ball State",0,0
"8",2004,2,"UT Martin","Western Michigan",0,0
"9",2004,2,"Northwestern","TCU",0,0
"10",2004,2,"UTEP","Arizona State",0,0
"11",2004,2,"Washington State","New Mexico",0,0
"12",2004,2,"UCF","Wisconsin",0,0
"13",2004,2,"Bowling Green","Oklahoma",0,0
"14",2004,2,"California","Air Force",0,0
"15",2004,2,"Virginia","Temple",0,0
"16",2004,2,"Cincinnati","Ohio State",0,0
"17",2004,2,"Kent State","Iowa",0,0
"18",2004,2,"Miami (OH)","Michigan",0,0
"19",2004,2,"Murray State","Connecticut",0,0
"20",2004,2,"South Carolina","Vanderbilt",0,0
"21",2004,2,"Samford","Georgia Tech",0,0
"22",2004,2,"William & Mary","North Carolina",0,0
"23",2004,2,"Northern Iowa","Iowa State",0,0
"24",2004,2,"Louisiana Monroe","Auburn",0,0
"25",2004,2,"Georgia Southern","Georgia",0,0
"26",2004,2,"Appalachian State","Wyoming",0,0
"27",2004,2,"Akron","Penn State",0,0
"28",2004,2,"Oklahoma State","UCLA",0,0
"29",2004,2,"Michigan State","Rutgers",0,0
"30",2004,2,"Wake Forest","Clemson",0,0
"31",2004,2,"Troy","Marshall",0,0
"32",2004,2,"Northern Illinois","Maryland",0,0
"33",2004,2,"Oregon State","LSU",0,0
"34",2004,2,"Florida A&M","Illinois",0,0
"35",2004,2,"Tulane","Mississippi State",0,0
"36",2004,2,"Richmond","NC State",0,0
"37",2004,2,"East Carolina","West Virginia",0,0
"38",2004,2,"Duke","Navy",0,0
"39",2004,2,"Baylor","UAB",0,0
"40",2004,2,"Utah State","Alabama",0,0
"41",2004,2,"North Texas","Texas",0,0
"42",2004,2,"VMI","Ohio",0,0
"43",2004,2,"Western Illinois","Nebraska",0,0
"44",2004,2,"Tulsa","Kansas",0,0
"45",2004,2,"Central Michigan","Indiana",0,0
"46",2004,2,"New Mexico State","Arkansas",0,0
"47",2004,2,"Arkansas State","Missouri",0,0
"48",2004,2,"Memphis","Ole Miss",0,0
"49",2004,2,"Western Kentucky","Kansas State",0,0
"50",2004,2,"Texas Tech","SMU",0,0
"51",2004,2,"Colorado State","Colorado",0,0
"52",2004,2,"Northwestern State","Louisiana",0,0
"53",2004,2,"Idaho","Boise State",0,0
"54",2004,2,"Toledo","Minnesota",0,0
"55",2004,2,"Idaho State","San Diego State",0,0
"56",2004,2,"Notre Dame","BYU",0,0
"57",2004,2,"Northern Arizona","Arizona",0,0
"58",2004,2,"San José State","Stanford",0,0
"59",2004,2,"Florida Atlantic","Hawai'i",0,0
"60",2004,2,"Syracuse","Purdue",0,0
"61",2004,2,"Kentucky","Louisville",0,0
"62",2004,2,"Houston","Rice",0,0
"63",2004,2,"Fresno State","Washington",0,0
"64",2004,2,"UNLV","Tennessee",0,0
"65",2004,2,"Nevada","Louisiana Tech",0,0
"66",2004,2,"Eastern Michigan","Buffalo",0,0
"67",2004,2,"Utah","Texas A&M",0,0
"68",2004,2,"Ball State","Boston College",0,0
"69",2004,2,"Western Michigan","UT Martin",0,0
"70",2004,2,"TCU","Northwestern",0,0
"71",2004,2,"Arizona State","UTEP",0,0
"72",2004,2,"New Mexico","Washington State",0,0
"73",2004,2,"Wisconsin","UCF",0,0
"74",2004,2,"Oklahoma","Bowling Green",0,0
"75",2004,2,"Air Force","California",0,0
"76",2004,2,"Temple","Virginia",0,0
"77",2004,2,"Ohio State","Cincinnati",0,0
"78",2004,2,"Iowa","Kent State",0,0
"79",2004,2,"Michigan","Miami (OH)",0,0
"80",2004,2,"Connecticut","Murray State",0,0
"81",2004,2,"Vanderbilt","South Carolina",0,0
"82",2004,2,"Georgia Tech","Samford",0,0
"83",2004,2,"North Carolina","William & Mary",0,0
"84",2004,2,"Iowa State","Northern Iowa",0,0
"85",2004,2,"Auburn","Louisiana Monroe",0,0
"86",2004,2,"Georgia","Georgia Southern",0,0
"87",2004,2,"Wyoming","Appalachian State",0,0
"88",2004,2,"Penn State","Akron",0,0
"89",2004,2,"UCLA","Oklahoma State",0,0
"90",2004,2,"Rutgers","Michigan State",0,0
"91",2004,2,"Clemson","Wake Forest",0,0
"92",2004,2,"Marshall","Troy",0,0
"93",2004,2,"Maryland","Northern Illinois",0,0
"94",2004,2,"LSU","Oregon State",0,0
"95",2004,2,"Illinois","Florida A&M",0,0
"96",2004,2,"Mississippi State","Tulane",0,0
"97",2004,2,"NC State","Richmond",0,0
"98",2004,2,"West Virginia","East Carolina",0,0
"99",2004,2,"Navy","Duke",0,0
"100",2004,2,"UAB","Baylor",0,0
"101",2004,2,"Alabama","Utah State",0,0
"102",2004,2,"Texas","North Texas",0,0
"103",2004,2,"Ohio","VMI",0,0
"104",2004,2,"Nebraska","Western Illinois",0,0
"105",2004,2,"Kansas","Tulsa",0,0
"106",2004,2,"Indiana","Central Michigan",0,0
"107",2004,2,"Arkansas","New Mexico State",0,0
"108",2004,2,"Missouri","Arkansas State",0,0
"109",2004,2,"Ole Miss","Memphis",0,0
"110",2004,2,"Kansas State","Western Kentucky",0,0
"111",2004,2,"SMU","Texas Tech",0,0
"112",2004,2,"Colorado","Colorado State",0,0
"113",2004,2,"Louisiana","Northwestern State",0,0
"114",2004,2,"Boise State","Idaho",0,0
"115",2004,2,"Minnesota","Toledo",0,0
"116",2004,2,"San Diego State","Idaho State",0,0
"117",2004,2,"BYU","Notre Dame",0,0
"118",2004,2,"Arizona","Northern Arizona",0,0
"119",2004,2,"Stanford","San José State",0,0
"120",2004,2,"Hawai'i","Florida Atlantic",0,0
"121",2004,2,"Purdue","Syracuse",0,0
"122",2004,2,"Louisville","Kentucky",0,0
"123",2004,2,"Rice","Houston",0,0
"124",2004,2,"Washington","Fresno State",0,0
"125",2004,2,"Tennessee","UNLV",0,0
"126",2004,2,"Louisiana Tech","Nevada",0,0
"127",2004,3,"Missouri","Troy",0,0
"128",2004,3,"Florida State","Miami",0,0
"129",2004,3,"Oregon State","Boise State",0,0
"130",2004,3,"Florida International","Youngstown State",0,0
"131",2004,3,"Iowa State","Iowa",0,0
"132",2004,3,"Southern Mississippi","Nebraska",0,0
"133",2004,3,"Duke","Connecticut",0,0
"134",2004,3,"UNLV","Wisconsin",0,0
"135",2004,3,"UCLA","Illinois",0,0
"136",2004,3,"Central Michigan","Michigan State",0,0
