"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"1","Air Force",1,2,2018,1,"Stony Brook",NA,NA
"2","Alabama",1,3,2018,3,"Louisville",NA,NA
"3","Appalachian State",1,1,2018,5,"Penn State",NA,NA
"4","Arizona",1,0,2018,0,"BYU",NA,NA
"5","Arizona State",1,10,2018,0,"UT San Antonio",NA,NA
"6","Arkansas",1,2,2018,3,"Eastern Illinois",NA,NA
"7","Arkansas State",1,4,2018,0,"Southeast Missouri State",NA,NA
"8","Army",1,1,2018,0,"Duke",NA,NA
"9","Auburn",1,5,2018,0,"Washington",NA,NA
"10","Ball State",1,1,2018,1,"Central Connecticut",NA,NA
"11","Baylor",1,2,2018,2,"Abilene Christian",NA,NA
"12","Boise State",1,5,2018,1,"Troy",NA,NA
"13","Boston College",1,6,2018,2,"UMass",NA,NA
"14","Bowling Green",1,1,2018,2,"Oregon",NA,NA
"15","Buffalo",1,1,2018,1,"Delaware State",NA,NA
"16","BYU",1,1,2018,0,"Arizona",NA,NA
"17","California",1,0,2018,2,"North Carolina",NA,NA
"18","Central Michigan",1,0,2018,3,"Kentucky",NA,NA
"19","Charlotte",1,4,2018,7,"Fordham",NA,NA
"20","Cincinnati",1,5,2018,2,"UCLA",NA,NA
"21","Clemson",1,3,2018,3,"Furman",NA,NA
"22","Coastal Carolina",1,1,2018,0,"South Carolina",NA,NA
"23","Colorado",1,3,2018,7,"Colorado State",NA,NA
"24","Colorado State",1,1,2018,7,"Hawai'i",NA,NA
"25","Colorado State",1,1,2018,7,"Colorado",NA,NA
"26","Duke",1,1,2018,2,"Army",NA,NA
"27","East Carolina",1,2,2018,5,"North Carolina A&T",NA,NA
"28","Eastern Michigan",1,3,2018,5,"Monmouth",NA,NA
"29","Florida",1,3,2018,6,"Charleston Southern",NA,NA
"30","Florida Atlantic",1,2,2018,2,"Oklahoma",NA,NA
"31","Florida International",1,1,2018,1,"Indiana",NA,NA
"32","Florida State",1,3,2018,2,"Virginia Tech",NA,NA
"33","Fresno State",1,1,2018,3,"Idaho",NA,NA
"34","Georgia",1,0,2018,0,"Austin Peay",NA,NA
"35","Georgia Southern",1,3,2018,2,"South Carolina State",NA,NA
"36","Georgia State",1,1,2018,0,"Kennesaw State",NA,NA
"37","Georgia Tech",1,1,2018,0,"Alcorn State",NA,NA
"38","Hawai'i",1,3,2018,5,"Navy",NA,NA
"39","Hawai'i",1,3,2018,5,"Colorado State",NA,NA
"40","Houston",1,3,2018,3,"Rice",NA,NA
"41","Illinois",1,1,2018,1,"Kent State",NA,NA
"42","Indiana",1,1,2018,1,"Florida International",NA,NA
"43","Iowa",1,5,2018,3,"Northern Illinois",NA,NA
"44","Kansas",1,1,2018,1,"Nicholls",NA,NA
"45","Kansas State",1,1,2018,7,"South Dakota",NA,NA
"46","Kent State",1,3,2018,0,"Illinois",NA,NA
"47","Kentucky",1,2,2018,4,"Central Michigan",NA,NA
"48","Liberty",1,1,2018,2,"Old Dominion",NA,NA
"49","Louisiana",1,4,2018,5,"Grambling",NA,NA
"50","Louisiana Monroe",1,3,2018,3,"Southeastern Louisiana",NA,NA
"51","Louisiana Tech",1,3,2018,2,"South Alabama",NA,NA
"52","Louisville",1,1,2018,2,"Alabama",NA,NA
"53","LSU",1,4,2018,5,"Miami",NA,NA
"54","Marshall",1,1,2018,4,"Miami (OH)",NA,NA
"55","Maryland",1,2,2018,0,"Texas",NA,NA
"56","Memphis",1,4,2018,3,"Mercer",NA,NA
"57","Miami",1,2,2018,5,"LSU",NA,NA
"58","Miami (OH)",1,2,2018,3,"Marshall",NA,NA
"59","Michigan",1,2,2018,3,"Notre Dame",NA,NA
"60","Michigan State",1,2,2018,4,"Utah State",NA,NA
"61","Middle Tennessee",1,1,2018,1,"Vanderbilt",NA,NA
"62","Minnesota",1,4,2018,0,"New Mexico State",NA,NA
"63","Mississippi State",1,4,2018,2,"Stephen F. Austin",NA,NA
"64","Missouri",1,3,2018,2,"UT Martin",NA,NA
"65","Navy",1,3,2018,0,"Hawai'i",NA,NA
"66","NC State",1,2,2018,1,"James Madison",NA,NA
"67","Nevada",1,4,2018,0,"Portland State",NA,NA
"68","New Mexico",1,3,2018,1,"Incarnate Word",NA,NA
"69","North Carolina",1,5,2018,2,"California",NA,NA
"70","Northern Illinois",1,1,2018,1,"Iowa",NA,NA
"71","North Texas",1,4,2018,2,"SMU",NA,NA
"72","Northwestern",1,5,2018,0,"Purdue",NA,NA
"73","Notre Dame",1,3,2018,6,"Michigan",NA,NA
"74","Ohio",1,1,2018,8,"Howard",NA,NA
"75","Ohio State",1,5,2018,3,"Oregon State",NA,NA
"76","Oklahoma",1,2,2018,0,"Florida Atlantic",NA,NA
"77","Oklahoma State",1,5,2018,8,"Missouri State",NA,NA
"78","Ole Miss",1,0,2018,9,"Texas Tech",NA,NA
"79","Oregon",1,3,2018,4,"Bowling Green",NA,NA
"80","Oregon State",1,0,2018,1,"Ohio State",NA,NA
"81","Penn State",1,2,2018,3,"Appalachian State",NA,NA
"82","Pittsburgh",1,5,2018,0,"Albany",NA,NA
