"","year","team","week","tpp","L3_tpp"
"1",2017,"USC",2,28.0405405405405,22.7164179104478
"2",2017,"South Alabama",2,35.2156862745098,28.1029411764706
"3",2017,"Nebraska",2,25.1714285714286,27.6857142857143
"4",2017,"Kentucky",2,29.968253968254,31.6545454545455
"5",2017,"Baylor",2,21.8620689655172,20.375
"6",2017,"Penn State",2,25,27.2307692307692
"7",2017,"Missouri",2,19.4782608695652,17.3866666666667
"8",2017,"Old Dominion",2,25.6493506493506,27.5087719298246
"9",2017,"Texas",2,26.5795454545455,21.6190476190476
"10",2017,"California",2,23.9838709677419,24.4794520547945
"11",2017,"Ohio",2,25.1940298507463,29.7638888888889
"12",2017,"Ole Miss",2,22.5081967213115,26.390625
"13",2017,"Alabama",2,27.9090909090909,32.7833333333333
"14",2017,"Nevada",2,19.4426229508197,20.0793650793651
"15",2017,"UNLV",2,28.1060606060606,24.6268656716418
"16",2017,"Notre Dame",2,21.5526315789474,21.2297297297297
"17",2017,"Syracuse",2,21.5483870967742,20.3763440860215
"18",2017,"Navy",2,28.484375,30.6025641025641
"19",2017,"Colorado State",2,23.974358974359,24.2962962962963
"20",2017,"Purdue",2,28.1176470588235,21.6538461538462
"21",2017,"Ball State",2,26.3037974683544,25.8
"22",2017,"Mississippi State",2,23.8666666666667,22.6162790697674
"23",2017,"Louisiana Tech",2,27.1,22.8055555555556
"24",2017,"Maryland",2,24.1296296296296,30.7586206896552
"25",2017,"SMU",2,22.3733333333333,26.0845070422535
"26",2017,"Marshall",2,25.6323529411765,26.4727272727273
"27",2017,"Idaho",2,24.9285714285714,29.4285714285714
"28",2017,"Tulane",2,30.1186440677966,32.9393939393939
"29",2017,"Oklahoma State",2,23.1282051282051,22.2222222222222
"30",2017,"UAB",2,20.8493150684932,22.4197530864198
"31",2017,"Central Michigan",2,25.625,18.3653846153846
"32",2017,"Wyoming",2,29.3666666666667,26.6571428571429
"33",2017,"San Diego State",2,31.1967213114754,31.28
"34",2017,"San José State",2,24.25,18.1024096385542
"35",2017,"Duke",2,23.8269230769231,22.8271604938272
"36",2017,"South Carolina",2,33.1764705882353,27.72
"37",2017,"Temple",2,25.5081967213115,28.1805555555556
"38",2017,"TCU",2,27.8356164383562,24.2878787878788
"39",2017,"Arizona State",2,26.515625,25.4285714285714
"40",2017,"UCLA",2,26.0909090909091,16.8809523809524
"41",2017,"Illinois",2,30.32,28.7142857142857
"42",2017,"Clemson",2,24.7014925373134,20.7051282051282
"43",2017,"Arizona",2,24.1710526315789,25.327868852459
"44",2017,"East Carolina",2,24.0759493670886,21.7228915662651
"45",2017,"Vanderbilt",2,30.1803278688525,34.8095238095238
"46",2017,"North Carolina",2,23.672131147541,20.3707865168539
"47",2017,"Cincinnati",2,25.3285714285714,23.4912280701754
"48",2017,"Michigan",2,27.6818181818182,27.3733333333333
"49",2017,"Fresno State",2,27.9047619047619,25.4285714285714
"50",2017,"BYU",2,26.2380952380952,28.65
"51",2017,"New Mexico",2,23.7066666666667,27.2586206896552
"52",2017,"Middle Tennessee",2,23.1304347826087,24.6842105263158
"53",2017,"Toledo",2,27.7471264367816,24.7866666666667
"54",2017,"Northwestern",2,20.7777777777778,26.5340909090909
"55",2017,"Georgia Tech",2,33.8035714285714,25.90625
"56",2017,"Army",2,27.7702702702703,31.2040816326531
"57",2017,"Appalachian State",2,26.8550724637681,29.125
"58",2017,"Oregon State",2,23.7090909090909,22.2481203007519
"59",2017,"UTEP",2,26.9824561403509,31.75
"60",2017,"Boise State",2,24.0555555555556,28.1052631578947
"61",2017,"Washington State",2,19.8723404255319,27.2328767123288
"62",2017,"Hawai'i",2,26.7283950617284,25.9315068493151
"63",2017,"Minnesota",2,34.7878787878788,26.7349397590361
"64",2017,"Florida Atlantic",2,23.8148148148148,21.280701754386
"65",2017,"Oregon",2,23.8701298701299,19.9240506329114
"66",2017,"Colorado",2,20.7142857142857,25.7164179104478
"67",2017,"Akron",2,25.7142857142857,29.047619047619
"68",2017,"Virginia Tech",2,24.4385964912281,25.8333333333333
"69",2017,"Virginia",2,23,26.6666666666667
"70",2017,"Georgia Southern",2,26.1392405063291,31.5714285714286
"71",2017,"LSU",2,30.5,33.52
"72",2017,"Kansas",2,18.28125,24.3387096774194
"73",2017,"Texas A&M",2,25.0602409638554,23.4623655913978
"74",2017,"Boston College",2,19.5975609756098,21.945652173913
"75",2017,"NC State",2,26.9130434782609,22.3636363636364
"76",2017,"North Texas",2,25.972972972973,27.7857142857143
"77",2017,"West Virginia",2,20.962962962963,19.5505617977528
"78",2017,"Louisiana",2,21.9733333333333,26.3220338983051
"79",2017,"Rice",2,30.7761194029851,25.5161290322581
"80",2017,"Buffalo",2,39.6153846153846,21.578125
"81",2017,"Utah State",2,23.4567901234568,23.5441176470588
"82",2017,"Kent State",2,29.3333333333333,40.5102040816327
"83",2017,"Oklahoma",2,29.4027777777778,28.0540540540541
"84",2017,"Tennessee",2,26.0746268656716,18.864406779661
"85",2017,"Ohio State",2,21.4927536231884,22.2093023255814
"86",2017,"Charlotte",2,27.0566037735849,25.265625
"87",2017,"Iowa State",2,19.0694444444444,26.1408450704225
"88",2017,"Michigan State",2,28.1428571428571,27.8170731707317
"89",2017,"Utah",2,26.6712328767123,26.1518987341772
"90",2017,"Southern Mississippi",2,28.1315789473684,23.8333333333333
"91",2017,"Kansas State",2,29.2702702702703,29.0851063829787
"92",2017,"Auburn",2,29.469696969697,23.1898734177215
"93",2017,"Miami (OH)",2,29.1917808219178,24.9302325581395
"94",2017,"Western Michigan",2,25.8730158730159,29.2676056338028
"95",2017,"Louisville",2,25.9759036144578,24.1898734177215
"96",2017,"Indiana",2,21.2253521126761,17.7894736842105
"97",2017,"Iowa",2,27.1585365853659,30.9642857142857
"98",2017,"Tulsa",2,21.2173913043478,22.4489795918367
"99",2017,"Washington",2,28.0461538461538,24.2777777777778
"100",2017,"Wake Forest",2,28.0704225352113,23.0416666666667
"101",2017,"Texas State",2,30.8461538461538,25
"102",2017,"Wisconsin",2,27.547619047619,29.3970588235294
"103",2017,"Florida International",2,26.9041095890411,25.8070175438597
"104",2017,"Arkansas",2,29.037037037037,30.8955223880597
"105",2017,"Eastern Michigan",2,24.6805555555556,27.5416666666667
"106",2017,"Pittsburgh",2,26.7441860465116,26.8961038961039
"107",2017,"Rutgers",2,26.8088235294118,29.7272727272727
"108",2017,"Bowling Green",2,19.4819277108434,23.9818181818182
"109",2017,"UMass",2,22.2602739726027,22.1301369863014
"110",2017,"Western Kentucky",2,22.4745762711864,25.0422535211268
"111",2017,"Stanford",2,28.2407407407407,27.6438356164384
"112",2017,"Troy",2,21.8846153846154,23.2380952380952
"113",2017,"Northern Illinois",2,21.6585365853659,21.3648648648649
"114",2017,"Georgia",2,27.25,27.125
"115",2017,"New Mexico State",2,21.9518072289157,20.6818181818182
"116",2017,"Memphis",3,22.1973684210526,20.90625
"117",2017,"New Mexico",3,29.6119402985075,25.4826436781609
"118",2017,"Kansas",3,20.7848101265823,21.3099798387097
"119",2017,"SMU",3,22.1764705882353,24.2289201877934
"120",2017,"Wisconsin",3,35.4264705882353,28.4723389355742
"121",2017,"Texas",3,21.7866666666667,24.0992965367965
"122",2017,"Southern Mississippi",3,25.2125,25.9824561403509
"123",2017,"Penn State",3,24.0188679245283,26.1153846153846
"124",2017,"Baylor",3,20.7049180327869,21.1185344827586
"125",2017,"Louisiana Tech",3,22.5942028985507,24.9527777777778
"126",2017,"Florida",3,28.6842105263158,29.188679245283
"127",2017,"Louisiana Monroe",3,24.734375,26.3023255813953
"128",2017,"Washington State",3,23.9594594594595,23.5526085689303
"129",2017,"Colorado",3,23.575,23.2153518123667
"130",2017,"North Carolina",3,24.2105263157895,22.0214588321975
"131",2017,"Central Michigan",3,22.675,21.9951923076923
"132",2017,"UT San Antonio",3,27.6086956521739,35.8769230769231
"133",2017,"Auburn",3,20.9,26.3297851937092
"134",2017,"Florida Atlantic",3,22.0444444444444,22.5477582846004
"135",2017,"Kent State",3,29.7377049180328,34.921768707483
"136",2017,"Nevada",3,23.8876404494382,19.7609940150924
"137",2017,"Toledo",3,23.3030303030303,26.2668965517241
"138",2017,"East Carolina",3,20.4426229508197,22.8994204666768
"139",2017,"Boston College",3,21.4705882352941,20.7716065747614
"140",2017,"Alabama",3,26.1166666666667,30.3462121212121
"141",2017,"Arkansas State",3,22.8591549295775,18.6741573033708
"142",2017,"New Mexico State",3,25.0161290322581,21.3168127053669
"143",2017,"Arizona State",3,22.9294117647059,25.9720982142857
"144",2017,"Washington",3,28.0172413793103,26.1619658119658
"145",2017,"Stanford",3,26.1860465116279,27.9422881785895
"146",2017,"Georgia",3,30.5942028985507,27.1875
"147",2017,"Oklahoma",3,22.1451612903226,28.7284159159159
"148",2017,"Coastal Carolina",3,27.9583333333333,32.0769230769231
"149",2017,"Oklahoma State",3,23.7222222222222,22.6752136752137
"150",2017,"Duke",3,27.1744186046512,23.3270417853751
"151",2017,"Iowa",3,28.4302325581395,29.0614111498258
"152",2017,"Troy",3,26.2692307692308,22.5613553113553
"153",2017,"Ole Miss",3,22.2876712328767,24.4494108606557
"154",2017,"Western Michigan",3,26.1506849315068,27.5703107534093
"155",2017,"Texas State",3,27.9305555555556,27.9230769230769
"156",2017,"UCLA",3,21.021978021978,21.4859307359307
"157",2017,"Old Dominion",3,27.0769230769231,26.5790612895876
"158",2017,"Marshall",3,23.5,26.0525401069519
"159",2017,"Buffalo",3,27.0135135135135,30.5967548076923
"160",2017,"South Carolina",3,24.4035087719298,30.4482352941176
"161",2017,"Fresno State",3,29.4776119402985,26.6666666666667
"162",2017,"USC",3,22.3409090909091,25.3784792254942
"163",2017,"Clemson",3,26.320987654321,22.7033103712208
"164",2017,"Ohio State",3,20.0434782608696,21.8510279743849
"165",2017,"Charlotte",3,22.96,26.1611143867925
"166",2017,"Appalachian State",3,27.8771929824561,27.9900362318841
"167",2017,"Virginia",3,27.9718309859155,24.8333333333333
"168",2017,"Louisiana",3,23.972602739726,24.1476836158192
"169",2017,"Notre Dame",3,22.7564102564103,21.3911806543385
"170",2017,"Bowling Green",3,24.2567567567568,21.7318729463308
"171",2017,"Utah State",3,21.1764705882353,23.5004538852578
"172",2017,"Louisville",3,21.2753623188406,25.0828885160897
