"","player_name","team","dk_pos","salary","dk_own","slate_size","week","year","dk_pts","fd_pts"
"1","Terry McLaurin","OSU","WR",3000,0.06,16,1,2018,31.1,26.1
"3","Zach Austin","TTU","WR",3000,0.09,16,1,2018,5.7,4.2
"4","Deebo Samuel","SCAR","WR",8000,0.09,16,1,2018,18.6,15.1
"5","Marcus Simms","WVU","WR",5500,0.03,16,1,2018,6,5
"6","Jaelan Austin","TCU","WR",3900,0.01,16,1,2018,5,3.5
"7","Jarrison Stewart","TCU","WR",3000,0.01,16,1,2018,1.6,1.1
"8","Austin Mack","OSU","WR",5100,0.03,16,1,2018,11.9,9.4
"10","Harrison Bryant","FAU","WR",3300,0.02,16,1,2018,4.5,3.5
"11","Kanawai Noa","CAL","WR",5400,0.15,16,1,2018,4.5,3
"12","Grant Calcaterra","OU","WR",4800,0.06,16,1,2018,1.3,0.8
"14","Willie Wright","FAU","WR",5400,0.06,16,1,2018,8,5.5
"15","Nate Brown","MIZZ","WR",4400,0.02,16,1,2018,4.9,3.4
"16","Riley Ridley","UGA","WR",3700,0.15,16,1,2018,12.3,10.8
"17","Antoine Wesley","TTU","WR",5200,0.01,16,1,2018,12.5,9.5
"18","Mecole Hardman","UGA","WR",4900,0.02,16,1,2018,14.3,13.3
"19","Brandon Johnson","TENN","WR",4100,0.03,16,1,2018,4.3,3.3
"20","Albert Okwuegbunam","MIZZ","WR",6600,0.02,16,1,2018,3.4,2.4
"22","DeAndre McNeal","FAU","WR",3100,0.01,16,1,2018,1.1,0.6
"23","Josh Palmer","TENN","WR",3000,0,16,1,2018,6.3,4.8
"24","Marquise Brown","OU","WR",8200,0.04,16,1,2018,28.3,22.3
"25","CeeDee Lamb","OU","WR",7200,0.04,16,1,2018,6.3,5.3
"26","Ryan Davis","AUB","WR",6200,0.03,16,1,2018,12.2,8.7
"27","DaMarkus Lodge","MISS","WR",5900,0.14,16,1,2018,14.4,10.4
"28","Vic Wharton III","CAL","WR",5800,0.26,16,1,2018,4.8,3.3
"29","Cole Tucker","NIU","WR",3000,0.01,16,1,2018,2.3,1.8
"30","A.J. Brown","MISS","WR",10800,0.1,16,1,2018,22.3,18.8
"31","Darius Slayton","AUB","WR",5000,0.02,16,1,2018,7.1,5.6
"33","Emanuel Hall","MIZZ","WR",8400,0.02,16,1,2018,36.1,31.1
"34","Anthony Ratliff-Williams","UNC","WR",6700,0.07,16,1,2018,15.2,13.7
"35","Kyle Sweet","WSU","WR",5500,0.01,16,1,2018,4.2,3.2
"37","Bryan Edwards","SCAR","WR",6900,0.03,16,1,2018,13.4,10.4
"38","Noah Fant","IOWA","WR",5500,0.03,16,1,2018,10,8.5
"39","Amari Rodgers","CLEM","WR",4800,0.01,16,1,2018,14.9,12.9
"40","Ja'Deion High","TTU","WR",4100,0.03,16,1,2018,16.2,14.2
"42","D.K. Metcalf","MISS","WR",6200,0.11,16,1,2018,18.1,16.1
"43","Jovon Durante","FAU","WR",3900,0.06,16,1,2018,9.2,7.2
"44","T.J. Hockenson","IOWA","WR",3500,0,16,1,2018,10.4,8.4
"45","Easop Winston Jr.","WSU","WR",3000,0.02,16,1,2018,10.3,8.8
"47","Austin Conway","WYO","WR",4800,0.01,16,1,2018,4.8,3.3
"49","Malik Williams","APPST","WR",3000,0,16,1,2018,22.6,20.6
"51","Tyler Vaughns","USC","WR",8800,0.01,16,1,2018,6.7,5.2
"53","Juwan Johnson","PSU","WR",7500,0.01,16,1,2018,12.7,9.7
"54","Lil'Jordan Humphrey","UT","WR",5100,0.21,16,1,2018,14.2,11.2
"55","Marquez Callaway","TENN","WR",4900,0.04,16,1,2018,12.3,9.3
"56","Malcolm Williams","C-C","WR",4800,0.04,16,1,2018,10.9,7.9
"57","Nate Craig-Myers","AUB","WR",4700,0.01,16,1,2018,6,5
"58","Jahrvis Davenport","UMD","WR",4100,0.01,16,1,2018,4.5,4
"61","Sal Cannella","AUB","WR",3100,0.01,16,1,2018,8.1,7.6
"62","Johnathon Johnson","MIZZ","WR",7000,0.01,16,1,2018,13.9,11.9
"63","Hunter Renfrow","CLEM","WR",6500,0.03,16,1,2018,5.4,3.9
"64","Taivon Jacobs","UMD","WR",6100,0.02,16,1,2018,18.2,15.7
"65","Velus Jones Jr.","USC","WR",5700,0,16,1,2018,3.6,2.6
"66","Brandon Presley","UNLV","WR",4600,0.01,16,1,2018,1.4,0.9
"68","Mekhi Stevenson","UNLV","WR",3000,0,16,1,2018,5.1,3.6
"69","T.J. Vasher","TTU","WR",9400,0.02,16,1,2018,10.6,8.6
"70","Tee Higgins","CLEM","WR",7900,0.01,16,1,2018,6.5,5
"71","Aaron Fuller","UW","WR",4500,0.01,16,1,2018,23.5,17
"73","Jalen Reagor","TCU","WR",7700,0.01,16,1,2018,14.5,12.5
"74","Shi Smith","SCAR","WR",5300,0.01,16,1,2018,10.1,8.1
"76","Thomas Hennigan","APPST","WR",4800,0,16,1,2018,5.8,2.8
"78","Dawson Knox","MISS","WR",3900,0.02,16,1,2018,1.6,1.1
"82","Jeremiah Miller","C-C","WR",3000,0,16,1,2018,3.9,2.9
"83","Parris Campbell","OSU","WR",5800,0.06,16,1,2018,12.2,10.2
"88","Collin Johnson","UT","WR",7400,0.03,16,1,2018,14.9,13.4
"89","Kendal Keys","UNLV","WR",4700,0.01,16,1,2018,10.1,9.6
"90","D.J. Brown","NIU","WR",4300,0.01,16,1,2018,8.8,6.3
"93","Trevon Wesco","WVU","WR",3000,0,16,1,2018,5.5,4.5
"95","Andrew Beck","UT","WR",3000,0,16,1,2018,2.5,2
