Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Josh Downs (23786588),Josh Downs,23786588,WR/FLEX/S-FLEX,8500,FAMU@UNC 08/27/2022 08:15PM ET,UNC,23.04
QB,Chris Reynolds (23786190),Chris Reynolds,23786190,QB/S-FLEX,8000,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,22.52
RB,Toa Taua (23786312),Toa Taua,23786312,RB/FLEX/S-FLEX,7600,NEV@NMST 08/27/2022 10:00PM ET,NEV,14.6
QB,Drake Maye (23786192),Drake Maye,23786192,QB/S-FLEX,7400,FAMU@UNC 08/27/2022 08:15PM ET,UNC,6.88
RB,Johnny Ford (23786315),Johnny Ford,23786315,RB/FLEX/S-FLEX,7300,CHAR@FAU 08/27/2022 07:00PM ET,FAU,16.74
WR,Victor Tucker (23786591),Victor Tucker,23786591,WR/FLEX/S-FLEX,7200,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,13.91
QB,N'Kosi Perry (23786194),N'Kosi Perry,23786194,QB/S-FLEX,7100,CHAR@FAU 08/27/2022 07:00PM ET,FAU,19.23
QB,Brayden Schager (23786196),Brayden Schager,23786196,QB/S-FLEX,7000,VAND@HAW 08/27/2022 10:30PM ET,HAW,3.92
QB,Jacolby Criswell (23786198),Jacolby Criswell,23786198,QB/S-FLEX,6900,FAMU@UNC 08/27/2022 08:15PM ET,UNC,7.99
WR,Grant DuBose (23786594),Grant DuBose,23786594,WR/FLEX/S-FLEX,6800,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,16.42
RB,Dedrick Parson (23786318),Dedrick Parson,23786318,RB/FLEX/S-FLEX,6700,VAND@HAW 08/27/2022 10:30PM ET,HAW,13.67
WR,Roderic Burns (23786597),Roderic Burns,23786597,WR/FLEX/S-FLEX,6600,UNT@UTEP 08/27/2022 09:00PM ET,UNT,13.31
QB,Mike Wright (23786200),Mike Wright,23786200,QB/S-FLEX,6500,VAND@HAW 08/27/2022 10:30PM ET,VAND,11.93
QB,Austin Aune (23786202),Austin Aune,23786202,QB/S-FLEX,6500,UNT@UTEP 08/27/2022 09:00PM ET,UNT,12.24
WR,Will Sheppard (23786603),Will Sheppard,23786603,WR/FLEX/S-FLEX,6400,VAND@HAW 08/27/2022 10:30PM ET,VAND,13.07
RB,D.J. Jones (23786321),D.J. Jones,23786321,RB/FLEX/S-FLEX,6400,FAMU@UNC 08/27/2022 08:15PM ET,UNC,4.76
QB,Gavin Hardison (23786204),Gavin Hardison,23786204,QB/S-FLEX,6400,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,14.49
QB,Joey Yellen (23786206),Joey Yellen,23786206,QB/S-FLEX,6300,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
WR,LaJohntay Wester (23786600),LaJohntay Wester,23786600,WR/FLEX/S-FLEX,6300,CHAR@FAU 08/27/2022 07:00PM ET,FAU,13.76
RB,Ray Davis (23786324),Ray Davis,23786324,RB/FLEX/S-FLEX,6200,VAND@HAW 08/27/2022 10:30PM ET,VAND,11.6
WR,Jamaal Bell (23786606),Jamaal Bell,23786606,WR/FLEX/S-FLEX,6200,NEV@NMST 08/27/2022 10:00PM ET,NEV,2.41
QB,Michael Johnson Jr. (23786208),Michael Johnson Jr.,23786208,QB/S-FLEX,6200,CHAR@FAU 08/27/2022 07:00PM ET,FAU,0
QB,Nate Cox (23786210),Nate Cox,23786210,QB/S-FLEX,6100,NEV@NMST 08/27/2022 10:00PM ET,NEV,6.89
WR,Tyrin Smith (23786609),Tyrin Smith,23786609,WR/FLEX/S-FLEX,6100,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,9.67
RB,Destin Coates (23786327),Destin Coates,23786327,RB/FLEX/S-FLEX,6000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,4.35
WR,Jah'Marae Sheread (23786612),Jah'Marae Sheread,23786612,WR/FLEX/S-FLEX,6000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,14.89
QB,Xavier Williams (23786212),Xavier Williams,23786212,QB/S-FLEX,6000,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,0
QB,Grant Gunnell (23786214),Grant Gunnell,23786214,QB/S-FLEX,6000,UNT@UTEP 08/27/2022 09:00PM ET,UNT,0
WR,Devin Boddie Jr. (23786618),Devin Boddie Jr.,23786618,WR/FLEX/S-FLEX,5900,VAND@HAW 08/27/2022 10:30PM ET,VAND,6.96
QB,Shane Illingworth (23786216),Shane Illingworth,23786216,QB/S-FLEX,5900,NEV@NMST 08/27/2022 10:00PM ET,NEV,14.65
QB,Ken Seals (23786218),Ken Seals,23786218,QB/S-FLEX,5800,VAND@HAW 08/27/2022 10:30PM ET,VAND,7.93
WR,Zion Bowens (23786615),Zion Bowens,23786615,WR/FLEX/S-FLEX,5800,VAND@HAW 08/27/2022 10:30PM ET,HAW,9.34
RB,Shadrick Byrd (23786330),Shadrick Byrd,23786330,RB/FLEX/S-FLEX,5800,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,11.09
WR,Antoine Green (23786621),Antoine Green,23786621,WR/FLEX/S-FLEX,5700,FAMU@UNC 08/27/2022 08:15PM ET,UNC,10.02
QB,JD Head (23786220),JD Head,23786220,QB/S-FLEX,5700,UNT@UTEP 08/27/2022 09:00PM ET,UNT,14.26
QB,Rasean McKay (23786222),Rasean McKay,23786222,QB/S-FLEX,5600,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,14.39
WR,Dalevon Campbell (23786627),Dalevon Campbell,23786627,WR/FLEX/S-FLEX,5600,NEV@NMST 08/27/2022 10:00PM ET,NEV,4
QB,Diego Pavia (23786224),Diego Pavia,23786224,QB/S-FLEX,5500,NEV@NMST 08/27/2022 10:00PM ET,NMST,0
WR,Je'Quan Burton (23786624),Je'Quan Burton,23786624,WR/FLEX/S-FLEX,5500,CHAR@FAU 08/27/2022 07:00PM ET,FAU,7.93
RB,Ronald Awatt (23786333),Ronald Awatt,23786333,RB/FLEX/S-FLEX,5500,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,12.1
WR,Logan Kyle (23786630),Logan Kyle,23786630,WR/FLEX/S-FLEX,5400,VAND@HAW 08/27/2022 10:30PM ET,VAND,1.5
QB,Calvin Brownholtz (23786226),Calvin Brownholtz,23786226,QB/S-FLEX,5400,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,3.16
WR,Javion Posey (23786633),Javion Posey,23786633,WR/FLEX/S-FLEX,5300,CHAR@FAU 08/27/2022 07:00PM ET,FAU,1.52
QB,Jace Ruder (23786228),Jace Ruder,23786228,QB/S-FLEX,5300,UNT@UTEP 08/27/2022 09:00PM ET,UNT,6.66
RB,Isaiah Johnson (23786336),Isaiah Johnson,23786336,RB/FLEX/S-FLEX,5300,UNT@UTEP 08/27/2022 09:00PM ET,UNT,9.04
QB,Jeremy Moussa (23786230),Jeremy Moussa,23786230,QB/S-FLEX,5200,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0.96
WR,Dominic Gicinto (23786636),Dominic Gicinto,23786636,WR/FLEX/S-FLEX,5200,NEV@NMST 08/27/2022 10:00PM ET,NMST,12.25
WR,Tommy Bush (23786639),Tommy Bush,23786639,WR/FLEX/S-FLEX,5200,UNT@UTEP 08/27/2022 09:00PM ET,UNT,3.65
QB,Dino Maldonado (23786232),Dino Maldonado,23786232,QB/S-FLEX,5100,NEV@NMST 08/27/2022 10:00PM ET,NMST,22.16
RB,Marvin Scott III (23786339),Marvin Scott III,23786339,RB/FLEX/S-FLEX,5100,CHAR@FAU 08/27/2022 07:00PM ET,FAU,6.83
WR,Trent Thompson (23786642),Trent Thompson,23786642,WR/FLEX/S-FLEX,5100,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,9.26
WR,J.J. Jones (23786645),J.J. Jones,23786645,WR/FLEX/S-FLEX,5000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,5.35
QB,Gavin Frakes (23786234),Gavin Frakes,23786234,QB/S-FLEX,5000,NEV@NMST 08/27/2022 10:00PM ET,NMST,0
RB,O'Maury Samuels (23786342),O'Maury Samuels,23786342,RB/FLEX/S-FLEX,5000,NEV@NMST 08/27/2022 10:00PM ET,NMST,5.29
QB,James Foster (23786236),James Foster,23786236,QB/S-FLEX,5000,CHAR@FAU 08/27/2022 07:00PM ET,CHAR,5.03
WR,B.J. Casteel (23786648),B.J. Casteel,23786648,WR/FLEX/S-FLEX,4900,NEV@NMST 08/27/2022 10:00PM ET,NEV,6.76
RB,Deion Hankins (23786345),Deion Hankins,23786345,RB/FLEX/S-FLEX,4900,UNT@UTEP 08/27/2022 09:00PM ET,UTEP,8.62
WR,Spencer Curtis (23786651),Spencer Curtis,23786651,WR/FLEX/S-FLEX,4800,NEV@NMST 08/27/2022 10:00PM ET,NEV,3.2
RB,Oscar Adaway III (23786348),Oscar Adaway III,23786348,RB/FLEX/S-FLEX,4700,UNT@UTEP 08/27/2022 09:00PM ET,UNT,0
WR,Terrell Warner (23786654),Terrell Warner,23786654,WR/FLEX/S-FLEX,4600,NEV@NMST 08/27/2022 10:00PM ET,NMST,7.62
QB,Cammon Cooper (23786238),Cammon Cooper,23786238,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,HAW,0.89
QB,AJ Swann (23786244),AJ Swann,23786244,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
QB,Jake Farrell (23786248),Jake Farrell,23786248,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
QB,Connor Apo (23786262),Connor Apo,23786262,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
QB,Armani Edden (23786266),Armani Edden,23786266,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
QB,Ephraim Tuliloa (23786270),Ephraim Tuliloa,23786270,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,HAW,0
QB,Walter Taylor (23786288),Walter Taylor,23786288,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
QB,Drew Dickey (23786292),Drew Dickey,23786292,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
QB,Hayden Moses (23786294),Hayden Moses,23786294,QB/S-FLEX,4500,VAND@HAW 08/27/2022 10:30PM ET,VAND,0
