"","time","Away","Home","Park","temp","precip","blowing_right","blowing_out","date"
"1","01:05 PM EST","  Marlins  ","  Phillies  ","Citizens Bank Park",83,2,2.05060966544099,-2.05060966544099,2022-08-11
"2","01:10 PM EST","  Guardians  ","  Tigers  ","Comerica Park",78,0,6.43467170879758,6.43467170879758,2022-08-11
"3","02:10 PM EST","  White Sox  ","  Royals  ","Kauffman Stadium",86,0,-5.26611333531433,-2.18129556448101,2022-08-11
"4","02:10 PM EST","  Rangers  ","  Astros  ","Minute Maid Park",89,0,0,0,2022-08-11
"5","03:10 PM EST","  Cardinals  ","  Rockies  ","Coors Field",91,0,1.03324526738574,-2.49447473778047,2022-08-11
"6","03:40 PM EST","  Pirates  ","  Diamondbacks  ","Chase Field",99,0,0,0,2022-08-11
"7","07:10 PM EST","  Orioles  ","  Red Sox  ","Fenway Park",77,3,-1.79861213211592,-4.34223380280305,2022-08-11
"8","07:15 PM EST","  Cubs  ","  Reds  ","Field of Dreams",77,0,-2.87012574273817,-6.92909649383465,2022-08-11
"9","06:40 PM EST","  Braves  ","  Marlins  ","loanDepot park",85,0,0,0,2022-08-12
"10","07:05 PM EST","  Padres  ","  Nationals  ","Nationals Park",83,0,4.31335136523794,-4.31335136523794,2022-08-12
"11","07:07 PM EST","  Guardians  ","  Blue Jays  ","Rogers Centre",76,0,0,0,2022-08-12
"12","07:10 PM EST","  Tigers  ","  White Sox  ","Guaranteed Rate Field",75,0,5.35850128856546,-2.21956390771752,2022-08-12
"13","07:10 PM EST","  Orioles  ","  Rays  ","Tropicana Field",86,0,0,0,2022-08-12
"14","07:10 PM EST","  Phillies  ","  Mets  ","Citi Field",82,0,0,-8.4,2022-08-12
"15","07:10 PM EST","  Yankees  ","  Red Sox  ","Fenway Park",73,0,1.87514881858894,-4.52700970930531,2022-08-12
"16","08:05 PM EST","  Mariners  ","  Rangers  ","Globe Life Field",95,0,0,0,2022-08-12
"17","08:10 PM EST","  Dodgers  ","  Royals  ","Kauffman Stadium",88,0,-8.49969169910384,3.52068757775883,2022-08-12
"18","08:10 PM EST","  Athletics  ","  Astros  ","Minute Maid Park",88,0,0,0,2022-08-12
"19","08:15 PM EST","  Brewers  ","  Cardinals  ","Busch Stadium",79,0,-1.83688047535243,-4.43462175605418,2022-08-12
"20","08:40 PM EST","  Diamondbacks  ","  Rockies  ","Coors Field",94,0,2.1430272212445,5.17372538206321,2022-08-12
"21","09:38 PM EST","  Twins  ","  Angels  ","Angel Stadium",85,0,2.41090562390007,5.82044105482111,2022-08-12
"22","10:15 PM EST","  Pirates  ","  Giants  ","Oracle Park",65,0,-3.67376095070486,8.86924351210835,2022-08-12
"23","01:10 PM EST","  Braves  ","  Marlins  ","loanDepot park",88,0,0,0,2022-08-13
"24","03:07 PM EST","  Guardians  ","  Blue Jays  ","Rogers Centre",75,0,0,0,2022-08-13
"25","04:10 PM EST","  Orioles  ","  Rays  ","Tropicana Field",89,0,0,0,2022-08-13
"26","06:40 PM EST","  Cubs  ","  Reds  ","Great American Ball Park",81,0,0,-3.3,2022-08-13
"27","07:05 PM EST","  Padres  ","  Nationals  ","Nationals Park",82,0,-1.62634559672906,1.62634559672906,2022-08-13
"28","07:10 PM EST","  Braves  ","  Marlins  ","loanDepot park",85,0,0,0,2022-08-13
"29","07:10 PM EST","  Tigers  ","  White Sox  ","Guaranteed Rate Field",79,2,-3.67376095070486,-8.86924351210835,2022-08-13
"30","07:10 PM EST","  Phillies  ","  Mets  ","Citi Field",79,0,-3.81837661840736,-3.81837661840736,2022-08-13
"31","07:10 PM EST","  Dodgers  ","  Royals  ","Kauffman Stadium",97,0,-3.78856598041439,9.14640737186174,2022-08-13
"32","07:10 PM EST","  Athletics  ","  Astros  ","Minute Maid Park",87,0,0,0,2022-08-13
"33","07:15 PM EST","  Mariners  ","  Rangers  ","Globe Life Field",98,0,0,0,2022-08-13
"34","07:15 PM EST","  Brewers  ","  Cardinals  ","Busch Stadium",85,0,-7.02148444708578,2.90839408597468,2022-08-13
"35","07:15 PM EST","  Yankees  ","  Red Sox  ","Fenway Park",71,0,-1.49246538622385,-3.60313017679402,2022-08-13
"36","08:10 PM EST","  Diamondbacks  ","  Rockies  ","Coors Field",88,2,9.70073509136851,-4.01817603983345,2022-08-13
"37","09:05 PM EST","  Pirates  ","  Giants  ","Oracle Park",66,0,-3.09973580215723,7.48342421334142,2022-08-13
"38","09:07 PM EST","  Twins  ","  Angels  ","Angel Stadium",85,0,-2.44917396713658,5.91282900807224,2022-08-13
